贵	Bns	B
制	Mn	O
品	En	O
、	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
、	Sw	O
食	Bn	O
糖	En	O
、	Sw	O
乳	Bn	O
制	Mn	O
品	En	O
2	Bm	O
1	Em	O
类	Bn	O
食	Mn	O
品	En	O
5	Bm	O
9	Mm	O
6	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
，	Sw	O
抽	Bv	O
样	Ev	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
5	Bm	O
8	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
8	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
见	Sv	O
附	Bn	O
件	En	O
。	Sw	O

根	Bp	O
据	Ep	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
，	Sw	O
个	Bn	O
别	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
其	Sr	O
产	Bn	O
品	En	O
即	Sv	O
判	Bv	O
定	Ev	O
为	Sp	O
不	Sv	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
。	Sw	O

具	Bl	O
体	Ml	O
情	Ml	O
况	El	O
公	Bn	O
告	En	O
如	Bt	O
下	Et	O
：	Sw	O

一	Sm	O
、	Sw	O
总	Bn	O
体	En	O
情	Bn	O
况	En	O

肉	Bn	O
制	Mn	O
品	En	O
2	Bm	O
7	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

糖	Bn	O
果	En	O
制	Bn	O
品	En	O
2	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
7	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

饮	Bn	O
料	En	O
1	Bm	O
1	Mm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
1	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

调	Bn	O
味	Mn	O
品	En	O
3	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
酒	Bn	O
类	En	O
3	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
糕	Bn	O
点	En	O
1	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
1	Bm	O
9	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
蛋	Bn	O
制	Mn	O
品	En	O
6	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
5	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
蜂	Bn	O
产	Mn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
罐	Bn	O
头	En	O
3	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
薯	Bn	O
类	En	O
和	Sc	O
膨	Bl	O
化	Ml	O
食	Ml	O
品	El	O
6	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
豆	Bn	O
制	Mn	O
品	En	O
8	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
1	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
5	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
糖	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
乳	Bn	O
制	Mn	O
品	En	O
6	Sw	O
批	Bd	O
次	Ed	O
均	Sd	O
未	Sd	O
检	Bv	O
出	Ev	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O

二	Sm	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
情	Bn	O
况	En	O
如	Bt	O
下	Et	O

标	Bn	O
称	En	O
织	Bns	O
金	Mns	O
县	Ens	O
连	Bn	O
记	En	O
食	Bn	O
品	Mn	O
厂	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
少	Sa	O
普	Snr	O
连	Su	O
记	Sn	O
香	Bn	O
肠	En	O
检	Bv	O
出	Ev	O
铅	Sn	O
（	Sw	O
以	Sp	O

P	Beng	O
b	Eeng	O

计	Sn	O
）	Sw	O
超	Bv	O
标	Ev	O
；	Sw	O

标	Bn	O
称	En	O
镇	Bns	O
宁	Ens	O
功	Bn	O
达	En	O
波	Bns	O
波	Ens	O
糖	Szg	O
食	Bn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
镇	Sn	O
宁	Bns	O
波	Ens	O
波	Bn	O
糖	En	O
（	Sw	O
黑	Bn	O
芝	Mn	O
麻	En	O
味	Sn	O
）	Sw	O
，	Sw	O
标	Bn	O
称	En	O
镇	Bns	O
宁	Ens	O
万	Bnr	O
祥	Enr	O
波	Bns	O
波	Ens	O
糖	Szg	O
食	Bn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
葵	Bn	O
花	En	O
味	Sn	O
波	Bns	O
波	Ens	O
糖	Szg	O
，	Sw	O
标	Bn	O
称	En	O
兴	Bns	O
仁	Mns	O
县	Ens	O
黔	Bns	B
仁	Ens	I
刘	Bnrfg	I
家	Enrfg	I
特	Bn	I
色	En	I
食	Bn	I
品	Mn	I
厂	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
豆	Bn	O
沙	En	O
粑	Sg	O
（	Sw	O
小	Bn	O
米	En	O
味	Sn	O
）	Sw	O
、	Sw	O
豆	Bn	O
沙	En	O
粑	Sg	O
（	Sw	O
糯	Bn	O
米	En	O
味	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
超	Bv	O
标	Ev	O
；	Sw	O

标	Bn	O
称	En	O
贵	Bns	B
州	Mns	I
省	Ens	I
罗	Bns	I
甸	Mns	I
县	Ens	I
乐	Sa	I
百	Bn	I
姓	En	I
食	Bn	I
品	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
乐	Sn	O
百	Bn	O
姓	En	O
饮	Bn	O
用	En	O
泉	Bns	O
水	Ens	O
检	Bv	O
出	Ev	O
铜	Bn	O
绿	En	O
假	Sn	O
单	Bn	O
胞	Mn	O
菌	En	O
；	Sw	O

标	Bn	O
称	En	O
三	Bns	O
穗	Mns	O
县	Ens	B
长	Bns	I
吉	Ens	I
大	Bn	I
头	Mn	I
菜	En	I
专	Bn	I
业	En	I
合	Bl	I
作	Ml	I
社	El	E
生	Bvn	O
产	Evn	O
的	Suj	O
酸	Bnz	O
豆	Mnz	O
角	Enz	O
检	Bv	O
出	Ev	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
和	Sc	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
超	Bv	O
标	Ev	O
；	Sw	O

标	Bn	O
称	En	O
贵	Bns	O
州	Ens	O
和	Bnr	O
舜	Mnr	O
天	Enr	O
下	Sf	O
发	Bvn	O
展	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
酱	Bn	O
香	En	O
黄	Bn	O
瓜	En	O
（	Sw	O
酱	Bv	O
腌	Mv	O
菜	Ev	O
）	Sw	O
检	Bv	O
出	Ev	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
超	Bv	O
标	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
贵	Bns	O
州	Mns	O
省	Ens	O
产	Bn	O
品	Mn	O
质	Mn	O
量	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
院	Sn	O
。	Sw	O

三	Sm	O
、	Sw	O
对	Sp	O
上	Bb	O
述	Eb	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
，	Sw	O
我	Br	O
局	Er	O
已	Sd	O
要	Bv	O
求	Ev	O
生	Bvn	O
产	Evn	O
单	Bn	O
位	En	O
所	Bn	O
在	Mn	O
地	En	O
安	Bns	O
顺	Mns	O
市	Ens	O
、	Sw	O
毕	Bn	O
节	Mn	O
市	En	O
、	Sw	O
黔	Bns	O
东	Mns	O
南	Mns	O
州	Ens	O
、	Sw	O
黔	Bns	O
南	Mns	O
州	Ens	O
、	Sw	O
黔	Bns	O
西	Mns	O
南	Mns	O
州	Ens	O
食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
按	Bp	O
照	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O
食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
规	Bn	O
定	En	O
，	Sw	O
责	Bn	O
令	En	O
生	Bvn	O
产	Evn	O
单	Bn	O
位	En	O
及	Bc	O
时	Ec	O
采	Bv	O
取	Ev	O
下	Bv	O
架	Ev	O
、	Sw	O
召	Bv	O
回	Ev	O
、	Sw	O
立	Bn	O
案	En	O
调	Bvn	O
查	Evn	O
等	Su	O
措	Bn	O
施	En	O
。	Sw	O

查	Bnr	O
明	Enr	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
批	Bd	O
次	Ed	O
、	Sw	O
数	Bn	O
量	En	O
和	Sc	O
原	Bn	O
因	En	O
，	Sw	O
制	Bv	O
定	Ev	O
整	Bn	O
改	Mn	O
措	Mn	O
施	En	O
，	Sw	O
防	Bvn	O
控	Evn	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
风	Bn	O
险	En	O
。	Sw	O

特	Bd	O
此	Ed	O
公	Bn	O
告	En	O
。	Sw	O

附	Bn	O
件	En	O
：	Sw	O
1	Bm	O
.	Em	O

本	Br	O
次	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

2	Bm	O
.	Em	O

部	Bn	O
分	En	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
的	Suj	O
小	Sn	O
知	Bv	O
识	Ev	O

3	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
饮	Bn	O
料	En	O

4	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
肉	Bn	O
制	Mn	O
品	En	O

5	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O

6	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O

7	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O

8	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
酒	Bn	O
类	En	O

9	Bm	O
.	Em	O

食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
糕	Bn	O
点	En	O

1	Bm	O
0	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
蜂	Bn	O
产	Mn	O
品	En	O

1	Bm	O
1	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O

1	Bm	O
2	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
豆	Bn	O
制	Mn	O
品	En	O

1	Bm	O
3	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
罐	Bn	O
头	En	O

1	Bm	O
4	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O

1	Bm	O
5	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O

1	Bm	O
6	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
肉	Bn	O
制	Mn	O
品	En	O

1	Bm	O
7	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
乳	Bn	O
制	Mn	O
品	En	O

1	Bm	O
8	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
食	Bn	O
糖	En	O

1	Bm	O
9	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O

2	Bm	O
0	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O

2	Bm	O
1	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
薯	Bn	O
类	En	O
和	Sc	O
膨	Bl	O
化	Ml	O
食	Ml	O
品	El	O

2	Bm	O
2	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O

2	Bm	O
3	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
蛋	Bn	O
制	Mn	O
品	En	O

2	Bm	O
4	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O

2	Bm	O
5	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
调	Bn	O
味	Mn	O
品	En	O

2	Bm	O
6	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
饮	Bn	O
料	En	O

2	Bm	O
7	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O

2	Bm	O
8	Mm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
8	Mm	O
2	Mm	O
4	Em	O
-	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O

贵	Bns	B
州	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E

