江	Bns	B
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Mnz	O
钠	Enz	O
（	Sw	O
又	Bn	O
名	En	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
）	Sw	O
1	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

2	Sw	O
、	Sw	O
肉	Bn	O
制	Mn	O
品	En	O

肉	Bn	O
制	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
1	Bm	O
0	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

主	Bb	O
要	Eb	O
是	Sv	O
微	Bl	O
生	Ml	O
物	El	O
污	Bvn	O
染	Evn	O
和	Sc	O
违	Bvn	O
规	Evn	O
使	Bv	O
用	Ev	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
。	Sw	O

微	Bl	O
生	Ml	O
物	El	O
不	Sd	O
合	Bn	O
格	En	O
的	Suj	O
样	Bn	O
品	En	O
共	Sn	O
6	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
有	Sv	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
，	Sw	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
不	Sd	O
合	Bn	O
格	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
、	Sw	O
莱	Bnrt	O
克	Enrt	O
多	Bnz	O
巴	Mnz	O
胺	Enz	O
。	Sw	O

3	Sw	O
、	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O

食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
5	Bm	O
0	Em	O
个	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
有	Sv	O
1	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Sp	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
。	Sw	O

4	Sw	O
、	Sw	O
酒	Bn	O
类	En	O

酒	Bn	O
类	En	O
品	Bn	O
种	En	O
抽	Bv	O
检	Ev	O
5	Bm	O
0	Em	O
个	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Sp	O
酒	Bn	O
精	Mn	O
度	En	O
。	Sw	O

二	Sm	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
项	Bn	O
目	En	O
说	Bv	O
明	Ev	O

1	Sw	O
、	Sw	O
酸	Bn	O
价	En	O
（	Sw	O
以	Sp	O
脂	Bn	O
肪	En	O
计	Sn	O
）	Sw	O
（	Sw	O
K	Beng	O
O	Meng	O
H	Eeng	O
）	Sw	O

酸	Bn	O
价	En	O
（	Sw	O
以	Sp	O
脂	Bn	O
肪	En	O
计	Sn	O
）	Sw	O
（	Sw	O
K	Beng	O
O	Meng	O
H	Eeng	O
）	Sw	O
主	Bb	O
要	Eb	O
反	Bv	O
映	Ev	O
食	Bn	O
品	En	O
中	Sf	O
的	Suj	O
油	Bn	O
脂	En	O
酸	Bn	O
败	En	O
的	Suj	O
程	Bn	O
度	En	O
。	Sw	O

《	Sw	O
油	Bn	O
炸	En	O
小	Sa	O
食	Bn	O
品	Mn	O
卫	Mn	O
生	En	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

1	Bm	O
6	Mm	O
5	Mm	O
6	Mm	O
5	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
0	Mm	O
3	Em	O
）	Sw	O
和	Sc	O
《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

坚	Bn	O
果	En	O
与	Sp	O
籽	Sng	O
类	Bn	O
食	Mn	O
品	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

1	Bm	O
9	Mm	O
3	Mm	O
0	Mm	O
0	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
中	Sf	O
都	Sd	O
规	Bn	O
定	En	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
酸	Bn	O
价	En	O
（	Sw	O
以	Sp	O
脂	Bn	O
肪	En	O
计	Sn	O
）	Sw	O
（	Sw	O
K	Beng	O
O	Meng	O
H	Eeng	O
）	Sw	O
不	Bv	O
得	Ev	O
超	Bv	O
过	Ev	O
3	Sm	O
m	Beng	O
g	Eeng	O
/	Sw	O
g	Sw	O
。	Sw	O

造	Bv	O
成	Ev	O
酸	Bn	O
价	En	O
不	Sd	O
合	Bn	O
格	En	O
的	Suj	O
主	Bb	O
要	Eb	O
原	Bn	O
因	En	O
有	Sv	O
：	Sw	O
一	Sm	O
是	Sv	O
原	Bn	O
料	En	O
采	Bv	O
购	Ev	O
上	Sf	O
把	Bv	O
关	Ev	O
不	Ba	O
严	Ea	O
，	Sw	O
如	Sv	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
的	Suj	O
原	Bn	O
料	En	O
水	Bn	O
分	En	O
过	Sug	O
高	Sa	O
，	Sw	O
会	Sv	O
加	Bv	O
速	Ev	O
油	Bn	O
脂	En	O
的	Suj	O
酸	Bn	O
败	En	O
；	Sw	O

二	Sm	O
是	Sv	O
生	Bn	O
产	Mn	O
工	Mn	O
艺	En	O
不	Sd	O
达	Bv	O
标	Ev	O
；	Sw	O

三	Sm	O
是	Sv	O
产	Bn	O
品	En	O
储	Bn	O
藏	En	O
条	Bn	O
件	En	O
不	Bd	O
当	Ed	O
，	Sw	O
特	Bd	O
别	Ed	O
是	Sv	O
在	Sp	O
夏	Bt	O
季	Et	O
，	Sw	O
受	Sv	O
气	Bn	O
候	En	O
环	Bn	O
境	Mn	O
影	Mn	O
响	En	O
因	Bn	O
素	En	O
更	Sd	O
大	Sa	O
，	Sw	O
易	Sa	O
导	Bv	O
致	Ev	O
食	Bn	O
品	En	O
中	Sf	O
脂	Bn	O
肪	En	O
的	Suj	O
氧	Bv	O
化	Ev	O
酸	Bn	O
败	En	O
。	Sw	O

油	Bn	O
脂	En	O
酸	Bn	O
败	En	O
产	Bn	O
生	En	O
的	Suj	O
醛	Sn	O
酮	Bn	O
类	En	O
化	Bn	O
合	Mn	O
物	En	O
长	Bd	O
期	Ed	O
摄	Bv	O
入	Ev	O
会	Sv	O
对	Sp	O
健	Ba	O
康	Ea	O
有	Sv	O
一	Bd	O
定	Ed	O
影	Bvn	O
响	Evn	O
，	Sw	O
但	Sc	O
一	Ba	O
般	Ea	O
情	Bn	O
况	En	O
下	Sf	O
，	Sw	O
消	Bn	O
费	Mn	O
者	En	O
在	Sp	O
使	Bv	O
用	Ev	O
过	Bn	O
程	En	O
中	Sf	O
可	Bc	O
以	Ec	O
明	Ba	O
显	Ea	O
辨	Bv	O
别	Ev	O
出	Sv	O
其	Sr	O
有	Sv	O
哈	Bo	O
喇	Eo	O
等	Su	O
异	Bn	O
味	En	O
，	Sw	O
需	Sv	O
避	Bv	O
免	Ev	O
食	Bn	O
用	En	O
。	Sw	O

2	Sw	O
、	Sw	O
滑	Bnr	O
石	Mnr	O
粉	Enr	O

滑	Bnr	O
石	Mnr	O
粉	Enr	O
能	Bv	O
够	Ev	O
让	Sv	O
瓜	Bn	O
子	En	O
外	Bn	O
表	En	O
光	Bnr	O
鲜	Mnr	O
亮	Mnr	O
丽	Enr	O
。	Sw	O

《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
使	Bv	O
用	Ev	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

2	Bm	O
7	Mm	O
6	Mm	O
0	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
中	Sf	O
规	Bn	O
定	En	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
中	Sf	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
滑	Bnr	O
石	Mnr	O
粉	Enr	O
。	Sw	O

造	Bv	O
成	Ev	O
不	Sd	O
合	Bn	O
格	En	O
原	Bn	O
因	En	O
可	Bv	O
能	Ev	O
是	Sv	O
企	Bn	O
业	En	O
为	Sp	O
增	Bv	O
加	Ev	O
卖	Bn	O
相	En	O
而	Sc	O
超	Bn	O
范	Mn	O
围	En	O
使	Bv	O
用	Ev	O
。	Sw	O

3	Sw	O
、	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
（	Sw	O
以	Sp	O
脂	Bn	O
肪	En	O
计	Sn	O
）	Sw	O

过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
主	Bb	O
要	Eb	O
反	Bv	O
映	Ev	O
油	Bn	O
脂	En	O
是	Bv	O
否	Ev	O
氧	Bv	O
化	Ev	O
变	Bn	O
质	En	O
。	Sw	O

随	Bp	O
着	Ep	O
油	Bn	O
脂	En	O
氧	Bv	O
化	Ev	O
，	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Bv	O
会	Ev	O
逐	Bd	O
步	Ed	O
升	Bv	O
高	Ev	O
。	Sw	O

《	Sw	O
油	Bn	O
炸	En	O
小	Sa	O
食	Bn	O
品	Mn	O
卫	Mn	O
生	En	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

1	Bm	O
6	Mm	O
5	Mm	O
6	Mm	O
5	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
0	Mm	O
3	Em	O
）	Sw	O
中	Sf	O
规	Bn	O
定	En	O
油	Bn	O
炸	En	O
类	Sq	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
不	Bv	O
得	Ev	O
超	Bv	O
过	Ev	O
0	Bm	O
.	Mm	O
2	Mm	O
5	Em	O
g	Seng	O
/	Sw	O
1	Bm	O
0	Mm	O
0	Em	O
g	Seng	O
；	Sw	O

《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

坚	Bn	O
果	En	O
与	Sp	O
籽	Sng	O
类	Bn	O
食	Mn	O
品	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

1	Bm	O
9	Mm	O
3	Mm	O
0	Mm	O
0	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
中	Sf	O
规	Bn	O
定	En	O
熟	Bv	O
制	Ev	O
其	Br	O
他	Er	O
类	Sq	O
坚	Bn	O
果	En	O
和	Sc	O
籽	Sn	O
类	Bn	O
食	Mn	O
品	En	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
不	Bv	O
得	Ev	O
超	Bv	O
过	Ev	O
0	Bm	O
.	Mm	O
5	Em	O
g	Seng	O
/	Sw	O
1	Bm	O
0	Mm	O
0	Em	O
g	Seng	O
。	Sw	O

过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
超	Bv	O
标	Ev	O
的	Suj	O
原	Bn	O
因	En	O
可	Bv	O
能	Ev	O
是	Sv	O
产	Bn	O
品	En	O
用	Bn	O
油	En	O
已	Bd	O
经	Ed	O
变	Bn	O
质	En	O
，	Sw	O
或	Bc	O
者	Ec	O
产	Bn	O
品	En	O
本	Br	O
身	Er	O
在	Sp	O
储	Bn	O
存	En	O
过	Bn	O
程	En	O
中	Sf	O
环	Bn	O
境	En	O
条	Bn	O
件	En	O
控	Bv	O
制	Ev	O
不	Bd	O
当	Ed	O
，	Sw	O
导	Bv	O
致	Ev	O
油	Bn	O
脂	En	O
酸	Bn	O
败	En	O
；	Sw	O

也	Sd	O
可	Bv	O
能	Ev	O
是	Sv	O
原	Bn	O
料	En	O
中	Sf	O
的	Suj	O
脂	Bn	O
肪	En	O
已	Bd	O
经	Ed	O
氧	Bv	O
化	Ev	O
，	Sw	O
原	Bn	O
料	En	O
储	Bn	O
存	En	O
不	Bd	O
当	Ed	O
，	Sw	O
未	Sd	O
采	Bn	O
取	Mn	O
有	Mn	O
效	En	O
的	Suj	O
抗	Bnz	O
氧	Mnz	O
化	Enz	O
措	Bn	O
施	En	O
，	Sw	O
使	Bv	O
得	Ev	O
终	Sd	O
产	Bn	O
品	En	O
油	Bn	O
脂	En	O
氧	Bv	O
化	Ev	O
。	Sw	O

4	Sw	O
、	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
残	Bn	O
留	Mn	O
量	En	O

二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
：	Sw	O
食	Bn	O
品	En	O
加	Bvn	O
工	Evn	O
中	Sf	O
常	Bb	O
用	Eb	O
的	Suj	O
漂	Bn	O
白	Mn	O
剂	En	O
和	Sc	O
防	Bnz	O
腐	Mnz	O
剂	Enz	O
，	Sw	O
进	Bv	O
入	Ev	O
人	Sn	O
体	Bs	O
内	Es	O
后	Sf	O
最	Bd	O
终	Ed	O
转	Bv	O
化	Ev	O
为	Sp	O
硫	Bnz	O
酸	Mnz	O
盐	Enz	O
并	Sc	O
随	Sp	O
尿	Bn	O
液	En	O
排	Bv	O
出	Ev	O
体	Bs	O
外	Es	O
。	Sw	O

《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
使	Bv	O
用	Ev	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

2	Bm	O
7	Mm	O
6	Mm	O
0	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
中	Sf	O
规	Bn	O
定	En	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
中	Sf	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
。	Sw	O

少	Bm	O
量	Em	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
进	Bv	O
入	Ev	O
人	Bn	O
体	En	O
不	Bv	O
会	Ev	O
对	Sp	O
身	Bn	O
体	En	O
带	Bv	O
来	Ev	O
健	Ba	O
康	Ea	O
危	Bn	O
害	En	O
，	Sw	O
但	Bc	O
若	Ec	O
过	Bn	O
量	En	O
食	Bn	O
用	En	O
会	Sv	O
引	Bv	O
起	Ev	O
如	Sv	O
恶	Bn	O
心	En	O
、	Sw	O
呕	Bv	O
吐	Ev	O
等	Su	O
胃	Bn	O
肠	Mn	O
道	En	O
反	Bvn	O
应	Evn	O
。	Sw	O

二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
不	Sd	O
符	Bn	O
合	Mn	O
标	Mn	O
准	En	O
的	Suj	O
原	Bn	O
因	En	O
可	Bv	O
能	Ev	O
有	Sv	O
，	Sw	O
个	Bn	O
别	En	O
生	Bn	O
产	Mn	O
者	En	O
使	Bv	O
用	Ev	O
劣	Bn	O
质	En	O
原	Bn	O
料	En	O
以	Sp	O
降	Bn	O
低	Mn	O
成	Mn	O
本	En	O
，	Sw	O
其	Bc	O
后	Ec	O
为	Bp	O
了	Ep	O
提	Bv	O
高	Ev	O
产	Bn	O
品	En	O
色	Bn	O
泽	En	O
超	Bn	O
量	En	O
使	Bv	O
用	Ev	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
。	Sw	O

5	Sw	O
、	Sw	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Mnz	O
钠	Enz	O
（	Sw	O
又	Bn	O
名	En	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
）	Sw	O
（	Sw	O
以	Sp	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Enz	O
计	Sn	O
）	Sw	O

环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Mnz	O
钠	Enz	O
（	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
）	Sw	O
是	Sv	O
一	Bm	O
种	Em	O
常	Bb	O
用	Eb	O
的	Suj	O
人	Bl	O
工	Ml	O
合	Ml	O
成	El	O
甜	Bn	O
味	Mn	O
剂	En	O
，	Sw	O
其	Sr	O
甜	Bn	O
度	En	O
是	Sv	O
蔗	Bn	O
糖	En	O
的	Suj	O
3	Bm	O
0	Em	O
～	Sw	O
4	Bm	O
0	Em	O
倍	Sm	O
。	Sw	O

《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
使	Bv	O
用	Ev	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Eeng	O

2	Bm	O
7	Mm	O
6	Mm	O
0	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
中	Sf	O
规	Bn	O
定	En	O
，	Sw	O
开	Bn	O
心	Mn	O
果	En	O
、	Sw	O
杏	Bn	O
仁	En	O
、	Sw	O
松	Bnr	O
仁	Enr	O
、	Sw	O
瓜	Bn	O
子	En	O
中	Sf	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Mnz	O
钠	Enz	O
添	Bv	O
加	Ev	O
量	Sn	O
不	Bv	O
得	Ev	O
超	Bv	O
过	Ev	O
6	Bm	O
.	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

消	Bn	O
费	Mn	O
者	En	O
如	Bc	O
果	Ec	O
经	Bd	O
常	Ed	O
食	Bn	O
用	En	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
含	Bn	O
量	En	O
超	Bv	O
标	Ev	O
的	Suj	O
饮	Bn	O
料	En	O
或	Sc	O
其	Br	O
他	Er	O
食	Bn	O
品	En	O
，	Sw	O
会	Bn	O
因	En	O
摄	Bv	O
入	Ev	O
过	Bn	O
量	En	O
对	Sp	O
人	Bn	O
体	En	O
的	Suj	O
肝	Bn	O
脏	En	O
和	Sc	O
神	Bl	O
经	Ml	O
系	Ml	O
统	El	O
造	Bl	O
成	Ml	O
危	Ml	O
害	El	O
，	Sw	O
特	Bd	O
别	Ed	O
是	Sv	O
对	Sp	O
代	Bv	O
谢	Ev	O
排	Bv	O
毒	Ev	O
能	Bn	O
力	En	O
较	Ba	O
弱	Ea	O
的	Suj	O
老	Bn	O
人	En	O
、	Sw	O
孕	Bn	O
妇	En	O
、	Sw	O
小	Bn	O
孩	En	O
危	Bn	O
害	En	O
更	Sd	O
明	Ba	O
显	Ea	O
。	Sw	O

6	Sw	O
、	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O

“	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
”	Sw	O
是	Sv	O
一	Bm	O
种	Em	O
多	Sm	O
环	Sn	O
芳	Bnz	O
香	Mnz	O
族	Enz	O
碳	Bn	O
氢	Mn	O
化	Mn	O
合	Mn	O
物	En	O
，	Sw	O
谷	Bn	O
类	En	O
食	Bn	O
物	En	O
、	Sw	O
蔬	Bn	O
菜	En	O
、	Sw	O
脂	Bn	O
肪	En	O
和	Sc	O
油	Bn	O
类	En	O
是	Sv	O
摄	Bv	O
入	Ev	O
“	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
”	Sw	O
的	Suj	O
主	Bb	O
要	Eb	O
膳	Bn	O
食	En	O
来	Bn	O
源	En	O
；	Sw	O

食	Bn	O
物	En	O
加	Bvn	O
工	Evn	O
例	Bv	O
如	Ev	O
烧	Bv	O
烤	Ev	O
、	Sw	O
烟	Bnz	O
熏	Enz	O
肉	Bn	O
类	En	O
或	Sc	O
鱼	Bn	O
类	En	O
的	Suj	O
含	Bn	O
量	En	O
亦	Sd	O
较	Sd	O
高	Sa	O
。	Sw	O

“	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
”	Sw	O
对	Sp	O
人	Bn	O
类	Mn	O
基	Mn	O
因	En	O
有	Ba	O
害	Ea	O
，	Sw	O
并	Sc	O
会	Sv	O
致	Bv	O
癌	Ev	O
，	Sw	O
但	Sc	O
难	Bd	O
以	Ed	O
厘	Bv	O
定	Ev	O
安	Ban	O
全	Ean	O
摄	Bn	O
入	Mn	O
量	En	O
，	Sw	O
食	Bn	O
品	En	O
法	Bns	O
典	Ens	O
委	Bn	O
员	Mn	O
会	En	O
及	Sc	O
香	Bns	O
港	Ens	O
法	Bn	O
例	En	O
中	Sf	O
，	Sw	O
并	Sc	O
无	Sv	O
就	Sd	O
“	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
”	Sw	O
含	Bn	O
量	En	O
制	Bv	O
定	Ev	O
法	Bn	O
定	En	O
限	Bn	O
值	En	O
。	Sw	O

按	Bp	O
照	Ep	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
规	Bn	O
定	En	O
，	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
的	Suj	O
限	Bn	O
量	En	O
值	Bv	O
为	Ev	O
≤	Sw	O
1	Bm	O
0	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

食	Bn	O
油	En	O
中	Sf	O
有	Sv	O
高	Sa	O
含	Bn	O
