湖	Bns	B
为	Sp	O
不	Sv	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
。	Sw	O

具	Bl	O
体	Ml	O
情	Ml	O
况	El	O
公	Bn	O
告	En	O
如	Bt	O
下	Et	O
：	Sw	O

一	Sm	O
、	Sw	O
总	Bn	O
体	En	O
情	Bn	O
况	En	O
：	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
1	Bm	O
3	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

蜂	Bn	O
产	Mn	O
品	En	O
2	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

肉	Bn	O
制	Mn	O
品	En	O
4	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
3	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

薯	Bn	O
类	En	O
和	Sc	O
膨	Bl	O
化	Ml	O
食	Ml	O
品	El	O
1	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
7	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

水	Bn	O
产	En	O
制	Bn	O
品	En	O
3	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
4	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
3	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

豆	Bn	O
制	Mn	O
品	En	O
9	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
1	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
7	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
速	Bn	O
冻	En	O
食	Bn	O
品	En	O
1	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
3	Bm	O
7	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
乳	Bn	O
制	Mn	O
品	En	O
3	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
冷	Bv	O
冻	Ev	O
饮	Bn	O
品	En	O
8	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
婴	Bn	O
幼	Mn	O
儿	En	O
配	Bn	O
方	En	O
食	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
可	Bv	O
可	Ev	O
及	Sc	O
焙	Bv	O
烤	Ev	O
咖	Bn	O
啡	En	O
产	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O
1	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O
4	Bm	O
3	Em	O
批	Bd	O
次	Ed	O
均	Sd	O
未	Sd	O
检	Bv	O
出	Ev	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
。	Sw	O

二	Sm	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
情	Bn	O
况	En	O
如	Bt	O
下	Et	O
：	Sw	O

荆	Bns	B
门	Mns	I
市	Ens	I
青	Bns	I
春	Ens	I
梦	Sn	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
回	Bv	O
味	Ev	O
泡	Sv	O
鸭	Sng	O
翅	Sng	O
（	Sw	O
香	Sns	O
辣	Bn	O
味	En	O
）	Sw	O
、	Sw	O
回	Bv	O
味	Ev	O
泡	Sv	O
鸭	Sng	O
翅	Sng	O
（	Sw	O
微	Sn	O
辣	Bn	O
味	En	O
）	Sw	O
和	Sc	O
回	Bv	O
味	Ev	O
泡	Sv	O
鸭	Sng	O
翅	Sng	O
（	Sw	O
微	Sn	O
辣	Bn	O
味	En	O
）	Sw	O
，	Sw	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
及	Bc	O
其	Ec	O
钾	Bnz	O
盐	Enz	O
（	Sw	O
以	Sp	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Sn	O
分	Bd	O
别	Ed	O
为	Sp	O
0	Bm	O
.	Mm	O
2	Mm	O
4	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
、	Sw	O
0	Bm	O
.	Mm	O
4	Mm	O
4	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
和	Sc	O
0	Bm	O
.	Mm	O
2	Mm	O
4	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
0	Mm	O
7	Mm	O
5	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
；	Sw	O

防	Bnz	O
腐	Mnz	O
剂	Enz	O
混	Bvn	O
合	Evn	O
使	Bv	O
用	Ev	O
时	Sn	O
各	Br	O
自	Er	O
用	Bn	O
量	En	O
占	Sv	O
其	Sr	O
最	Ba	O
大	Ea	O
使	Bn	O
用	Mn	O
量	En	O
的	Suj	O
比	Bn	O
例	En	O
之	Su	O
和	Sc	O
检	Bv	O
出	Ev	O
值	Sn	O
分	Bd	O
别	Ed	O
为	Sp	O
3	Bm	O
.	Mm	O
6	Em	O
、	Sw	O
6	Bm	O
.	Mm	O
3	Em	O
和	Sc	O
3	Bm	O
.	Mm	O
5	Em	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Sw	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

浠	Bns	O
水	Mns	O
县	Ens	O
隆	Bnr	O
源	Enr	O
贸	Bvn	O
易	Evn	O
有	Bl	O
限	Ml	O
责	Ml	O
任	El	O
公	Bn	O
司	En	O
销	Bvn	O
售	Evn	O
武	Bns	O
汉	Ens	O
旺	Bnr	O
辉	Enr	O
食	Bn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
1	Bm	O
7	Mm	O
8	Em	O
克	Bnr	O
老	Mnr	O
丁	Enr	O
锅	Bn	O
巴	En	O
，	Sw	O
黄	Bn	O
曲	Mn	O
霉	En	O
毒	Bn	O
素	En	O
B	Beng	O
1	Eeng	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
6	Bm	O
4	Mm	O
.	Mm	O
2	Mm	O
5	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
2	Bm	O
0	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

黄	Bns	O
石	Mns	O
市	Ens	O
创	Bj	O
佳	Ej	O
经	Bn	O
贸	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
销	Bvn	O
售	Evn	O
湖	Bns	O
北	Ens	O
国	Bnr	O
启	Enr	O
生	Bn	O
态	Mn	O
农	Mn	O
业	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
黄	Bnr	O
金	Mnr	O
湖	Enr	O
武	Bnr	O
昌	Mnr	O
鱼	Enr	O
（	Sw	O
黄	Sa	O
盒	Bn	O
子	En	O
）	Sw	O
，	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
及	Bc	O
其	Ec	O
钠	Bnz	O
盐	Enz	O
（	Sw	O
以	Sp	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
1	Mm	O
3	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
检	Bv	O
出	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

武	Bns	B
汉	Ens	I
盛	Bnr	I
天	Mnr	I
诚	Enr	I
商	Bn	I
贸	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
沃	Snr	O
柑	Sn	O
，	Sw	O
丙	Smg	O
溴	Sng	O
磷	Sn	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
2	Mm	O
7	Mm	O
0	Em	O
m	Beng	O
g	Eeng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
2	Em	O
m	Beng	O
g	Eeng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

黄	Bnr	O
梅	Mnr	O
县	Enr	O
黄	Bnr	O
梅	Enr	O
镇	Sn	O
九	Bnz	O
龙	Enz	O
购	Bn	O
物	Mn	O
中	Mn	O
心	En	O
销	Bvn	O
售	Evn	O
武	Bns	O
汉	Ens	O
双	Sm	O
杨	Snr	O
绿	Bn	O
色	Mn	O
食	Mn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
外	Bn	O
婆	En	O
菜	Sn	O
（	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
）	Sw	O
，	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
（	Sw	O
以	Sp	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Enz	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
1	Bm	O
.	Mm	O
4	Mm	O
4	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
.	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
；	Sw	O

苯	Bnz	O
甲	Mnz	O
酸	Enz	O
及	Bc	O
其	Ec	O
钠	Bnz	O
盐	Enz	O
（	Sw	O
以	Sp	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
1	Bm	O
.	Mm	O
9	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
.	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

仙	Bns	B
桃	Mns	I
市	Ens	I
怡	Bnz	I
通	Enz	I
商	Bn	I
贸	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
销	Bvn	O
售	Evn	O
仙	Bns	O
桃	Mns	O
市	Ens	O
健	Snr	O
仙	Sng	O
粮	Bn	O
油	Mn	O
食	Mn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
健	Bn	O
仙	En	O
芝	Bn	O
麻	Mn	O
油	En	O
，	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
1	Bm	O
5	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
0	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

湖	Bns	B
北	Ens	I
多	Bm	I
多	Em	I
特	Bn	I
产	En	I
礼	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
荆	Bns	I
州	Ens	I
多	Bm	I
多	Em	I
特	Bn	I
产	En	I
礼	Bn	I
品	En	I
超	Bv	I
市	Ev	I
销	Bvn	I
售	Evn	I
湖	Bns	I
北	Ens	I
钟	Bnr	I
氏	Enr	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
甜	Bn	O
酸	En	O
独	Bn	O
蒜	En	O
（	Sw	O
酱	Bv	O
腌	Mv	O
菜	Ev	O
）	Sw	O
，	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
（	Sw	O
以	Sp	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Enz	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
2	Bm	O
.	Mm	O
5	Mm	O
1	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
.	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

襄	Bns	B
阳	Ens	I
市	Sn	I
好	Sa	I
邻	Bv	I
居	Ev	I
连	Bvn	I
锁	Evn	I
超	Bv	I
市	Ev	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
老	Bns	I
河	Mns	I
口	Ens	I
购	Bn	I
物	Mn	I
广	Mn	I
场	En	I
销	Bvn	I
售	Evn	I
湖	Bns	I
北	Ens	I
小	Bnr	I
龙	Mnr	I
女	Enr	I
蜜	Bn	I
蜂	En	I
园	Szg	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
枣	Bn	O
花	En	O
蜂	Bn	O
蜜	En	O
，	Sw	O
氯	Bn	O
霉	Mn	O
素	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
7	Bm	O
.	Mm	O
2	Mm	O
2	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
检	Bv	O
出	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

老	Bns	O
河	Mns	O
口	Ens	O
绿	Bn	O
湖	En	O
科	Bn	O
技	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
菜	Bn	O
籽	Mn	O
油	En	O
，	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
6	Bm	O
.	Mm	O
2	Em	O
m	Beng	O
m	Meng	O
o	Meng	O
l	Eeng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
5	Bm	O
.	Mm	O
0	Em	O
m	Beng	O
m	Meng	O
o	Meng	O
l	Eeng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
武	Bns	O
汉	Ens	O
食	Bn	O
品	En	O
化	Bn	O
妆	Mn	O
品	En	O
检	Bn	O
验	Mn	O
所	En	O
。	Sw	O

中	Bnz	O
百	Enz	O
仓	Bj	O
储	Ej	O
咸	Bns	O
宁	Ens	O
购	Bn	O
物	Mn	O
广	Mn	O
场	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
销	Bvn	O
售	Evn	O
的	Suj	O
绿	Bn	O
茶	En	O
南	Bnr	O
瓜	Mnr	O
子	Enr	O
，	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
残	Bn	O
留	Mn	O
量	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
3	Mm	O
6	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O

监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

湖	Bns	B
北	Ens	I
好	Sa	I
邻	Bv	I
居	Ev	I
商	Bn	I
贸	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
天	Bns	I
桥	Ens	I
分	Bn	I
公	Mn	I
司	En	E
销	Bvn	O
售	Evn	O
好	Sa	O
邻	Bv	O
居	Ev	O
豆	Bn	O
腐	Mn	O
房	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
素	Bn	O
鸡	En	O
，	Sw	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
及	Bc	O
其	Ec	O
钾	Bnz	O
盐	Enz	O
（	Sw	O
以	Sp	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
0	Mm	O
6	Mm	O
2	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
药	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

红	Bns	O
安	Mns	O
县	Ens	O
红	Sa	O
万	Bm	O
家	Em	O
购	Bn	O
物	Mn	O
广	Mn	O
场	En	O
销	Bvn	O
售	Evn	O
的	Suj	O
白	Sn	O
南	Bnr	O
瓜	Mnr	O
子	Enr	O
，	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
残	Bn	O
留	Mn	O
量	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
2	Bm	O
.	Mm	O
9	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
药	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

中	Bnz	B
百	Enz	I
超	Bv	I
市	Ev	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
万	Bnz	I
科	Enz	I
城	Bns	I
市	Ens	I
花	Bn	I
园	En	I
分	Bn	I
店	En	I
销	Bvn	I
售	Evn	I
湖	Bns	I
北	Ens	I
永	Bnz	I
信	Enz	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
永	Sd	O
信	Bn	O
牌	En	O
醇	Bnz	O
香	Enz	O
牛	Bn	O
肉	En	O
味	Sn	O
花	Bn	O
生	En	O
，	Sw	O
霉	Bn	O
菌	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
6	Bm	O
0	Em	O
C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
2	Bm	O
5	Em	O
C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
