粤	Sj	O
度	Ed	O
和	Sc	O
P	Bn	O
H	Mn	O
值	En	O
；	Sw	O

没	Bv	O
有	Ev	O
出	Bv	O
现	Ev	O
甲	Bnz	O
醛	Enz	O
含	Bn	O
量	En	O
和	Sc	O
可	Bl	O
分	Ml	O
解	El	O
致	Bv	O
癌	Ev	O
芳	Bn	O
香	En	O
胺	Sn	O
染	Bn	O
料	En	O
这	Bnz	O
两	Mnz	O
项	Enz	O
严	Ba	O
重	Ea	O
质	Bn	O
量	En	O
问	Bn	O
题	En	O
，	Sw	O
校	Bn	O
服	En	O
质	Bn	O
量	En	O
总	Bn	O
体	En	O
情	Bn	O
况	En	O
较	Sd	O
好	Sa	O
。	Sw	O

广	Bns	O
东	Ens	O
产	Bn	O
品	Mn	O
质	Mn	O
量	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
项	Bn	O
目	En	O
工	Bn	O
程	Mn	O
师	En	O
韦	Bnr	O
波	Enr	O
介	Bv	O
绍	Ev	O
，	Sw	O
本	Br	O
次	Er	O
抽	Bv	O
查	Ev	O
中	Sf	O
，	Sw	O
有	Sv	O
企	Bn	O
业	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
校	Bn	O
服	En	O
存	Bv	O
在	Ev	O
色	Sng	O
牢	Bd	O
度	Ed	O
问	Bn	O
题	En	O
，	Sw	O
其	Br	O
中	Er	O
广	Bns	O
州	Ens	O
铂	Sn	O
仕	Sn	O
服	Bvn	O
装	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
德	Bnr	O
思	Mnr	O
宝	Enr	O
牌	Sn	O
男	Bn	O
装	En	O
小	Bn	O
学	En	O
校	Bn	O
服	En	O
和	Sc	O
东	Bns	O
莞	Mns	O
市	Ens	O
柏	Bnr	O
文	Mnr	O
度	Enr	O
服	Bvn	O
装	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
柏	Bns	O
文	Mns	O
度	Ens	O
牌	Sn	O
学	Bn	O
生	Mn	O
服	En	O
（	Sw	O
下	Bv	O
装	Ev	O
）	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
耐	Snz	O
摩	Bvn	O
擦	Evn	O
色	Sng	O
牢	Bd	O
度	Ed	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
东	Bns	O
莞	Mns	O
市	Ens	O
沙	Bnr	O
田	Enr	O
翠	Bnr	O
儿	Enr	O
制	Bn	O
衣	Mn	O
厂	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
针	Bn	O
织	En	O
学	Bn	O
生	Mn	O
服	En	O
（	Sw	O
裤	Bn	O
子	En	O
）	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
耐	Snz	O
光	Bn	O
色	En	O
牢	Bd	O
度	Ed	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

色	Sng	O
牢	Bd	O
度	Ed	O
不	Sd	O
合	Bn	O
格	En	O
意	Bv	O
味	Mv	O
着	Ev	O
衣	Bn	O
服	En	O
的	Suj	O
染	Bn	O
料	En	O
容	Ba	O
易	Ea	O
掉	Bv	O
色	Ev	O
，	Sw	O
可	Bv	O
能	Ev	O
会	Sv	O
对	Sp	O
人	Bn	O
体	En	O
产	Bn	O
生	En	O
伤	Ba	O
害	Ea	O
。	Sw	O

而	Sc	O
佛	Bns	O
山	Mns	O
市	Ens	O
顺	Bns	O
德	Mns	O
区	Ens	O
尼	Bnr	O
高	Enr	O
服	Bvn	O
装	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
铌	Sng	O
高	Bn	O
牌	En	O
初	Bf	O
中	Ef	O
夏	Bnr	O
女	Enr	O
短	Bb	O
袖	Eb	O
衣	Bn	O
被	En	O
判	Bv	O
定	Ev	O
为	Sp	O
p	Beng	O
H	Eeng	O
值	Sn	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
但	Sc	O
经	Sn	O
清	Bn	O
水	En	O
清	Bv	O
洗	Ev	O
后	Sf	O
数	Bn	O
值	En	O
合	Bn	O
格	En	O
。	Sw	O

韦	Bnr	O
波	Enr	O
建	Bn	O
议	En	O
，	Sw	O
市	Bn	O
民	En	O
拿	Bv	O
到	Ev	O
了	Sul	O
新	Sa	O
校	Bn	O
服	En	O
后	Sf	O
最	Ba	O
好	Ea	O
都	Sd	O
要	Sv	O
先	Sd	O
清	Bv	O
洗	Ev	O
，	Sw	O
再	Sd	O
穿	Bv	O
着	Ev	O
。	Sw	O

此	Bc	O
外	Ec	O
，	Sw	O
在	Sp	O
发	Bn	O
布	Mn	O
会	En	O
上	Sf	O
，	Sw	O
广	Bns	O
东	Mns	O
省	Ens	O
质	Bj	O
监	Mj	O
局	Ej	O
还	Sd	O
公	Bv	O
布	Ev	O
了	Sul	O
对	Sp	O
9	Sm	O
个	Sm	O
地	Bn	O
市	En	O
8	Bm	O
4	Em	O
家	Sm	O
企	Bn	O
业	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
1	Bm	O
5	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
文	Bn	O
具	En	O
及	Sc	O
类	Bv	O
似	Ev	O
用	Bn	O
品	En	O
（	Sw	O
学	Bn	O
生	Mn	O
用	Mn	O
品	En	O
）	Sw	O
产	Bn	O
品	En	O
的	Suj	O
抽	Bv	O
查	Ev	O
结	Bn	O
果	En	O
。	Sw	O

经	Sn	O
检	Bvn	O
验	Evn	O
，	Sw	O
惠	Bns	O
州	Mns	O
市	Ens	O
惠	Bns	O
城	Mns	O
区	Ens	O
金	Bnr	O
欣	Enr	O
文	Bn	O
具	En	O
制	Bn	O
品	Mn	O
厂	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
酒	Bn	O
精	En	O
油	Bn	O
性	En	O
手	Bn	O
绘	En	O
马	Bnr	O
克	Mnr	O
笔	Enr	O
（	Sw	O
水	Sn	O
彩	Bn	O
色	En	O
）	Sw	O
成	Bv	O
为	Ev	O
唯	Bb	O
一	Eb	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Br	O
笔	Er	O
的	Suj	O
上	Bn	O
帽	En	O
安	Ban	O
全	Ean	O
。	Sw	O

广	Bns	O
东	Mns	O
省	Ens	O
质	Bj	O
监	Mj	O
局	Ej	O
方	Bn	O
面	En	O
表	Bv	O
示	Ev	O
，	Sw	O
抽	Bv	O
查	Ev	O
后	Sf	O
联	Bv	O
合	Ev	O
教	Bn	O
育	Mn	O
部	Mn	O
门	En	O
约	Sd	O
谈	Sv	O
了	Sul	O
不	Sd	O
合	Bn	O
格	En	O
企	Bn	O
业	En	O
，	Sw	O
责	Bn	O
令	En	O
企	Bn	O
业	En	O
停	Bv	O
止	Ev	O
产	Bj	O
品	Mj	O
销	Mj	O
售	Ej	O
、	Sw	O
主	Bb	O
动	Eb	O
收	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
。	Sw	O

相	Bv	O
关	Ev	O
地	Bn	O
市	En	O
的	Suj	O
质	Bn	O
监	En	O
部	Bn	O
门	En	O
对	Sp	O
不	Sv	O
合	Bn	O
格	En	O
企	Bn	O
业	En	O
也	Sd	O
下	Bv	O
达	Ev	O
了	Sul	O
责	Bn	O
令	En	O
整	Bv	O
改	Ev	O
通	Bnr	O
知	Mnr	O
书	Enr	O
，	Sw	O
依	Bn	O
法	En	O
组	Bv	O
织	Ev	O
复	Bvn	O
查	Evn	O
。	Sw	O

相	Bv	O
关	Ev	O
不	Sd	O
合	Bn	O
格	En	O
企	Bn	O
业	En	O
被	Sp	O
要	Bv	O
求	Ev	O
认	Bad	O
真	Ead	O
查	Bv	O
找	Ev	O
不	Sd	O
合	Bn	O
格	En	O
原	Bn	O
因	En	O
，	Sw	O
积	Bad	O
极	Ead	O
整	Bv	O
改	Ev	O
，	Sw	O
提	Bv	O
高	Ev	O
产	Bn	O
品	Mn	O
质	Mn	O
量	En	O
。	Sw	O

