北	Bns	B
知	Bv	O
识	Ev	O
法	Bn	O
规	En	O
学	Bv	O
习	Ev	O
培	Bvn	O
训	Evn	O
考	Bvn	O
核	Evn	O
情	Bn	O
况	En	O
；	Sw	O

公	Bb	O
共	Eb	O
用	Bn	O
品	En	O
用	Bn	O
具	En	O
清	Bv	O
洗	Ev	O
消	Bvn	O
毒	Evn	O
保	Ba	O
洁	Ea	O
以	Bc	O
及	Ec	O
卫	Ban	O
生	Ean	O
许	Bnr	O
可	Mnr	O
证	Enr	O
、	Sw	O
档	Bn	O
案	En	O
、	Sw	O
制	Bn	O
度	En	O
、	Sw	O
公	Bv	O
示	Ev	O
等	Su	O
方	Bn	O
面	En	O
的	Suj	O
情	Bn	O
况	En	O
。	Sw	O

据	Bn	O
介	Mn	O
绍	En	O
，	Sw	O
目	Bt	O
前	Et	O
全	Bn	O
市	En	O
共	Bv	O
有	Ev	O
快	Bn	O
捷	Mn	O
酒	Mn	O
店	En	O
1	Bm	O
0	Mm	O
5	Mm	O
2	Em	O
家	Sm	O
，	Sw	O
其	Br	O
中	Er	O
大	Bm	O
部	Mm	O
分	Em	O
采	Bv	O
用	Ev	O
棉	Bn	O
织	En	O
外	Sf	O
送	Sv	O
清	Bv	O
洗	Ev	O
，	Sw	O
采	Bv	O
用	Ev	O
棉	Bn	O
织	En	O
自	Br	O
行	Er	O
清	Bv	O
洗	Ev	O
的	Suj	O
有	Sv	O
4	Bm	O
1	Em	O
家	Sm	O
。	Sw	O

本	Br	O
次	Er	O
专	Bn	O
项	En	O
共	Sd	O
监	Bvn	O
督	Evn	O
检	Bvn	O
查	Evn	O
6	Bm	O
9	Mm	O
1	Em	O
户	Sn	O
，	Sw	O
合	Bn	O
格	En	O
6	Bm	O
3	Mm	O
3	Em	O
户	Sn	O
，	Sw	O
合	Bn	O
格	Mn	O
率	En	O
9	Bm	O
1	Mm	O
.	Mm	O
6	Mm	O
1	Em	O
%	Sw	O
，	Sw	O
比	Sp	O
2	Bm	O
0	Mm	O
1	Mm	O
6	Em	O
的	Suj	O
8	Bm	O
8	Mm	O
.	Mm	O
3	Mm	O
5	Em	O
%	Sw	O
年	Sm	O
提	Bv	O
高	Ev	O
了	Sul	O
3	Bm	O
.	Mm	O
2	Mm	O
6	Em	O
%	Sw	O
；	Sw	O

同	Bc	O
时	Ec	O
对	Sp	O
1	Bm	O
5	Mm	O
4	Em	O
家	Sm	O
快	Bn	O
捷	Mn	O
酒	Mn	O
店	En	O
的	Suj	O
公	Bb	O
共	Eb	O
用	Bn	O
品	En	O
用	Bn	O
具	En	O
消	Bvn	O
毒	Evn	O
效	Bn	O
果	En	O
进	Bv	O
行	Ev	O
了	Sul	O
抽	Bv	O
检	Ev	O
，	Sw	O
其	Br	O
中	Er	O
1	Bm	O
4	Mm	O
9	Em	O
家	Sm	O
合	Bn	O
格	En	O
，	Sw	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
6	Mm	O
.	Mm	O
7	Mm	O
5	Em	O
%	Sw	O
，	Sw	O
比	Sp	O
2	Bm	O
0	Mm	O
1	Mm	O
6	Em	O
年	Sm	O
的	Suj	O
9	Bm	O
5	Mm	O
.	Mm	O
0	Mm	O
2	Em	O
%	Sw	O
提	Bv	O
高	Ev	O
了	Sul	O
1	Bm	O
.	Mm	O
7	Mm	O
3	Em	O
%	Sw	O
。	Sw	O

对	Sp	O
抽	Bv	O
检	Ev	O
卫	Ban	O
生	Ean	O
检	Bvn	O
测	Evn	O
指	Bn	O
标	En	O
不	Sd	O
符	Bn	O
合	Mn	O
国	Mn	O
家	En	O
卫	Bn	O
生	Mn	O
标	Mn	O
准	En	O
、	Sw	O
未	Sd	O
按	Bp	O
照	Ep	O
规	Bn	O
定	En	O
对	Sp	O
顾	Bnr	O
客	Enr	O
用	Bn	O
品	En	O
用	Bn	O
具	En	O
进	Bv	O
行	Ev	O
清	Bv	O
洗	Ev	O
、	Sw	O
消	Bvn	O
毒	Evn	O
、	Sw	O
保	Ba	O
洁	Ea	O
的	Suj	O
单	Bn	O
位	En	O
，	Sw	O
进	Bv	O
行	Ev	O
了	Sul	O
责	Bn	O
令	En	O
整	Bv	O
改	Ev	O
，	Sw	O
并	Sc	O
对	Sp	O
其	Br	O
中	Er	O
4	Bm	O
6	Em	O
家	Sm	O
单	Bn	O
位	En	O
做	Bv	O
出	Ev	O
了	Sul	O
行	Bn	O
政	Mn	O
处	Mn	O
罚	En	O
，	Sw	O
其	Br	O
中	Er	O
罚	Bn	O
款	En	O
3	Bm	O
5	Em	O
家	Sm	O
，	Sw	O
拟	Sv	O
罚	Bn	O
款	En	O
6	Bm	O
.	Mm	O
9	Em	O
万	Bm	O
元	Em	O
。	Sw	O

“	Sw	O
存	Bv	O
在	Ev	O
的	Suj	O
最	Sa	O
主	Bb	O
要	Eb	O
问	Bn	O
题	En	O
是	Sv	O
公	Bb	O
共	Eb	O
卫	Bn	O
生	Mn	O
用	Mn	O
品	En	O
、	Sw	O
棉	Bn	O
织	Mn	O
品	En	O
微	Bl	O
生	Ml	O
物	El	O
指	Bn	O
标	En	O
超	Bv	O
标	Ev	O
，	Sw	O
比	Bv	O
如	Ev	O
酒	Bn	O
店	En	O
毛	Bnr	O
巾	Enr	O
、	Sw	O
床	Bn	O
单	En	O
、	Sw	O
被	Bn	O
罩	En	O
的	Suj	O
大	Bl	O
肠	Ml	O
杆	Ml	O
菌	El	O
、	Sw	O
细	Bn	O
菌	En	O
超	Bv	O
标	Ev	O
。	Sw	O

”	Sw	O
据	Bn	O
介	Mn	O
绍	En	O
，	Sw	O
根	Bp	O
据	Ep	O
卫	Bn	O
生	Mn	O
标	Mn	O
准	En	O
要	Bv	O
求	Ev	O
，	Sw	O
酒	Bn	O
店	En	O
棉	Bn	O
织	Mn	O
品	En	O
要	Sv	O
做	Bv	O
到	Ev	O
一	Sm	O
客	Sng	O
一	Sm	O
换	Sv	O
，	Sw	O
没	Bv	O
有	Ev	O
污	Bn	O
渍	En	O
、	Sw	O
异	Bn	O
味	En	O
、	Sw	O
毛	Bnr	O
发	Enr	O
等	Su	O
，	Sw	O
另	Bc	O
外	Ec	O
，	Sw	O
对	Bp	O
于	Ep	O
酒	Bn	O
店	Mn	O
设	Mn	O
施	En	O
的	Suj	O
清	Bv	O
洗	Ev	O
顺	Bn	O
序	En	O
也	Sd	O
有	Sv	O
明	Bl	O
确	Ml	O
要	Ml	O
求	El	O
，	Sw	O
比	Bv	O
如	Ev	O
清	Ba	O
洁	Ea	O
要	Sv	O
按	Bp	O
照	Ep	O
面	Bn	O
盆	En	O
、	Sw	O
浴	Bn	O
缸	En	O
、	Sw	O
马	Bn	O
桶	En	O
的	Suj	O
先	Bi	O
后	Mi	O
顺	Mi	O
序	Ei	O
进	Bv	O
行	Ev	O
。	Sw	O

昨	Bt	O
日	Et	O
，	Sw	O
市	Sn	O
卫	Ban	O
生	Ean	O
监	Bvn	O
督	Evn	O
所	Bv	O
对	Ev	O
被	Sp	O
处	Bv	O
罚	Ev	O
和	Sc	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
的	Suj	O
单	Bn	O
位	En	O
进	Bv	O
行	Ev	O
集	Bv	O
中	Ev	O
约	Sd	O
谈	Sv	O
，	Sw	O
促	Bv	O
使	Ev	O
其	Sr	O
规	Bn	O
范	En	O
其	Sr	O
经	Bvn	O
营	Evn	O
行	Bv	O
为	Ev	O
。	Sw	O

“	Sw	O
如	Bc	O
果	Ec	O
整	Bv	O
改	Ev	O
不	Bn	O
力	En	O
，	Sw	O
明	Bt	O
年	Et	O
我	Br	O
们	Er	O
还	Sd	O
将	Sd	O
加	Bv	O
大	Ev	O
处	Bv	O
罚	Ev	O
力	Bn	O
度	En	O
，	Sw	O
按	Bp	O
照	Ep	O
高	Bn	O
限	En	O
2	Sm	O
万	Bm	O
元	Em	O
处	Bv	O
罚	Ev	O
力	Bn	O
度	En	O
进	Bv	O
行	Ev	O
查	Bv	O
处	Ev	O
。	Sw	O

同	Bc	O
时	Ec	O
，	Sw	O
还	Sd	O
将	Sd	O
约	Sd	O
谈	Sv	O
快	Bn	O
捷	Mn	O
酒	Mn	O
店	En	O
的	Suj	O
总	Bn	O
部	En	O
，	Sw	O
签	Bv	O
署	Ev	O
承	Bnr	O
诺	Mnr	O
书	Enr	O
。	Sw	O

”	Sw	O
未	Bt	O
来	Et	O
，	Sw	O
本	Bn	O
市	En	O
还	Sd	O
将	Sd	O
安	Bv	O
排	Ev	O
抽	Bv	O
检	Ev	O
、	Sw	O
专	Bn	O
项	En	O
检	Bvn	O
查	Evn	O
、	Sw	O
处	Bv	O
理	Ev	O
投	Bv	O
诉	Ev	O
举	Bv	O
报	Ev	O
等	Su	O
多	Bl	O
种	Ml	O
形	Ml	O
式	El	O
的	Suj	O
督	Bvn	O
查	Evn	O
，	Sw	O
对	Bp	O
于	Ep	O
病	Bn	O
媒	En	O
生	Bn	O
物	En	O
、	Sw	O
室	Bn	O
内	Mn	O
空	Mn	O
气	En	O
质	Bn	O
量	En	O
也	Sd	O
将	Sd	O
加	Bv	O
强	Ev	O
监	Bvn	O
测	Evn	O
。	Sw	O

北	Bnz	O
京	Mnz	O
晨	Mnz	O
报	Enz	O
记	Bn	O
者	En	O

徐	Snr	O
晶	Bn	O
晶	En	O

