湖	Bns	B
率	En	O
较	Ba	O
高	Ea	O
的	Suj	O
食	Bn	O
品	En	O
类	Bn	O
别	En	O
有	Sv	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
（	Sw	O
8	Bm	O
.	Mm	O
5	Mm	O
8	Em	O
%	Sw	O
）	Sw	O
、	Sw	O
冷	Bv	O
冻	Ev	O
饮	Bn	O
品	En	O
（	Sw	O
7	Bm	O
.	Mm	O
6	Mm	O
9	Em	O
%	Sw	O
）	Sw	O
、	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
（	Sw	O
6	Bm	O
.	Mm	O
4	Mm	O
9	Em	O
%	Sw	O
）	Sw	O
、	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O
（	Sw	O
6	Bm	O
.	Mm	O
0	Mm	O
6	Em	O
%	Sw	O
）	Sw	O
、	Sw	O
餐	Bn	O
饮	En	O
食	Bn	O
品	En	O
（	Sw	O
4	Bm	O
.	Mm	O
5	Mm	O
8	Em	O
%	Sw	O
）	Sw	O
、	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
（	Sw	O
3	Bm	O
.	Mm	O
3	Mm	O
6	Em	O
%	Sw	O
）	Sw	O
、	Sw	O
酒	Bn	O
类	En	O
（	Sw	O
3	Bm	O
.	Mm	O
3	Mm	O
6	Em	O
%	Sw	O
）	Sw	O
等	Su	O
。	Sw	O

发	Bv	O
现	Ev	O
的	Suj	O
主	Bb	O
要	Eb	O
问	Bn	O
题	En	O
有	Sv	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
（	Sw	O
1	Bm	O
1	Mm	O
3	Em	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
其	Br	O
他	Er	O
污	Bn	O
染	Mn	O
物	En	O
超	Bv	O
标	Ev	O
（	Sw	O
4	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
其	Br	O
他	Er	O
微	Bl	O
生	Ml	O
物	El	O
不	Sd	O
合	Bn	O
格	En	O
（	Sw	O
3	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
质	Bn	O
量	Mn	O
指	Mn	O
标	En	O
不	Sd	O
合	Bn	O
格	En	O
（	Sw	O
9	Sw	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
（	Sw	O
9	Sw	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
农	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
（	Sw	O
3	Sw	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
检	Bv	O
出	Ev	O
致	Bn	O
病	Mn	O
性	En	O
微	Bl	O
生	Ml	O
物	El	O
（	Sw	O
2	Sw	O
批	Bd	O
次	Ed	O
）	Sw	O
，	Sw	O
检	Bv	O
出	Ev	O
非	Sh	O
食	Bn	O
用	En	O
性	Sn	O
物	Bn	O
质	En	O
（	Sw	O
1	Sw	O
批	Bd	O
次	Ed	O
）	Sw	O
。	Sw	O

本	Bt	O
月	Et	O
抽	Bv	O
检	Ev	O
食	Bn	O
品	En	O
中	Sf	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
是	Sv	O
发	Bv	O
现	Ev	O
的	Suj	O
主	Bb	O
要	Eb	O
问	Bn	O
题	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
5	Bm	O
2	Mm	O
.	Mm	O
3	Em	O
%	Sw	O
。	Sw	O

食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
在	Sp	O
食	Bn	O
品	En	O
中	Sf	O
有	Sv	O
防	Bv	O
止	Ev	O
变	Bn	O
质	En	O
、	Sw	O
改	Bv	O
善	Ev	O
感	Bn	O
官	En	O
、	Sw	O
保	Bv	O
持	Ev	O
营	Bn	O
养	En	O
、	Sw	O
方	Ba	O
便	Ea	O
加	Bvn	O
工	Evn	O
等	Su	O
作	Bv	O
用	Ev	O
，	Sw	O
超	Bv	O
过	Ev	O
标	Bn	O
准	En	O
范	Bn	O
围	En	O
和	Sc	O
使	Bn	O
用	Mn	O
量	En	O
使	Bv	O
用	Ev	O
会	Sv	O
对	Sp	O
人	Bn	O
体	En	O
产	Bn	O
生	En	O
危	Bn	O
害	En	O
。	Sw	O

本	Bt	O
月	Et	O
抽	Bv	O
检	Ev	O
食	Bn	O
品	En	O
中	Sf	O
问	Bn	O
题	En	O
较	Bd	O
为	Ed	O
突	Bv	O
出	Ev	O
的	Suj	O
是	Sv	O
防	Bnz	O
腐	Mnz	O
剂	Enz	O
（	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
、	Sw	O
脱	Bv	O
氢	Ev	O
乙	Bn	O
酸	En	O
、	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
、	Sw	O
亚	Bnz	O
硝	Mnz	O
酸	Mnz	O
盐	Enz	O
）	Sw	O
、	Sw	O
甜	Bn	O
味	Mn	O
剂	En	O
（	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
、	Sw	O
安	Bnr	O
赛	Mnr	O
蜜	Enr	O
）	Sw	O
和	Sc	O
含	Sv	O
铝	Sn	O
膨	Bn	O
松	Mn	O
剂	En	O
的	Suj	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
。	Sw	O

本	Bt	O
月	Et	O
抽	Bv	O
检	Ev	O
检	Bv	O
出	Ev	O
的	Suj	O
其	Br	O
他	Er	O
污	Bn	O
染	Mn	O
物	En	O
不	Sd	O
合	Bn	O
格	En	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
0	Mm	O
.	Mm	O
4	Em	O
%	Sw	O
，	Sw	O
检	Bv	O
出	Ev	O
超	Bv	O
标	Ev	O
的	Suj	O
污	Bn	O
染	Mn	O
物	En	O
主	Bb	O
要	Eb	O
是	Sv	O
苯	Sn	O
并	Sc	O
（	Sw	O
a	Sw	O
）	Sw	O
芘	Sw	O
、	Sw	O
氰	Bn	O
化	Mn	O
物	En	O
、	Sw	O
阴	Bn	O
离	Mn	O
子	En	O
合	Bn	O
成	Mn	O
洗	Mn	O
涤	Mn	O
剂	En	O
。	Sw	O

阴	Bn	O
离	Mn	O
子	En	O
合	Bn	O
成	Mn	O
洗	Mn	O
涤	Mn	O
剂	En	O
超	Bv	O
标	Ev	O
主	Bb	O
要	Eb	O
是	Sv	O
餐	Bn	O
饮	Mn	O
具	En	O
用	Sp	O
洗	Bnz	O
涤	Mnz	O
剂	Enz	O
进	Bv	O
行	Ev	O
清	Bv	O
洗	Ev	O
后	Sf	O
漂	Bv	O
洗	Ev	O
不	Sd	O
完	Bad	O
全	Ead	O
导	Bv	O
致	Ev	O
。	Sw	O

本	Bt	O
月	Et	O
抽	Bv	O
检	Ev	O
检	Bv	O
出	Ev	O
的	Suj	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
为	Sp	O
主	Bb	O
要	Eb	O
为	Sp	O
氟	Bnz	O
苯	Mnz	O
尼	Enz	O
考	Sv	O
、	Sw	O
氯	Bn	O
霉	Mn	O
素	En	O
、	Sw	O
氰	Bnz	O
戊	Mnz	O
菊	Mnz	O
酯	Enz	O
、	Sw	O
沙	Bnz	O
丁	Mnz	O
胺	Mnz	O
醇	Enz	O
。	Sw	O

氟	Bnz	O
苯	Mnz	O
尼	Enz	O
考	Bv	O
是	Ev	O
一	Bm	O
种	Em	O
农	Bnt	O
业	Mnt	O
部	Ent	O
批	Bv	O
准	Ev	O
使	Bv	O
用	Ev	O
的	Suj	O
动	Bn	O
物	En	O
专	Bn	O
用	En	O
抗	Bnz	O
菌	Mnz	O
药	Enz	O
，	Sw	O
按	Sp	O
质	Bn	O
量	Mn	O
标	Mn	O
准	En	O
、	Sw	O
产	Bn	O
品	En	O
使	Bv	O
用	Ev	O
说	Bn	O
明	Mn	O
书	En	O
规	Bn	O
定	En	O
，	Sw	O
用	Bv	O
于	Ev	O
敏	Ba	O
感	Ea	O
细	Bn	O
菌	En	O
所	Bc	O
致	Ec	O
的	Suj	O
猪	Sn	O
、	Sw	O
鸡	Sn	O
、	Sw	O
鱼	Sn	O
的	Suj	O
细	Bn	O
菌	Mn	O
性	En	O
疾	Bn	O
病	En	O
，	Sw	O
但	Sc	O
产	Bn	O
蛋	En	O
家	Bn	O
禽	En	O
禁	Bv	O
止	Ev	O
使	Bv	O
用	Ev	O
。	Sw	O

鸡	Bn	O
蛋	En	O
中	Sf	O
检	Bv	O
出	Ev	O
氟	Bnz	O
苯	Mnz	O
尼	Enz	O
考	Sv	O
可	Bv	O
能	Ev	O
是	Sv	O
企	Bn	O
业	En	O
违	Bvn	O
规	Evn	O
使	Bv	O
用	Ev	O
了	Sul	O
兽	Bn	O
药	En	O
氟	Bnz	O
苯	Mnz	O
尼	Enz	O
考	Sv	O
或	Sc	O
饲	Bn	O
料	En	O
带	Bv	O
入	Ev	O
，	Sw	O
导	Bv	O
致	Ev	O
残	Bv	O
留	Ev	O
积	Bv	O
累	Ev	O
在	Sp	O
鸡	Bn	O
蛋	En	O
中	Sf	O
。	Sw	O

本	Bt	O
月	Et	O
抽	Bv	O
检	Ev	O
的	Suj	O
其	Br	O
他	Er	O
微	Bl	O
生	Ml	O
物	El	O
主	Bb	O
要	Eb	O
是	Sv	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
、	Sw	O
霉	Bn	O
菌	En	O
超	Bv	O
标	Ev	O
，	Sw	O
检	Bv	O
出	Ev	O
的	Suj	O
致	Bn	O
病	Mn	O
性	En	O
微	Bl	O
生	Ml	O
物	El	O
是	Sv	O
铜	Bn	O
绿	En	O
假	Sn	O
单	Bn	O
胞	Mn	O
菌	En	O
；	Sw	O

质	Bn	O
量	Mn	O
指	Mn	O
标	En	O
不	Sd	O
合	Bn	O
格	En	O
主	Bb	O
要	Eb	O
是	Sv	O
总	Bn	O
酸	En	O
、	Sw	O
酒	Bn	O
精	Mn	O
度	En	O
、	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
、	Sw	O
耗	Bn	O
氧	Mn	O
量	En	O
、	Sw	O
电	Bn	O
导	Mn	O
率	En	O
等	Su	O
；	Sw	O

检	Bv	O
出	Ev	O
的	Suj	O
农	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
为	Sp	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
；	Sw	O

检	Bv	O
出	Ev	O
的	Suj	O
非	Sh	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
为	Sp	O
过	Bnz	O
氧	Mnz	O
化	Mnz	O
苯	Mnz	O
甲	Mnz	O
酰	Enz	O
。	Sw	O

过	Bnz	O
氧	Mnz	O
化	Mnz	O
苯	Mnz	O
甲	Mnz	O
酰	Enz	O
曾	Sd	O
作	Bv	O
为	Ev	O
一	Bm	O
种	Em	O
面	Bn	O
粉	En	O
增	Bn	O
白	Mn	O
剂	En	O
，	Sw	O
但	Sc	O
我	Br	O
国	Er	O
已	Bd	O
经	Ed	O
禁	Bv	O
止	Ev	O
该	Sr	O
物	Bn	O
质	En	O
作	Bv	O
为	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
使	Bv	O
用	Ev	O
。	Sw	O

《	Sw	O
食	Bn	O
品	En	O
中	Sf	O
可	Bv	O
能	Ev	O
违	Bvn	O
法	Evn	O
添	Bv	O
加	Ev	O
的	Suj	O
非	Sh	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
和	Sc	O
易	Sa	O
滥	Bv	O
用	Ev	O
的	Suj	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
名	Bn	O
单	En	O
》	Sw	O
（	Sw	O
第	Sm	O

1	Sw	O
-	Sw	O
5	Sw	O

批	Sq	O
汇	Bn	O
总	En	O
）	Sw	O
中	Sf	O
规	Bn	O
定	En	O
过	Bnz	O
氧	Mnz	O
化	Mnz	O
苯	Mnz	O
甲	Mnz	O
酰	Enz	O
为	Sp	O
非	Sh	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
。	Sw	O

针	Bp	O
对	Ep	O
以	Bf	O
上	Ef	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
问	Bn	O
题	En	O
，	Sw	O
省	Bn	O
局	En	O
责	Bv	O
成	Ev	O
有	Bvn	O
关	Evn	O
市	Bn	O
州	Mn	O
局	En	O
及	Bc	O
时	Ec	O
采	Bnr	O
取	Mnr	O
措	Mnr	O
施	Enr	O
督	Bv	O
促	Ev	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
立	Bd	O
即	Ed	O
封	Bv	O
存	Ev	O
、	Sw	O
下	Bv	O
架	Ev	O
和	Sc	O
召	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
及	Bc	O
时	Ec	O
查	Bv	O
找	Ev	O
问	Bn	O
题	En	O
原	Bn	O
因	En	O
、	Sw	O
排	Bvn	O
查	Evn	O
风	Bn	O
险	En	O
因	Bn	O
素	En	O
，	Sw	O
制	Bv	O
定	Ev	O
整	Bn	O
改	Mn	O
措	Mn	O
施	En	O
，	Sw	O
并	Sc	O
对	Sp	O
生	Bvn	O
产	Evn	O
经	Bvn	O
营	Evn	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
企	Bn	O
业	En	O
进	Bv	O
行	Ev	O
立	Bn	O
案	Mn	O
查	Mn	O
处	En	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
督	Mn	O
管	Mn	O
理	En	O
部	Bn	O
门	En	O
也	Sd	O
按	Sp	O
要	Bv	O
求	Ev	O
及	Bc	O
时	Ec	O
对	Sp	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
进	Bv	O
行	Ev	O
了	Sul	O
公	Bv	O
示	Ev	O
。	Sw	O

各	Sr	O
大	Sd	O
类	Bn	O
食	Mn	O
品	En	O
的	Suj	O
抽	Bv	O
检	Ev	O
批	Bd	O
次	Ed	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
批	Bd	O
次	Ed	O
及	Sc	O
样	Bn	O
品	En	O
不	Bn	O
合	Mn	O
格	Mn	O
率	En	O
的	Suj	O
汇	Bn	O
总	En	O
情	Bn	O
况	En	O
见	Sv	O
附	Bn	O
表	En	O
。	Sw	O

