沪	Sj	O
花	Mn	O
籽	En	O
油	Sn	O
（	Sw	O
2	Bm	O
.	Mm	O
5	Em	O
升	Sv	O
/	Sw	O
瓶	Sn	O
2	Bm	O
0	Mm	O
1	Mm	O
6	Em	O
-	Sw	O
1	Bm	O
2	Em	O
-	Sw	O
1	Bm	O
2	Em	O
）	Sw	O
，	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
脂	Bn	O
肪	Mn	O
酸	En	O
组	Bv	O
成	Ev	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

对	Sp	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
上	Bns	B
海	Mns	I
市	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
已	Sd	O
要	Bv	O
求	Ev	O
相	Bv	O
关	Ev	O
区	Sn	O
市	Bn	O
场	En	O
监	Bvn	O
督	Evn	O
管	Bn	O
理	Mn	O
局	En	O
及	Bc	O
时	Ec	O
对	Sp	O
不	Sv	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
及	Bc	O
其	Ec	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
进	Bv	O
行	Ev	O
调	Bvn	O
查	Evn	O
处	Bv	O
理	Ev	O
，	Sw	O
依	Bl	O
法	Ml	O
查	Ml	O
处	El	O
，	Sw	O
进	Bd	O
一	Md	O
步	Ed	O
督	Bv	O
促	Ev	O
企	Bn	O
业	En	O
履	Bv	O
行	Ev	O
法	Bn	O
定	En	O
义	Bn	O
务	En	O
，	Sw	O
并	Sc	O
将	Sd	O
相	Bv	O
关	Ev	O
情	Bn	O
况	En	O
记	Bv	O
入	Ev	O
食	Bn	O
品	En	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
信	Bn	O
用	En	O
档	Bn	O
案	En	O
。	Sw	O

查	Bv	O
处	Ev	O
情	Bn	O
况	En	O
由	Sp	O
企	Bn	O
业	En	O
所	Bn	O
在	Mn	O
地	En	O
负	Bv	O
责	Ev	O
案	Bn	O
件	En	O
查	Bv	O
办	Ev	O
的	Suj	O
区	Sn	O
市	Bn	O
场	En	O
监	Bvn	O
督	Evn	O
管	Bn	O
理	Mn	O
局	En	O
按	Bl	O
规	Ml	O
定	El	O
公	Bad	O
开	Ead	O
。	Sw	O

上	Bns	B
海	Mns	I
市	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
特	Bd	O
别	Ed	O
提	Bv	O
醒	Ev	O
消	Bn	O
费	Mn	O
者	En	O
，	Sw	O
如	Sv	O
购	Bv	O
买	Ev	O
或	Sc	O
在	Sp	O
市	Bn	O
场	En	O
上	Sf	O
发	Bv	O
现	Ev	O
公	Bn	O
告	En	O
所	Bb	O
列	Eb	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
时	Sn	O
，	Sw	O
请	Sv	O
拨	Bv	O
打	Ev	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
投	Bv	O
诉	Ev	O
举	Bl	O
报	Ml	O
电	Ml	O
话	El	O
1	Bm	O
2	Mm	O
3	Mm	O
3	Mm	O
1	Em	O
进	Bv	O
行	Ev	O
投	Bv	O
诉	Ev	O
举	Bv	O
报	Ev	O
。	Sw	O

调	Bn	O
味	Mn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
信	Bn	O
息	En	O

序	Bn	O
号	En	O

标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
名	Bn	O
称	En	O

标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
地	Bn	O
址	En	O

被	Sp	O
抽	Bv	O
样	Ev	O
单	Bn	O
位	Mn	O
名	Mn	O
称	En	O

被	Sp	O
抽	Bv	O
样	Ev	O
单	Bn	O
位	Mn	O
地	Mn	O
址	En	O

食	Bn	O
品	En	O
名	Bn	O
称	En	O

规	Bn	O
格	Mn	O
型	Mn	O
号	En	O

商	Bn	O
标	En	O

生	Bn	O
产	Mn	O
日	Mn	O
期	En	O
/	Sw	O
批	Bn	O
号	En	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
║	Sw	O
检	Bvn	O
验	Evn	O
结	Bn	O
果	En	O
║	Sw	O
标	Bn	O
准	Mn	O
值	En	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O

备	Bv	O
注	Ev	O

1	Sw	O

上	Bns	B
海	Ens	I
洪	Bnr	I
宁	Enr	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
松	Bns	O
江	Mns	O
区	Ens	O
佘	Bnr	O
山	Enr	O
工	Bn	O
业	Mn	O
区	En	O
佘	Bnr	O
北	Enr	O
公	Bn	O
路	En	O
1	Bm	O
5	Mm	O
5	Mm	O
1	Em	O
号	Sm	O

上	Bns	B
海	Ens	I
洪	Bnr	I
宁	Enr	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
松	Bns	O
江	Mns	O
区	Ens	O
佘	Bnr	O
山	Enr	O
工	Bn	O
业	Mn	O
区	En	O
佘	Bnr	O
北	Enr	O
公	Bn	O
路	En	O
1	Bm	O
5	Mm	O
5	Mm	O
1	Em	O
号	Sm	O

湖	Bns	O
南	Ens	O
辣	Bn	O
椒	Mn	O
酱	En	O

3	Bm	O
1	Mm	O
5	Em	O
克	Snr	O
/	Sw	O
瓶	Sn	O

张	Bnr	O
氏	Enr	O
记	Sn	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
3	Em	O
-	Sw	O
2	Bm	O
5	Em	O

菌	Bn	O
落	En	O
总	Bn	O
数	En	O

1	Bm	O
5	Mm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
2	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
8	Mm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
5	Mm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
6	Mm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

n	Sw	O
:	Sw	O
5	Sw	O

c	Sw	O
:	Sw	O
2	Sw	O

m	Sw	O
:	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O

M	Sw	O
:	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

上	Bns	O
海	Ens	O
德	Bnr	O
诺	Enr	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

2	Sw	O

上	Bns	B
海	Ens	I
金	Bnr	I
山	Enr	I
酱	Bn	I
菜	En	I
调	Bn	I
味	Mn	I
品	Mn	I
厂	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
金	Bns	O
山	Mns	O
区	Ens	O
张	Bnr	O
堰	Mnr	O
镇	Enr	O
百	Bm	O
家	Em	O
村	Sn	O
高	Sa	O
桥	Sn	O
2	Bm	O
1	Mm	O
5	Mm	O
8	Em	O
号	Sm	O

上	Bns	B
海	Ens	I
金	Bnr	I
山	Enr	I
酱	Bn	I
菜	En	I
调	Bn	I
味	Mn	I
品	Mn	I
厂	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
金	Bns	O
山	Mns	O
区	Ens	O
张	Bnr	O
堰	Mnr	O
镇	Enr	O
百	Bm	O
家	Em	O
村	Sn	O
高	Sa	O
桥	Sn	O
2	Bm	O
1	Mm	O
5	Mm	O
8	Em	O
号	Sm	O

辣	Bn	O
油	En	O
辣	Bn	O
椒	Mn	O
酱	En	O
（	Sw	O
复	Bv	O
合	Ev	O
调	Bv	O
味	Mv	O
料	Ev	O
）	Sw	O

2	Bm	O
5	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O

/	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
5	Em	O
-	Sw	O
1	Bm	O
5	Em	O

霉	Bn	O
菌	En	O
和	Sc	O
酵	Bn	O
母	En	O

9	Bm	O
9	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
1	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
1	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
1	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
9	Bm	O
8	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

n	Sw	O
:	Sw	O
5	Sw	O

c	Sw	O
:	Sw	O
2	Sw	O

m	Sw	O
:	Sw	O
1	Bm	O
0	Mm	O
0	Em	O

M	Sw	O
:	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

上	Bns	O
海	Ens	O
德	Bnr	O
诺	Enr	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

3	Sw	O

上	Bns	B
海	Ens	I
金	Bnr	I
山	Enr	I
堰	Bnz	I
鼎	Enz	I
调	Bn	I
味	Mn	I
品	Mn	I
厂	En	E

上	Bns	O
海	Mns	O
市	Ens	O
金	Bns	O
山	Mns	O
区	Ens	O
张	Bnr	O
堰	Mnr	O
镇	Enr	O
秦	Bnr	O
阳	Mnr	O
村	Enr	O
5	Sm	O
组	Sv	O
3	Bm	O
1	Mm	O
3	Mm	O
5	Em	O
号	Sm	O

上	Bns	B
海	Ens	I
金	Bnr	I
山	Enr	I
堰	Bnz	I
鼎	Enz	I
调	Bn	I
味	Mn	I
品	Mn	I
厂	En	E

上	Bns	O
海	Mns	O
市	Ens	O
金	Bns	O
山	Mns	O
区	Ens	O
张	Bnr	O
堰	Mnr	O
镇	Enr	O
秦	Bnr	O
阳	Mnr	O
村	Enr	O
5	Sm	O
组	Sv	O
3	Bm	O
1	Mm	O
3	Mm	O
5	Em	O
号	Sm	O

香	Bn	O
酥	En	O
炸	Bn	O
鸡	En	O
料	Sv	O
（	Sw	O
非	Sh	O
即	Bv	O
食	Ev	O
）	Sw	O

4	Bm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O

/	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
4	Em	O
-	Sw	O
2	Bm	O
4	Em	O

霉	Bn	O
菌	En	O
和	Sc	O
酵	Bn	O
母	En	O

1	Bm	O
7	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
3	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
6	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Em	O
/	Sw	O
1	Bm	O
3	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

n	Sw	O
:	Sw	O
5	Sw	O

c	Sw	O
:	Sw	O
3	Sw	O

m	Sw	O
:	Sw	O
5	Bm	O
0	Mm	O
0	Em	O

M	Sw	O
:	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

上	Bns	O
海	Ens	O
德	Bnr	O
诺	Enr	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

4	Sw	O

上	Bns	B
海	Ens	I
顶	Bn	I
润	En	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
松	Bns	O
江	Mns	O
区	Ens	O
叶	Bnr	O
榭	Mnr	O
镇	Enr	O
新	Bns	O
桥	Ens	O
路	Sn	O
3	Sm	O
号	Sm	O

上	Bns	B
海	Ens	I
顶	Bn	I
润	En	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
松	Bns	O
江	Mns	O
区	Ens	O
叶	Bnr	O
榭	Mnr	O
镇	Enr	O
新	Bns	O
桥	Ens	O
路	Sn	O
3	Sm	O
号	Sm	O

牛	Bn	O
肉	En	O
靓	Sg	O
汤	Sn	O
王	Snr	O
（	Sw	O
复	Bv	O
合	Ev	O
调	Bv	O
味	Mv	O
料	Ev	O
）	Sw	O

5	Bm	O
0	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O

顶	Bn	O
润	En	O
料	Bv	O
理	Ev	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
5	Em	O
-	Sw	O
1	Bm	O
2	Em	O

霉	Bn	O
菌	En	O
和	Sc	O
酵	Bn	O
母	En	O

8	Bm	O
8	Mm	O
0	Em	O
/	Sw	O
9	Bm	O
3	Mm	O
0	Em	O
/	Sw	O
9	Bm	O
1	Mm	O
0	Em	O
/	Sw	O
8	Bm	O
7	Mm	O
0	Em	O
/	Sw	O
8	Bm	O
6	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

n	Sw	O
:	Sw	O
5	Sw	O

c	Sw	O
:	Sw	O
3	Sw	O

m	Sw	O
:	Sw	O
5	Bm	O
0	Mm	O
0	Em	O

M	Sw	O
:	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O

C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O

上	Bns	O
海	Ens	O
德	Bnr	O
诺	Enr	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
信	Bn	O
息	En	O

序	Bn	O
号	En	O

标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
名	Bn	O
称	En	O

标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
地	Bn	O
址	En	O

被	Sp	O
抽	Bv	O
样	Ev	O
单	Bn	O
位	Mn	O
名	Mn	O
称	En	O

被	Sp	O
抽	Bv	O
样	Ev	O
单	Bn	O
位	Mn	O
地	Mn	O
址	En	O

食	Bn	O
品	En	O
名	Bn	O
称	En	O

规	Bn	O
格	Mn	O
型	Mn	O
号	En	O

商	Bn	O
标	En	O

生	Bn	O
产	Mn	O
日	Mn	O
期	En	O
/	Sw	O
批	Bn	O
号	En	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
║	Sw	O
检	Bvn	O
验	Evn	O
结	Bn	O
果	En	O
║	Sw	O
标	Bn	O
准	Mn	O
值	En	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O

备	Bv	O
注	Ev	O

1	Sw	O

江	Bns	B
苏	Ens	I
金	Bns	I
洲	Ens	I
粮	Bn	I
油	Mn	I
食	Mn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

江	Bns	O
苏	Mns	O
省	Ens	O
海	Bns	O
安	Mns	O
县	Ens	O
海	Bnz	O
安	Enz	O
镇	Sn	O
开	Bnz	O
元	Enz	O
大	Bn	O
道	En	O
1	Bm	O
9	Mm	O
9	Em	O
号	Sm	O

乐	Bnr	B
天	Enr	I
荣	Bnr	I
恒	Enr	I
（	Sw	I
上	Bns	I
海	Ens	I
）	Sw	I
超	Bv	I
市	Ev	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E

上	Bns	O
海	Mns	O
市	Ens	O
静	Bns	O
安	Mns	O
区	Ens	O
芷	Bns	O
江	Ens	O
西	Bns	O
路	Ens	O
5	Bm	O
5	Mm	O
0	Em	O
号	Sm	O
地	Bs	O
下	Es	O
一	Bm	O
层	Em	O

葵	Bn	O
花	Mn	O
籽	En	O
油	Sn	O

2	Bm	O
.	Mm	O
5	Em	O
升	Sv	O
/	Sw	O
瓶	Sn	O

煮	Sv	O
煮	Sv	O
乐	Sa	O

2	Bm	O
0	Mm	O
1	Mm	O
6	Em	O
-	Sw	O
1	Bm	O
2	Em	O
-	Sw	O
1	Bm	O
2	Em	O

脂	Bn	O
肪	Mn	O
酸	En	O
组	Bv	O
成	Ev	O
║	Sw	O

亚	Bn	O
麻	Mn	O
酸	En	O

C	Beng	O
1	Meng	O
8	Eeng	O
:	Sw	O
3	Sw	O

:	Sw	O
1	Bm	O
.	Mm	O
8	Em	O
%	Sw	O
；	Sw	O

花	Bn	O
生	En	O
一	Sm	O
烯	Bn	O
酸	En	O

C	Beng	O
2	Meng	O
0	Eeng	O
:	Sw	O
1	Sw	O

:	Sw	O
0	Bm	O
.	Mm	O
5	Em	O
%	Sw	O
；	Sw	O

║	Sw	O

亚	Bn	O
麻	Mn	O
酸	En	O

C	Beng	O
1	Meng	O
8	Eeng	O
:	Sw	O
3	Sw	O

:	Sw	O
N	Beng	O
D	Eeng	O
~	Sw	O
0	Bm	O
.	Mm	O
3	Em	O
%	Sw	O
；	Sw	O

花	Bn	O
生	En	O
一	Sm	O
烯	Bn	O
酸	En	O

C	Beng	O
2	Meng	O
0	Eeng	O
:	Sw	O
1	Sw	O

:	Sw	O
N	Beng	O
D	Eeng	O
~	Sw	O
0	Bm	O
.	Mm	O
3	Em	O
%	Sw	O
；	Sw	O

上	Bns	O
海	Ens	O
科	Bnr	O
茂	Enr	O
粮	Bn	O
油	Mn	O
食	Mn	O
品	En	O
质	Bn	O
量	En	O
检	Bvn	O
测	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

