最	Bf	O
品	Mn	O
卫	Mn	O
生	En	O
质	Bn	O
量	En	O
的	Suj	O
指	Bn	O
标	En	O
之	Br	O
一	Er	O
，	Sw	O
超	Bv	O
标	Ev	O
则	Sd	O
说	Bv	O
明	Ev	O
食	Bn	O
品	En	O
存	Bv	O
在	Ev	O
卫	Ban	O
生	Ean	O
质	Bn	O
量	En	O
缺	Bv	O
陷	Ev	O
，	Sw	O
提	Bv	O
示	Ev	O
该	Sr	O
食	Bn	O
品	En	O
中	Sf	O
存	Bv	O
在	Ev	O
着	Suz	O
肠	Bn	O
道	En	O
致	Bn	O
病	Mn	O
菌	En	O
污	Bvn	O
染	Evn	O
的	Suj	O
可	Bv	O
能	Ev	O
，	Sw	O
对	Sp	O
人	Bn	O
体	En	O
健	Ba	O
康	Ea	O
具	Bv	O
有	Ev	O
潜	Bt	O
在	Et	O
的	Suj	O
危	Bn	O
险	Mn	O
性	En	O
。	Sw	O

而	Sc	O
冰	Bn	O
皮	En	O
月	Bn	O
饼	En	O
对	Sp	O
储	Bn	O
藏	En	O
运	Bvn	O
输	Evn	O
温	Bn	O
度	En	O
有	Sv	O
一	Bd	O
定	Ed	O
要	Bv	O
求	Ev	O
，	Sw	O
在	Sp	O
运	Bvn	O
输	Evn	O
及	Sc	O
销	Bvn	O
售	Evn	O
储	Bn	O
藏	En	O
时	Sng	O
未	Sd	O
严	Bad	O
格	Ead	O
按	Bp	O
照	Ep	O
冷	Bn	O
藏	En	O
温	Bn	O
度	En	O
要	Bv	O
求	Ev	O
予	Bv	O
以	Ev	O
保	Bv	O
存	Ev	O
，	Sw	O
是	Sv	O
可	Bv	O
能	Ev	O
导	Bv	O
致	Ev	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
超	Bv	O
标	Ev	O
的	Suj	O
主	Bb	O
要	Eb	O
原	Bn	O
因	En	O
。	Sw	O

另	Bc	O
外	Ec	O
，	Sw	O
月	Bn	O
饼	En	O
加	Bvn	O
工	Evn	O
制	Bvn	O
作	Evn	O
的	Suj	O
环	Bn	O
境	En	O
卫	Bn	O
生	Mn	O
状	Mn	O
况	En	O
差	Sa	O
，	Sw	O
加	Bvn	O
工	Evn	O
制	Bn	O
作	Mn	O
人	Mn	O
员	En	O
不	Sd	O
注	Bv	O
意	Ev	O
个	Bn	O
人	Mn	O
卫	Mn	O
生	En	O
，	Sw	O
未	Sd	O
严	Bad	O
格	Ead	O
按	Bp	O
照	Ep	O
卫	Ban	O
生	Ean	O
操	Bv	O
作	Ev	O
规	Bn	O
范	En	O
的	Suj	O
要	Bv	O
求	Ev	O
进	Bv	O
行	Ev	O
制	Bvn	O
作	Evn	O
；	Sw	O

加	Bvn	O
工	Evn	O
制	Bn	O
作	Mn	O
人	Mn	O
员	En	O
未	Sd	O
严	Bad	O
格	Ead	O
按	Bp	O
照	Ep	O
制	Bvn	O
作	Evn	O
要	Bv	O
求	Ev	O
进	Bv	O
行	Ev	O
操	Bv	O
作	Ev	O
，	Sw	O
如	Sv	O
消	Bvn	O
毒	Evn	O
不	Ba	O
严	Ea	O
，	Sw	O
设	Bvn	O
备	Evn	O
清	Bv	O
洗	Ev	O
不	Sd	O
干	Ba	O
净	Ea	O
或	Sc	O
存	Bv	O
在	Ev	O
死	Bn	O
角	En	O
，	Sw	O
也	Sd	O
能	Sv	O
造	Bv	O
成	Ev	O
微	Bl	O
生	Ml	O
物	El	O
的	Suj	O
繁	Bv	O
殖	Ev	O
。	Sw	O

