新	Bns	B
品	En	O
、	Sw	O
糕	Bn	O
点	En	O
等	Su	O
类	Bn	O
别	En	O
中	Sf	O
检	Bv	O
出	Ev	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
、	Sw	O
酵	Bn	O
母	En	O
、	Sw	O
铜	Bn	O
绿	En	O
假	Sn	O
单	Bn	O
胞	Mn	O
菌	En	O
等	Su	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

公	Bv	O
布	Ev	O
的	Suj	O
具	Ba	O
体	Ea	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
可	Sv	O
在	Sp	O
国	Bn	O
家	En	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
督	Mn	O
管	Mn	O
理	En	O
总	Bn	O
局	En	O
政	Bn	O
府	En	O
网	Bn	O
站	En	O
“	Sw	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
”	Sw	O
专	Bn	O
栏	En	O
（	Sw	O
网	Bn	O
址	En	O
：	Sw	O
h	Beng	O
t	Meng	O
t	Meng	O
p	Eeng	O
:	Sw	O
/	Sw	O
/	Sw	O
w	Beng	O
w	Meng	O
w	Eeng	O
.	Sm	O
c	Beng	O
f	Meng	O
d	Meng	O
a	Eeng	O
.	Sm	O
g	Beng	O
o	Meng	O
v	Eeng	O
.	Sm	O
c	Beng	O
n	Eeng	O
/	Sw	O
W	Beng	O
S	Meng	O
0	Meng	O
1	Eeng	O
/	Sw	O
C	Beng	O
L	Meng	O
1	Meng	O
6	Meng	O
8	Meng	O
9	Eeng	O
/	Sw	O
）	Sw	O
、	Sw	O
自	Bn	B
治	Mn	I
区	En	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
网	Bn	O
站	En	O
“	Sw	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
”	Sw	O
专	Bn	O
栏	En	O
（	Sw	O
网	Bn	O
址	En	O
：	Sw	O
h	Beng	O
t	Meng	O
t	Meng	O
p	Eeng	O
:	Sw	O
/	Sw	O
/	Sw	O
w	Beng	O
w	Meng	O
w	Eeng	O
.	Sm	O
x	Beng	O
j	Meng	O
d	Meng	O
a	Eeng	O
.	Sm	O

g	Beng	O
o	Meng	O
v	Eeng	O
.	Sm	O
c	Beng	O
n	Eeng	O
/	Sw	O
）	Sw	O
查	Bv	O
询	Ev	O
。	Sw	O

特	Bd	O
此	Ed	O
通	Bn	O
告	En	O
。	Sw	O

新	Bns	B
疆	Mns	I
维	Mns	I
吾	Mns	I
尔	Mns	I
自	Mns	I
治	Mns	I
区	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
7	Sm	O
月	Sm	O
1	Bm	O
1	Em	O
日	Sm	O

