这	Sr	O
限	Mn	I
公	Mn	I
司	En	I
临	Bns	I
夏	Ens	I
分	Bn	I
公	Mn	I
司	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
兰	Bns	B
州	Ens	I
得	Sud	I
元	Sm	I
商	Bn	I
贸	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
七	Bns	I
里	Mns	I
河	Ens	I
分	Bn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
白	Bn	O
砂	Mn	O
糖	En	O
；	Sw	O

兰	Bns	B
州	Mns	I
市	Ens	I
城	Bns	I
关	Mns	I
区	Ens	I
木	Bnr	I
塔	Mnr	I
巷	Enr	I
檐	Bn	I
下	En	I
鲜	Bn	I
花	En	I
水	Bn	I
果	Mn	I
店	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
油	Bn	O
桃	En	O
。	Sw	O

