湖	Bns	B
、	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
）	Sw	O
、	Sw	O
着	Bn	O
色	Mn	O
剂	En	O
（	Sw	O
柠	Bn	O
檬	Mn	O
黄	En	O
、	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
钛	Enz	O
）	Sw	O
以	Bc	O
及	Ec	O
含	Sv	O
铝	Sn	O
添	Bn	O
加	Mn	O
剂	En	O
的	Suj	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
。	Sw	O

（	Sw	O
二	Sm	O
）	Sw	O
品	Bn	O
质	En	O
指	Bn	O
标	En	O
不	Sd	O
合	Bn	O
格	En	O

食	Bn	O
品	En	O
中	Sf	O
品	Bn	O
质	En	O
指	Bn	O
标	En	O
不	Sd	O
合	Bn	O
格	En	O
问	Bn	O
题	En	O
有	Sv	O
6	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
1	Em	O
%	Sw	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
主	Bb	O
要	Eb	O
是	Sv	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
、	Sw	O
水	Bn	O
分	En	O
、	Sw	O
酒	Bn	O
精	Mn	O
度	En	O
、	Sw	O
酸	Bn	O
价	En	O
、	Sw	O
总	Bn	O
酯	En	O
、	Sw	O
己	Bn	O
酸	En	O
乙	Bnz	O
酯	Enz	O
、	Sw	O
蛋	Bn	O
白	Mn	O
质	En	O
、	Sw	O
氨	Bnz	O
基	Mnz	O
酸	Enz	O
态	Bn	O
氮	En	O
、	Sw	O
总	Bn	O
酸	En	O
、	Sw	O
固	Bl	O
形	Ml	O
物	El	O
等	Su	O
。	Sw	O

（	Sw	O
三	Sm	O
）	Sw	O
其	Br	O
他	Er	O
微	Bl	O
生	Ml	O
物	El	O
污	Bvn	O
染	Evn	O

食	Bn	O
品	En	O
中	Sf	O
其	Br	O
他	Er	O
微	Bl	O
生	Ml	O
物	El	O
污	Bvn	O
染	Evn	O
问	Bn	O
题	En	O
有	Sv	O
5	Bm	O
3	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
1	Bm	O
7	Em	O
%	Sw	O
。	Sw	O

主	Bb	O
要	Eb	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Sp	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
、	Sw	O
霉	Bn	O
菌	En	O
计	Bn	O
数	En	O
。	Sw	O

（	Sw	O
四	Sm	O
）	Sw	O
其	Br	O
他	Er	O
污	Bn	O
染	Mn	O
物	En	O
超	Bv	O
标	Ev	O

食	Bn	O
品	En	O
中	Sf	O
其	Br	O
他	Er	O
污	Bn	O
染	Mn	O
物	En	O
超	Bv	O
标	Ev	O
问	Bn	O
题	En	O
有	Sv	O
2	Bm	O
3	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
7	Sm	O
%	Sw	O
。	Sw	O

主	Bb	O
要	Eb	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Sp	O
甲	Bnz	O
醇	Enz	O
、	Sw	O
氰	Bn	O
化	Mn	O
物	En	O
、	Sw	O
邻	Bnz	O
苯	Mnz	O
二	Mnz	O
甲	Mnz	O
酸	Enz	O
二	Sm	O
丁	Bnz	O
酯	Enz	O
、	Sw	O
苯	Sn	O
并	Sc	O
（	Sw	O
a	Sw	O
）	Sw	O
芘	Sw	O
。	Sw	O

（	Sw	O
五	Sm	O
）	Sw	O
农	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
和	Sc	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
农	Bn	O
药	En	O

食	Bn	O
品	En	O
中	Sf	O
农	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
问	Bn	O
题	En	O
有	Sv	O
1	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
农	Bn	O
药	En	O
问	Bn	O
题	En	O
有	Sv	O
1	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
共	Sd	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
1	Bm	O
0	Em	O
%	Sw	O
。	Sw	O

农	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
为	Sp	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
甲	Bnz	O
萘	Mnz	O
威	Enz	O
、	Sw	O
氯	Bnz	O
氟	Mnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
氰	Bnz	O
戊	Mnz	O
菊	Mnz	O
酯	Enz	O
、	Sw	O
敌	Bl	O
敌	Ml	O
畏	El	O
、	Sw	O
丙	Smg	O
溴	Sng	O
磷	Sn	O
，	Sw	O
检	Bv	O
出	Ev	O
的	Suj	O
禁	Bv	O
用	Ev	O
农	Bn	O
药	En	O
为	Sp	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
水	Bnz	O
胺	Mnz	O
硫	Mnz	O
磷	Enz	O
。	Sw	O

（	Sw	O
六	Sm	O
）	Sw	O
兽	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
和	Sc	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O

食	Bn	O
品	En	O
中	Sf	O
兽	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
问	Bn	O
题	En	O
有	Sv	O
1	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
问	Bn	O
题	En	O
有	Sv	O
3	Sm	O
批	Bd	O
次	Ed	O
。	Sw	O

兽	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
为	Sp	O
恩	Bnr	O
诺	Enr	O
沙	Bnr	O
星	Enr	O
+	Sw	O
环	Bnz	O
丙	Mnz	O
沙	Mnz	O
星	Enz	O
，	Sw	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
为	Sp	O
氯	Bn	O
霉	Mn	O
素	En	O
、	Sw	O
呋	Bnz	O
喃	Mnz	O
唑	Mnz	O
酮	Enz	O
。	Sw	O

（	Sw	O
七	Sm	O
）	Sw	O
金	Bn	O
属	En	O
污	Bn	O
染	Mn	O
物	En	O
超	Bv	O
标	Ev	O

食	Bn	O
品	En	O
中	Sf	O
金	Bn	O
属	En	O
污	Bn	O
染	Mn	O
物	En	O
超	Bv	O
标	Ev	O
问	Bn	O
题	En	O
有	Sv	O
1	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
金	Bn	O
属	En	O
污	Bn	O
染	Mn	O
物	En	O
超	Bv	O
标	Ev	O
主	Bb	O
要	Eb	O
为	Sp	O
铅	Sn	O
、	Sw	O
稀	Bn	O
土	En	O
等	Su	O
。	Sw	O

（	Sw	O
八	Sm	O
）	Sw	O
检	Bv	O
出	Ev	O
致	Bn	O
病	Mn	O
性	En	O
微	Bl	O
生	Ml	O
物	El	O

食	Bn	O
品	En	O
中	Sf	O
检	Bv	O
出	Ev	O
致	Bn	O
病	Mn	O
性	En	O
微	Bl	O
生	Ml	O
物	El	O
问	Bn	O
题	En	O
有	Sv	O
1	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
检	Bv	O
出	Ev	O
的	Suj	O
致	Bn	O
病	Mn	O
性	En	O
微	Bl	O
生	Ml	O
物	El	O
主	Bb	O
要	Eb	O
为	Sp	O
铜	Bn	O
绿	En	O
假	Sn	O
单	Bn	O
胞	Mn	O
菌	En	O
。	Sw	O

三	Sm	O
、	Sw	O
针	Bp	O
对	Ep	O
在	Sp	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
，	Sw	O
我	Br	O
局	Er	O
已	Sd	O
分	Bd	O
别	Ed	O
要	Bv	O
求	Ev	O
食	Bn	O
品	En	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
所	Bn	O
在	Mn	O
地	En	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
依	Bn	O
法	En	O
对	Sp	O
生	Bvn	O
产	Evn	O
经	Bvn	O
营	Evn	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
食	Bn	O
品	En	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
进	Bv	O
行	Ev	O
立	Bn	O
案	En	O
调	Bvn	O
查	Evn	O
，	Sw	O
并	Sc	O
已	Sd	O
将	Sd	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
情	Bn	O
况	Mn	O
通	Mn	O
报	En	O
了	Sul	O
标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
所	Bn	O
在	Mn	O
地	En	O
的	Suj	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
。	Sw	O

公	Bn	O
众	En	O
发	Bv	O
现	Ev	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
违	Bl	O
法	Ml	O
行	Ml	O
为	El	O
，	Sw	O
可	Bi	O
拨	Mi	O
打	Ei	O
1	Bm	O
2	Mm	O
3	Mm	O
3	Mm	O
1	Em	O
热	Bn	O
线	Mn	O
电	Mn	O
话	En	O
进	Bv	O
行	Ev	O
投	Bv	O
诉	Ev	O
或	Sc	O
举	Bv	O
报	Ev	O
。	Sw	O

附	Bn	O
件	En	O
：	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bl	O
一	Ml	O
季	Ml	O
度	El	O
各	Br	O
类	Er	O
食	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O

湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E

2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
.	Mm	O
7	Mm	O
.	Mm	O
2	Mm	O
7	Em	O

