湖	Bns	B
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
2	Bm	O
5	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

肉	Bn	O
制	Mn	O
品	En	O
3	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

食	Bn	O
糖	En	O
1	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
1	Bm	O
6	Mm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
7	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

饮	Bn	O
料	En	O
5	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

饼	Bn	O
干	En	O
1	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
豆	Bn	O
制	Mn	O
品	En	O
7	Sw	O
批	Bd	O
次	Ed	O
、	Sw	O
茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
5	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
均	Sd	O
未	Sd	O
检	Bv	O
出	Ev	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
。	Sw	O

具	Ba	O
体	Ea	O
信	Bn	O
息	En	O
详	Ba	O
见	Ea	O
附	Bn	O
件	En	O
。	Sw	O

二	Sm	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
情	Bn	O
况	En	O
如	Bt	O
下	Et	O
：	Sw	O

（	Sw	O
一	Sm	O
）	Sw	O
武	Bns	B
汉	Ens	I
蔬	Bn	I
果	En	I
情	Bn	I
缘	En	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
果	Bn	O
蔬	En	O
酵	Bn	O
素	En	O
饮	Bn	O
料	En	O
调	Bvn	O
和	Evn	O
浓	Bn	O
浆	En	O
，	Sw	O
苋	Bn	O
菜	En	O
红	Sa	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
0	Mm	O
0	Mm	O
3	Mm	O
3	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
（	Sw	O
稀	Bv	O
释	Ev	O
倍	Bn	O
数	En	O
2	Bm	O
.	Mm	O
3	Em	O
）	Sw	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
检	Bv	O
出	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
食	Bn	O
品	Mn	O
质	Mn	O
量	En	O
安	Ban	O
全	Ean	O

监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

（	Sw	O
二	Sm	O
）	Sw	O
武	Bns	B
汉	Ens	I
荷	Bn	I
包	En	I
湖	Sns	I
荷	Bn	I
花	En	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
小	Sn	O
鸡	Bn	O
腿	En	O
（	Sw	O
酱	Sn	O
香	Bn	O
味	En	O
）	Sw	O
，	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
2	Mm	O
7	Mm	O
4	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
三	Sm	O
）	Sw	O
湖	Bns	B
北	Ens	I
新	Sa	I
宏	Sn	I
食	Bn	I
品	En	I
股	Bn	I
份	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
烤	Sv	O
脖	Sn	O
（	Sw	O
酱	Sn	O
香	Bn	O
味	En	O
）	Sw	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
3	Mm	O
4	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
0	Mm	O
7	Mm	O
5	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

初	Bv	O
检	Ev	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
，	Sw	O
复	Bv	O
检	Ev	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
药	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

（	Sw	O
四	Sm	O
）	Sw	O
荆	Bns	B
州	Mns	I
市	Ens	I
龙	Bnr	I
云	Enr	I
农	Bn	I
业	En	I
科	Bn	I
技	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
楚	Bnr	O
娃	Enr	O
富	Bv	O
有	Ev	O
机	Sng	O
硒	Sn	O
紫	Sa	O
米	Sq	O
，	Sw	O
黄	Bn	O
曲	Mn	O
霉	En	O
毒	Bn	O
素	En	O
B	Beng	O
1	Eeng	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
1	Bm	O
3	Mm	O
9	Mm	O
.	Mm	O
9	Mm	O
7	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
0	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

初	Bv	O
检	Ev	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
，	Sw	O
复	Bv	O
检	Ev	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	O
北	Mns	O
省	Ens	O
药	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

（	Sw	O
五	Sm	O
）	Sw	O
武	Bns	B
汉	Mns	I
市	Ens	I
老	Bnr	I
斋	Enr	I
坊	Sng	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
小	Bn	O
米	En	O
辣	Sn	O
（	Sw	O
酱	Bv	O
腌	Mv	O
菜	Ev	O
）	Sw	O
，	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
1	Mm	O
7	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
1	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
六	Sm	O
）	Sw	O
武	Bns	B
汉	Ens	I
八	Bn	I
方	En	I
味	Sn	I
工	Bj	I
贸	Ej	I
发	Bvn	I
展	Evn	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
冰	Bn	O
糖	En	O
（	Sw	O
分	Bv	O
装	Ev	O
）	Sw	O
，	Sw	O
还	Bv	O
原	Ev	O
糖	Bn	O
分	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
1	Mm	O
6	Em	O
%	Sw	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
0	Mm	O
8	Em	O
%	Sw	O
；	Sw	O

生	Bn	O
粉	En	O
（	Sw	O
分	Bv	O
装	Ev	O
）	Sw	O
，	Sw	O
霉	Bn	O
菌	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
1	Bm	O
6	Mm	O
0	Em	O
C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
0	Mm	O
0	Em	O
C	Beng	O
F	Meng	O
U	Eeng	O
/	Sw	O
g	Sw	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
七	Sm	O
）	Sw	O
武	Bns	B
汉	Mns	I
市	Ens	I
富	Bnr	I
利	Mnr	I
来	Enr	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
单	Bn	O
晶	En	O
冰	Bn	O
糖	En	O
，	Sw	O
还	Bv	O
原	Ev	O
糖	Bn	O
分	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
1	Mm	O
1	Em	O
%	Sw	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
0	Mm	O
8	Em	O
%	Sw	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
八	Sm	O
）	Sw	O
中	Bnz	B
百	Enz	I
仓	Bj	I
储	Ej	I
超	Bv	I
市	Ev	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
岳	Bn	I
家	En	I
嘴	Bn	I
店	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
鳊	Bn	O
鱼	En	O
，	Sw	O
恩	Bnrt	O
诺	Enrt	O
沙	Bnr	O
星	Enr	O
（	Sw	O
以	Sp	O
恩	Bnr	O
诺	Enr	O
沙	Bnr	O
星	Enr	O
与	Sp	O
环	Bnz	O
丙	Mnz	O
沙	Mnz	O
星	Enz	O
之	Su	O
和	Sc	O
计	Sn	O
）	Sw	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
1	Bm	O
2	Mm	O
0	Mm	O
1	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
1	Bm	O
0	Mm	O
0	Em	O
μ	Sw	O
g	Sw	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
九	Sm	O
）	Sw	O
武	Bns	B
汉	Mns	I
市	Ens	I
鄂	Bnr	I
王	Enr	I
食	Bn	I
品	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
咸	Bns	O
干	Ens	O
花	Bn	O
生	En	O
，	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
残	Bn	O
留	Mn	O
量	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
7	Mm	O
6	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
不	Bv	O
得	Ev	O
使	Bv	O
用	Ev	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
十	Sm	O
）	Sw	O
咸	Bns	B
安	Mns	I
区	Ens	I
恒	Bnz	I
瑞	Enz	I
食	Bn	I
品	En	I
加	Bnt	I
工	Mnt	I
厂	Ent	E
生	Bvn	O
产	Evn	O
的	Suj	O
酸	Ba	O
甜	Ea	O
藠	Bn	O
头	En	O
，	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
0	Bm	O
.	Mm	O
2	Mm	O
7	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
0	Bm	O
.	Mm	O
1	Em	O
g	Seng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

（	Sw	O
十	Bm	O
一	Em	O
）	Sw	O
麻	Bns	B
城	Mns	I
市	Ens	I
金	Bnr	I
桥	Enr	I
大	Bn	I
道	En	I
红	Bnr	I
升	Enr	I
茶	Bn	I
行	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
麻	Bns	B
城	Mns	I
市	Ens	I
龟	Sns	I
山	Bns	I
崎	Ens	I
峰	Snr	I
农	Bj	I
贸	Ej	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
野	Bb	O
生	Eb	O
葛	Bnr	O
粉	Enr	O
粉	Bn	O
丝	En	O
，	Sw	O
铝	Sn	O
的	Suj	O
残	Bn	O
留	Mn	O
量	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
5	Bm	O
0	Mm	O
0	Em	O
m	Beng	O
g	Eeng	O
/	Sw	O
k	Beng	O
g	Eeng	O
，	Sw	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
为	Sp	O
≤	Sw	O
2	Bm	O
0	Mm	O
0	Em	O
m	Beng	O
g	Eeng	O
/	Sw	O
k	Beng	O
g	Eeng	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
质	Mn	I
量	En	I
安	Ban	I
全	Ean	I
监	Bvn	I
督	Evn	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

三	Sm	O
、	Sw	O
对	Sp	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
湖	Bns	O
北	Mns	O
省	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
局	En	O
已	Sd	O
要	Bv	O
求	Ev	O
武	Bns	O
汉	Ens	O
、	Sw	O
荆	Bns	O
州	Ens	O
、	Sw	O
黄	Bns	O
冈	Ens	O
、	Sw	O
咸	Bns	O
宁	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
按	Bp	O
照	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O

食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
的	Suj	O
规	Bn	O
定	En	O
，	Sw	O
督	Bv	O
促	Ev	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
立	Bd	O
即	Ed	O
封	Bv	O
存	Ev	O
、	Sw	O
下	Bv	O
架	Ev	O
和	Sc	O
召	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
并	Bd	O
对	Ed	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
的	Suj	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
进	Bd	O
一	Md	O
步	Ed	O
调	Bvn	O
查	Evn	O
处	Bv	O
理	Ev	O
，	Sw	O
查	Bnr	O
明	Enr	O
生	Bvn	O
产	Evn	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
的	Suj	O
批	Bd	O
次	Ed	O
、	Sw	O
数	Bn	O
量	En	O
和	Sc	O
原	Bn	O
因	En	O
，	Sw	O
制	Bv	O
定	Ev	O
整	Bn	O
改	Mn	O
措	Mn	O
施	En	O
。	Sw	O

附	Bn	O
件	En	O
：	Sw	O

1	Bm	O
.	Em	O

本	Br	O
次	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
9	Sm	O
月	Sm	O
2	Bm	O
8	Em	O
日	Sm	O

