上	Bns	B
好	Ev	O
贯	Bi	O
彻	Mi	O
落	Mi	O
实	Ei	O
。	Sw	O

一	Sm	O
、	Sw	O
加	Bv	O
强	Ev	O
领	Bn	O
导	En	O
，	Sw	O
明	Bl	O
确	Ml	O
责	Ml	O
任	El	O
，	Sw	O
提	Bv	O
高	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
风	Bn	O
险	En	O
防	Bvn	O
控	Evn	O
及	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
质	Bn	O
量	En	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
要	Sv	O
认	Bn	O
真	Mn	O
学	Mn	O
习	En	O
领	Bn	O
会	En	O
总	Bn	O
局	En	O
文	Bn	O
件	Mn	O
精	Mn	O
神	En	O
，	Sw	O
加	Bv	O
强	Ev	O
组	Bv	O
织	Ev	O
领	Bn	O
导	En	O
，	Sw	O
规	Bn	O
范	En	O
处	Bv	O
置	Ev	O
程	Bn	O
序	En	O
，	Sw	O
严	Bad	O
格	Ead	O
落	Ba	O
实	Ea	O
“	Sw	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
启	Bvn	O
动	Evn	O
、	Sw	O
产	Bn	O
品	En	O
控	Bv	O
制	Ev	O
、	Sw	O
原	Bn	O
因	En	O
排	Bvn	O
查	Evn	O
、	Sw	O
整	Bv	O
改	Ev	O
复	Bvn	O
查	Evn	O
、	Sw	O
行	Bn	O
政	Mn	O
处	Mn	O
罚	En	O
、	Sw	O
信	Bn	O
息	En	O
公	Bad	O
开	Ead	O
、	Sw	O
数	Bn	O
据	En	O
上	Bv	O
报	Ev	O
”	Sw	O
等	Su	O
一	Bm	O
系	Mm	O
列	Em	O
工	Bvn	O
作	Evn	O
要	Bv	O
求	Ev	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
原	Bd	O
则	Md	O
上	Ed	O
应	Sv	O
在	Sp	O
收	Bv	O
到	Ev	O
不	Sd	O
合	Bn	O
格	En	O
检	Bvn	O
验	Evn	O
报	Bn	O
告	En	O
后	St	O
3	Sm	O
个	Sm	O
月	Sm	O
内	Sf	O
完	Bv	O
成	Ev	O
，	Sw	O
有	Sv	O
特	Ba	O
殊	Ea	O
情	Bn	O
况	En	O
不	Bv	O
能	Ev	O
按	Sp	O
时	Bn	O
限	En	O
完	Bv	O
成	Ev	O
的	Suj	O
，	Sw	O
要	Sv	O
书	Bn	O
面	En	O
说	Bv	O
明	Ev	O
理	Bn	O
由	En	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
要	Sv	O
按	Bp	O
照	Ep	O
总	Bn	O
局	En	O
要	Bv	O
求	Ev	O
，	Sw	O
明	Bad	O
确	Ead	O
牵	Bv	O
头	Ev	O
部	Bn	O
门	En	O
，	Sw	O
指	Bv	O
定	Ev	O
专	Bn	O
人	En	O
负	Bv	O
责	Ev	O
。	Sw	O

二	Sm	O
、	Sw	O
恪	Bl	O
尽	Ml	O
职	Ml	O
守	El	O
，	Sw	O
严	Bad	O
格	Ead	O
标	Bn	O
准	En	O
，	Sw	O
保	Bv	O
证	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
与	Sp	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
信	Bn	O
息	En	O
公	Bv	O
示	Ev	O
及	Bc	O
时	Ec	O
准	Ba	O
确	Ea	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
在	Sp	O
开	Bv	O
展	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
防	Bvn	O
控	Evn	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
中	Sf	O
，	Sw	O
要	Sv	O
把	Sp	O
在	Sp	O
“	Sw	O
国	Sn	O
抽	Sv	O
”	Sw	O
和	Sc	O
“	Sw	O
市	Sn	O
抽	Sv	O
”	Sw	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
作	Bv	O
为	Ev	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
的	Suj	O
重	Bl	O
中	Ml	O
之	Ml	O
重	El	O
。	Sw	O

国	Bn	O
家	En	O
总	Bn	O
局	En	O
每	Br	O
周	Er	O
二	Sm	O
在	Sp	O
官	Bn	O
网	En	O
“	Sw	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
公	Bn	O
告	En	O
”	Sw	O
栏	Bn	O
目	En	O
（	Sw	O
w	Beng	O
w	Meng	O
w	Eeng	O
.	Sm	O
s	Beng	O
d	Meng	O
a	Eeng	O
.	Sm	O
g	Beng	O
o	Meng	O
v	Eeng	O
.	Sm	O
c	Beng	O
n	Eeng	O
/	Sw	O
W	Beng	O
S	Meng	O
0	Meng	O
1	Eeng	O
/	Sw	O
C	Beng	O
L	Meng	O
1	Meng	O
6	Meng	O
6	Meng	O
4	Eeng	O
/	Sw	O
）	Sw	O
公	Bv	O
布	Ev	O
总	Bn	O
局	En	O
本	Br	O
级	Er	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
，	Sw	O
市	Bn	O
局	En	O
每	Bi	O
周	Mi	O
三	Ei	O
在	Sp	O
官	Bn	O
网	En	O
“	Sw	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
”	Sw	O
栏	Bn	O
目	En	O
（	Sw	O
h	Beng	O
t	Meng	O
t	Meng	O
p	Eeng	O
:	Sw	O
/	Sw	O
/	Sw	O
w	Beng	O
w	Meng	O
w	Eeng	O
.	Sm	O
s	Beng	O
h	Meng	O
f	Meng	O
d	Meng	O
a	Eeng	O
.	Sm	O
g	Beng	O
o	Meng	O
v	Eeng	O
.	Sm	O
c	Beng	O
n	Eeng	O
/	Sw	O
g	Beng	O
b	Eeng	O
/	Sw	O
n	Beng	O
o	Meng	O
d	Meng	O
e	Meng	O
2	Eeng	O
/	Sw	O
y	Beng	O
j	Meng	O
j	Eeng	O
/	Sw	O
a	Beng	O
q	Meng	O
g	Meng	O
z	Eeng	O
/	Sw	O
f	Beng	O
x	Meng	O
j	Meng	O
l	Eeng	O
/	Sw	O
s	Beng	O
p	Meng	O
a	Meng	O
q	Meng	O
f	Meng	O
x	Meng	O
j	Meng	O
c	Meng	O
b	Meng	O
g	Eeng	O
/	Sw	O
i	Beng	O
n	Meng	O
d	Meng	O
e	Meng	O
x	Eeng	O
.	Sm	O
h	Beng	O
t	Meng	O
m	Meng	O
l	Eeng	O
）	Sw	O
公	Bv	O
布	Ev	O
我	Br	O
市	Er	O
执	Bv	O
行	Ev	O
国	Sn	O
抽	Bv	O
及	Ev	O
市	Sn	O
抽	Sv	O
任	Bn	O
务	En	O
的	Suj	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
应	Sv	O
每	Br	O
周	Er	O
关	Bv	O
注	Ev	O
总	Bn	O
局	En	O
和	Sc	O
市	Bn	O
局	En	O
官	Bn	O
网	En	O
，	Sw	O
及	Bc	O
时	Ec	O
掌	Bv	O
握	Ev	O
上	Bb	O
级	Eb	O
已	Sd	O
公	Bv	O
布	Ev	O
的	Suj	O
涉	Bv	O
及	Ev	O
本	Sr	O
地	Bn	O
区	En	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
相	Bv	O
关	Ev	O
情	Bn	O
况	En	O
，	Sw	O
及	Bc	O
时	Ec	O
主	Bb	O
动	Eb	O
做	Bv	O
好	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
。	Sw	O

对	Bp	O
于	Ep	O
食	Bn	O
药	Mn	O
监	En	O
总	Bn	O
局	En	O
通	Bn	O
告	En	O
发	Bv	O
布	Ev	O
的	Suj	O
国	Sn	O
抽	Sv	O
本	Br	O
级	Er	O
（	Sw	O
抽	Bv	O
样	Ev	O
单	Sn	O
编	Bn	O
号	En	O
为	Sp	O
“	Sw	O
G	Beng	O
C	Meng	O
1	Meng	O
X	Meng	O
0	Meng	O
0	Eeng	O
”	Sw	O
开	Bv	O
头	Ev	O
）	Sw	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
信	Bn	O
息	En	O
，	Sw	O
各	Br	O
区	Er	O
级	Sq	O
食	Bn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
应	Sv	O
自	Sr	O
收	Bv	O
到	Ev	O
不	Sd	O
合	Bn	O
格	En	O
检	Bvn	O
验	Evn	O
报	Bn	O
告	En	O
之	Bns	O
日	Mns	O
起	Ens	O
1	Bm	O
5	Em	O
个	Sm	O
工	Bl	O
作	Ml	O
日	Ml	O
内	El	O
，	Sw	O
将	Sd	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
情	Bn	O
况	En	O
、	Sw	O
3	Sm	O
个	Sm	O
月	Sm	O
内	Sf	O
将	Sd	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
书	Bn	O
面	En	O
上	Bv	O
报	Ev	O
市	Bn	O
局	En	O
协	Bv	O
调	Ev	O
处	Sn	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
情	Bn	O
况	En	O
报	Bn	O
告	En	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
报	Bn	O
告	En	O
样	Bn	O
式	En	O
参	Bv	O
照	Ev	O
附	Bn	O
件	En	O
。	Sw	O

上	Bv	O
报	Ev	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
时	Sn	O
，	Sw	O
应	Sv	O
在	Sp	O
报	Bn	O
告	En	O
后	Sf	O
附	Sf	O
相	Bv	O
关	Ev	O
行	Bn	O
政	Mn	O
处	Mn	O
罚	En	O
决	Bn	O
定	Mn	O
书	En	O
；	Sw	O

未	Bv	O
予	Ev	O
立	Bn	O
案	En	O
处	Bv	O
罚	Ev	O
的	Suj	O
，	Sw	O
应	Sv	O
详	Bad	O
细	Ead	O
说	Bv	O
明	Ev	O
原	Bn	O
因	En	O
。	Sw	O

对	Bp	O
于	Ep	O
市	Bn	O
局	En	O
公	Bn	O
告	En	O
发	Bv	O
布	Ev	O
的	Suj	O
执	Bv	O
行	Ev	O
国	Sn	O
抽	Bv	O
及	Ev	O
市	Sn	O
抽	Sv	O
信	Bn	O
息	En	O
，	Sw	O
各	Br	O
区	Er	O
级	Sq	O
食	Bn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
应	Sv	O
按	Bp	O
照	Ep	O
公	Bn	O
告	En	O
要	Bv	O
求	Ev	O
的	Suj	O
时	Bn	O
限	En	O
，	Sw	O
在	Sp	O
各	Br	O
区	Er	O
局	Bn	O
官	En	O
网	Bs	O
上	Es	O
公	Bv	O
布	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
，	Sw	O
并	Sc	O
将	Sd	O
公	Bv	O
布	Ev	O
情	Bn	O
况	En	O
报	Bn	O
告	En	O
市	Bn	O
局	En	O
协	Bv	O
调	Ev	O
处	Sn	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
公	Bv	O
布	Ev	O
样	Bn	O
式	En	O
可	Sv	O
参	Bv	O
照	Ev	O
总	Bn	O
局	En	O
《	Sw	O
通	Bv	O
知	Ev	O
》	Sw	O
附	Bn	O
件	En	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
本	Br	O
级	Er	O
组	Bv	O
织	Ev	O
开	Bv	O
展	Ev	O
的	Suj	O
抽	Bv	O
检	Ev	O
任	Bn	O
务	En	O
和	Sc	O
公	Bv	O
布	Ev	O
的	Suj	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
，	Sw	O
应	Sv	O
参	Bv	O
照	Ev	O
《	Sw	O
通	Bv	O
知	Ev	O
》	Sw	O
要	Bv	O
求	Ev	O
，	Sw	O
及	Bc	O
时	Ec	O
发	Bv	O
布	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
。	Sw	O

三	Sm	O
、	Sw	O
加	Bv	O
强	Ev	O
督	Bvn	O
查	Evn	O
和	Sc	O
考	Bvn	O
核	Evn	O
，	Sw	O
确	Bv	O
保	Ev	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
圆	Bl	O
满	Ml	O
完	Ml	O
成	El	O
。	Sw	O

市	Bn	O
局	En	O
将	Sd	O
根	Bp	O
据	Ep	O
国	Bn	O
家	En	O
总	Bn	O
局	En	O
相	Bv	O
关	Ev	O
工	Bvn	O
作	Evn	O
要	Bv	O
求	Ev	O
，	Sw	O
对	Sp	O
不	Sv	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
完	Bn	O
成	Mn	O
率	En	O
、	Sw	O
风	Bn	O
险	En	O
控	Bv	O
制	Ev	O
情	Bn	O
况	En	O
发	Bv	O
布	Ev	O
率	Sv	O
、	Sw	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
发	Bv	O
布	Ev	O
率	Sv	O
等	Su	O
重	Bn	O
点	En	O
指	Bn	O
标	En	O
进	Bv	O
行	Ev	O
考	Bvn	O
核	Evn	O
。	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
8	Sm	O
月	Sm	O
1	Bm	O
6	Em	O
日	Sm	O

