山	Bns	B
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
7	Mm	O
.	Mm	O
4	Mm	O
9	Em	O
%	Sw	O
。	Sw	O

餐	Bn	O
饮	En	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
1	Bm	O
1	Mm	O
0	Mm	O
6	Mm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
5	Bm	O
4	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
5	Mm	O
.	Mm	O
1	Mm	O
0	Em	O
%	Sw	O
。	Sw	O

调	Bn	O
味	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
4	Bm	O
6	Mm	O
4	Mm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Bm	O
0	Mm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
7	Mm	O
.	Mm	O
7	Mm	O
2	Em	O
%	Sw	O
。	Sw	O

水	Bn	O
产	En	O
制	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
2	Bm	O
4	Mm	O
3	Mm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Bm	O
1	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
5	Mm	O
.	Mm	O
4	Mm	O
8	Em	O
%	Sw	O
。	Sw	O

粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
4	Bm	O
5	Mm	O
6	Mm	O
5	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
6	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
8	Mm	O
.	Mm	O
6	Mm	O
6	Em	O
%	Sw	O
。	Sw	O

肉	Bn	O
制	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
5	Bm	O
4	Mm	O
1	Mm	O
7	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Bm	O
5	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
7	Mm	O
.	Mm	O
0	Mm	O
8	Em	O
%	Sw	O
。	Sw	O

糕	Bn	O
点	En	O
抽	Bv	O
检	Ev	O
3	Bm	O
2	Mm	O
1	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Bm	O
2	Mm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
6	Mm	O
.	Mm	O
2	Mm	O
4	Em	O
%	Sw	O
。	Sw	O

酒	Bn	O
类	En	O
抽	Bv	O
检	Ev	O
3	Bm	O
0	Mm	O
0	Mm	O
1	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
7	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
7	Mm	O
.	Mm	O
5	Mm	O
3	Em	O
%	Sw	O
。	Sw	O

蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
3	Bm	O
6	Mm	O
9	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
3	Bm	O
2	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
1	Mm	O
.	Mm	O
1	Mm	O
2	Em	O
%	Sw	O
。	Sw	O

食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
2	Bm	O
6	Mm	O
8	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
3	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
8	Mm	O
.	Mm	O
6	Mm	O
9	Em	O
%	Sw	O
。	Sw	O

豆	Bn	O
制	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
1	Bm	O
7	Mm	O
3	Mm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
9	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
4	Mm	O
.	Mm	O
7	Mm	O
1	Em	O
%	Sw	O
。	Sw	O

饮	Bn	O
料	En	O
抽	Bv	O
检	Ev	O
2	Bm	O
1	Mm	O
9	Mm	O
3	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
9	Mm	O
.	Mm	O
1	Mm	O
3	Em	O
%	Sw	O
。	Sw	O

淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
2	Bm	O
2	Mm	O
1	Mm	O
7	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
1	Bm	O
3	Mm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
3	Mm	O
.	Mm	O
9	Mm	O
6	Em	O
%	Sw	O
。	Sw	O

抽	Bv	O
检	Ev	O
发	Bv	O
现	Ev	O
的	Suj	O
主	Bb	O
要	Eb	O
问	Bn	O
题	En	O
：	Sw	O
一	Sm	O
是	Sv	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
批	Sq	O
次	Bn	O
数	En	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
4	Bm	O
2	Mm	O
.	Mm	O
0	Mm	O
5	Em	O
%	Sw	O
；	Sw	O

二	Sm	O
是	Sv	O
农	Bn	O
药	En	O
残	Bv	O
留	Ev	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
批	Sq	O
次	Bn	O
数	En	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
1	Bm	O
9	Mm	O
.	Mm	O
5	Mm	O
2	Em	O
%	Sw	O
；	Sw	O

三	Sm	O
是	Sv	O
质	Bn	O
量	Mn	O
指	Mn	O
标	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O

不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
批	Sq	O
次	Bn	O
数	En	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
9	Bm	O
.	Mm	O
0	Mm	O
4	Em	O
%	Sw	O
;	Sw	O

四	Sm	O
是	Sv	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
兽	Bn	O
药	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
批	Sq	O
次	Bn	O
数	En	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
8	Bm	O
.	Mm	O
7	Mm	O
9	Em	O
%	Sw	O
；	Sw	O

此	Bc	O
外	Ec	O
，	Sw	O
有	Sv	O
1	Bm	O
0	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
兽	Bn	O
药	En	O
残	Bv	O
留	Ev	O
超	Bv	O
标	Ev	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
3	Bm	O
.	Mm	O
5	Mm	O
7	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
8	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
禁	Bv	O
用	Ev	O
农	Bn	O
药	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
.	Mm	O
8	Mm	O
7	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
7	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
有	Sv	O
其	Br	O
他	Er	O
微	Bl	O
生	Ml	O
物	El	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
.	Mm	O
6	Mm	O
6	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
7	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
有	Sv	O
非	Sd	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
.	Mm	O
6	Mm	O
3	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
7	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
标	Bn	O
签	En	O
标	Bn	O
识	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
.	Mm	O
6	Mm	O
3	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
6	Bm	O
6	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
重	Bn	O
金	Mn	O
属	En	O
等	Su	O
元	Bn	O
素	En	O
污	Bn	O
染	Mn	O
物	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
.	Mm	O
3	Mm	O
1	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
5	Bm	O
7	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
有	Sv	O
致	Bn	O
病	Mn	O
性	En	O
微	Bl	O
生	Ml	O
物	El	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
.	Mm	O
0	Mm	O
0	Em	O
%	Sw	O
；	Sw	O

有	Sv	O
1	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
产	Bn	O
品	En	O
检	Bv	O
出	Ev	O
有	Sv	O
其	Br	O
他	Er	O
污	Bn	O
染	Mn	O
物	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
0	Bm	O
.	Mm	O
6	Mm	O
3	Em	O
%	Sw	O
;	Sw	O

有	Sv	O
3	Sm	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
有	Sv	O
生	Bn	O
物	En	O
毒	Bn	O
素	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
0	Bm	O
.	Mm	O
1	Mm	O
1	Em	O
；	Sw	O

有	Sv	O
2	Sm	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
检	Bv	O
出	Ev	O
有	Sv	O
其	Br	O
他	Er	O
生	Bn	O
物	En	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
总	Bn	O
数	En	O
的	Suj	O
0	Bm	O
.	Mm	O
0	Mm	O
7	Em	O
%	Sw	O
。	Sw	O

针	Bp	O
对	Ep	O
以	Bf	O
上	Ef	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
问	Bn	O
题	En	O
，	Sw	O
各	Br	O
级	Er	O

食	Bn	B
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
已	Bd	O
经	Ed	O
采	Bnr	O
取	Mnr	O
措	Mnr	O
施	Enr	O
依	Bl	O
法	Ml	O
查	Ml	O
处	El	O
，	Sw	O
督	Bv	O
促	Ev	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
立	Bd	O
即	Ed	O
封	Bv	O
存	Ev	O
、	Sw	O
下	Bv	O
架	Ev	O
和	Sc	O
召	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
及	Bc	O
时	Ec	O
查	Bv	O
找	Ev	O
问	Bn	O
题	En	O
原	Bn	O
因	En	O
、	Sw	O
化	Bv	O
解	Ev	O
风	Bn	O
险	En	O
，	Sw	O
并	Sc	O
在	Sp	O
日	Bd	O
常	Ed	O
监	Bvn	O
管	Evn	O
工	Bvn	O
作	Evn	O
中	Sf	O
，	Sw	O
加	Bv	O
大	Ev	O
跟	Bv	O
踪	Ev	O
抽	Bv	O
检	Ev	O
力	Bn	O
度	En	O
，	Sw	O
防	Bvn	O
控	Evn	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
风	Bn	O
险	En	O
。	Sw	O

特	Bd	O
此	Ed	O
通	Bn	O
告	En	O
。	Sw	O

山	Bns	B
东	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
7	Sm	O
月	Sm	O
2	Bm	O
7	Em	O
日	Sm	O

