沪	Sj	O
N	Eeng	O
”	Sw	O
牌	Sn	O
G	Beng	O
S	Meng	O
M	Eeng	O
数	Bn	O
字	En	O
移	Bvn	O
动	Evn	O
电	Bn	O
话	Mn	O
机	En	O
（	Sw	O
型	Bn	O
号	En	O
规	Bn	O
格	En	O
：	Sw	O
T	Beng	O
6	Meng	O
0	Meng	O
9	Eeng	O
；	Sw	O

生	Bn	O
产	Mn	O
日	Mn	O
期	En	O
或	Sc	O
批	Bn	O
号	En	O
：	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
6	Mm	O
.	Mm	O
0	Mm	O
9	Em	O
）	Sw	O
，	Sw	O
传	Bn	O
导	En	O
连	Ba	O
续	Ea	O
骚	Bv	O
扰	Ev	O
实	Bn	O
测	Mn	O
值	En	O
超	Bv	O
出	Ev	O
限	Bn	O
值	En	O
余	Bm	O
量	Em	O
较	Ba	O
大	Ea	O
。	Sw	O

传	Bn	O
导	En	O
连	Ba	O
续	Ea	O
骚	Bv	O
扰	Ev	O
、	Sw	O
辐	Bv	O
射	Ev	O
连	Ba	O
续	Ea	O
骚	Bv	O
扰	Ev	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
会	Sv	O
干	Bv	O
扰	Ev	O
其	Br	O
它	Er	O
电	Bn	O
器	Mn	O
产	Mn	O
品	En	O
的	Suj	O
正	Bd	O
常	Ed	O
运	Bv	O
行	Ev	O
，	Sw	O
如	Bc	O
果	Ec	O
干	Bnz	O
扰	Mnz	O
信	Mnz	O
号	Enz	O
过	Sug	O
大	Sa	O
，	Sw	O
则	Sd	O
会	Sv	O
影	Bvn	O
响	Evn	O
整	Bb	O
个	Eb	O
电	Bn	O
网	En	O
的	Suj	O
用	Bn	O
电	En	O
质	Bn	O
量	En	O
，	Sw	O
严	Ba	O
重	Ea	O
的	Suj	O
还	Sd	O
会	Sv	O
影	Bvn	O
响	Evn	O
整	Bb	O
个	Eb	O
电	Bn	O
网	En	O
安	Ban	O
全	Ean	O
。	Sw	O

二	Sm	O
、	Sw	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
主	Bb	O
要	Eb	O
是	Sv	O
0	Bm	O
.	Mm	O
2	Em	O
I	Beng	O
t	Meng	O
A	Eeng	O
放	Bv	O
电	Ev	O
和	Sc	O
标	Bn	O
识	En	O
要	Bv	O
求	Ev	O
。	Sw	O

一	Sm	O
是	Sv	O
0	Bm	O
.	Mm	O
2	Em	O
I	Beng	O
t	Meng	O
A	Eeng	O
放	Bv	O
电	Ev	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
有	Sv	O
7	Sm	O
个	Sm	O
批	Bd	O
次	Ed	O
。	Sw	O

抽	Bv	O
检	Ev	O
发	Bv	O
现	Ev	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
商	Bn	O
品	En	O
最	Ba	O
大	Ea	O
放	Bv	O
电	Ev	O
时	Bn	O
间	En	O
实	Bv	O
测	Ev	O
都	Sd	O
在	Sp	O
0	Bm	O
.	Mm	O
9	Mm	O
1	Em	O
h	Seng	O
至	Sp	O
4	Bm	O
.	Mm	O
5	Mm	O
5	Em	O
h	Seng	O
之	Bf	O
间	Ef	O
（	Sw	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
要	Bv	O
求	Ev	O
应	Sv	O
不	Sd	O
低	Bv	O
于	Ev	O
5	Sm	O
h	Seng	O
）	Sw	O
。	Sw	O

如	Sv	O
上	Bns	O
海	Ens	O
新	Bnt	O
易	Ent	O
百	Bn	O
货	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
由	Sp	O
深	Bns	O
圳	Mns	O
市	Ens	O
最	Sd	O
前	Bn	O
线	En	O
电	Bn	O
子	Mn	O
科	Mn	O
技	En	O
公	Bn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
“	Sw	O
最	Sd	O
前	Bn	O
线	En	O
”	Sw	O
牌	Sn	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
（	Sw	O
标	Bn	O
称	En	O
容	Bn	O
量	En	O
：	Sw	O
1	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
M	Beng	O
A	Meng	O
H	Eeng	O
）	Sw	O
，	Sw	O
最	Ba	O
大	Ea	O
放	Bv	O
电	Ev	O
时	Bn	O
间	En	O
仅	Sd	O
为	Sp	O
0	Bm	O
.	Mm	O
9	Mm	O
1	Em	O
h	Seng	O
，	Sw	O
实	Bv	O
测	Ev	O
容	Bn	O
量	En	O
应	Bv	O
为	Ev	O
1	Bm	O
8	Mm	O
2	Mm	O
0	Em	O
m	Beng	O
A	Meng	O
h	Eeng	O
，	Sw	O
实	Bn	O
际	En	O
放	Bv	O
电	Ev	O
容	Bn	O
量	En	O
仅	Sd	O
为	Sp	O
标	Bn	O
称	En	O
容	Bn	O
量	En	O
的	Suj	O
1	Bm	O
8	Mm	O
.	Mm	O
2	Em	O
%	Sw	O
。	Sw	O

0	Bm	O
.	Mm	O
2	Em	O
I	Beng	O
t	Meng	O
A	Eeng	O
放	Bv	O
电	Ev	O
试	Bvn	O
验	Evn	O
是	Sv	O
以	Sp	O
放	Bv	O
电	Ev	O
时	Bn	O
间	En	O
检	Bvn	O
测	Evn	O
标	Bn	O
称	En	O
容	Bn	O
量	En	O
是	Bv	O
否	Ev	O
与	Sp	O
实	Bn	O
际	En	O
容	Bn	O
量	En	O
相	Bv	O
符	Ev	O
，	Sw	O
它	Sr	O
是	Sv	O
考	Bvn	O
核	Evn	O
电	Bn	O
池	En	O
质	Bn	O
量	En	O
的	Suj	O
一	Bm	O
个	Em	O
主	Bb	O
要	Eb	O
指	Bn	O
标	En	O
。	Sw	O

在	Sp	O
相	Bd	O
同	Ed	O
放	Bv	O
电	Ev	O
电	Bn	O
流	En	O
条	Bn	O
件	En	O
下	Sf	O
，	Sw	O
放	Bv	O
电	Ev	O
时	Bn	O
间	En	O
越	Sd	O
长	Sa	O
，	Sw	O
电	Bn	O
池	Mn	O
容	Mn	O
量	En	O
越	Sd	O
高	Sa	O
，	Sw	O
可	Bl	O
供	Ml	O
使	Ml	O
用	El	O
时	Bn	O
间	En	O
越	Sd	O
长	Sa	O
。	Sw	O

二	Sm	O
是	Sv	O
标	Bn	O
识	En	O
要	Bv	O
求	Ev	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
有	Sv	O
3	Sm	O
个	Sm	O
批	Bd	O
次	Ed	O
。	Sw	O

抽	Bv	O
检	Ev	O
发	Bv	O
现	Ev	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
商	Bn	O
品	En	O
未	Sd	O
标	Bv	O
注	Ev	O
产	Bn	O
品	Mn	O
名	Mn	O
称	En	O
，	Sw	O
或	Bc	O
者	Ec	O
标	Bn	O
识	Mn	O
语	Mn	O
言	En	O
无	Sv	O
应	Bv	O
用	Ev	O
中	Bnz	O
文	Enz	O
体	Bv	O
现	Ev	O
。	Sw	O

根	Bp	O
据	Ep	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O
，	Sw	O
工	Bn	O
商	Mn	O
部	Mn	O
门	En	O
已	Sd	O
责	Bn	O
令	En	O
相	Bv	O
关	Ev	O
经	Bn	O
营	Mn	O
者	En	O
立	Bd	O
即	Ed	O
停	Bv	O
止	Ev	O
销	Bvn	O
售	Evn	O
不	Sd	O
合	Bn	O
格	En	O
商	Bn	O
品	En	O
，	Sw	O
对	Sp	O
库	Bn	O
存	Mn	O
商	Mn	O
品	En	O
、	Sw	O
在	Sp	O
售	Sv	O
商	Bn	O
品	En	O
进	Bv	O
行	Ev	O
全	Bn	O
面	En	O
清	Ba	O
理	Ea	O
，	Sw	O
督	Bv	O
促	Ev	O
经	Bn	O
营	Mn	O
者	En	O
按	Bp	O
照	Ep	O
相	Bv	O
关	Ev	O
法	Bn	O
律	Mn	O
法	Mn	O
规	En	O
的	Suj	O
要	Bv	O
求	Ev	O
主	Bb	O
动	Eb	O
采	Bnr	O
取	Mnr	O
措	Mnr	O
施	Enr	O
，	Sw	O
保	Bv	O
护	Ev	O
消	Bn	O
费	Mn	O
者	En	O
合	Bn	O
法	Mn	O
权	Mn	O
益	En	O
，	Sw	O
同	Bc	O
时	Ec	O
，	Sw	O
工	Bn	O
商	Mn	O
部	Mn	O
门	En	O
将	Sd	O
依	Bn	O
法	En	O
对	Sp	O
销	Bvn	O
售	Evn	O
不	Sd	O
合	Bn	O
格	En	O
商	Bn	O
品	En	O
的	Suj	O
经	Bn	O
营	Mn	O
者	En	O
立	Bn	O
案	En	O
调	Bvn	O
查	Evn	O
。	Sw	O

工	Bn	O
商	Mn	O
部	Mn	O
门	En	O
提	Bv	O
醒	Ev	O
消	Bn	O
费	Mn	O
者	En	O
在	Sp	O
选	Bv	O
购	Ev	O
、	Sw	O
使	Bv	O
用	Ev	O
手	Bn	O
机	En	O
和	Sc	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
时	Sng	O
要	Sv	O
注	Bv	O
意	Ev	O
以	Bl	O
下	Ml	O
几	Ml	O
点	El	O
：	Sw	O

一	Sm	O
、	Sw	O
手	Bn	O
机	En	O
属	Bv	O
于	Ev	O
国	Bn	O
家	En	O
强	Bv	O
制	Ev	O
认	Bv	O
证	Ev	O
产	Bn	O
品	En	O
，	Sw	O
消	Bn	O
费	Mn	O
者	En	O
应	Sv	O
购	Bv	O
买	Ev	O
具	Bv	O
有	Ev	O
3	Sm	O
C	Seng	O
认	Bv	O
证	Ev	O
标	Bn	O
识	En	O
的	Suj	O
产	Bn	O
品	En	O
，	Sw	O
尽	Bd	O
量	Ed	O
选	Bv	O
择	Ev	O
知	Bn	O
名	Mn	O
品	Mn	O
牌	En	O
，	Sw	O
避	Bv	O
免	Ev	O
质	Bn	O
量	En	O
低	Ba	O
劣	Ea	O
的	Suj	O
手	Bn	O
机	En	O
带	Bv	O
来	Ev	O
的	Suj	O
干	Bv	O
扰	Ev	O
。	Sw	O

二	Sm	O
、	Sw	O
选	Bv	O
购	Ev	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
时	Sn	O
，	Sw	O
要	Sv	O
注	Bv	O
意	Ev	O
查	Bv	O
看	Ev	O
有	Ba	O
效	Ea	O
放	Bv	O
电	Ev	O
容	Bn	O
量	En	O
。	Sw	O

移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
充	Bv	O
电	Ev	O
或	Sc	O
与	Sp	O
手	Bn	O
机	En	O
连	Bv	O
接	Ev	O
时	Sn	O
，	Sw	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
、	Sw	O
连	Bl	O
接	Ml	O
线	El	O
、	Sw	O
变	Bn	O
压	Mn	O
器	En	O
及	Sc	O
手	Bn	O
机	En	O
都	Sd	O
会	Sv	O
发	Bv	O
热	Ev	O
，	Sw	O
此	Szg	O
现	Bn	O
象	En	O
属	Bv	O
于	Ev	O
正	Bd	O
常	Ed	O
的	Suj	O
电	Bn	O
能	En	O
损	Bn	O
耗	En	O
，	Sw	O
所	Bc	O
以	Ec	O
，	Sw	O
选	Bv	O
购	Ev	O
时	Sng	O
要	Sv	O
特	Bd	O
别	Ed	O
注	Bv	O
意	Ev	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
的	Suj	O
实	Bn	O
际	En	O
放	Bv	O
电	Ev	O
容	Bn	O
量	En	O
。	Sw	O

三	Sm	O
、	Sw	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
要	Sv	O
避	Bv	O
免	Ev	O
与	Sp	O
重	Bn	O
物	En	O
或	Sc	O
尖	Ba	O
锐	Ea	O
金	Bn	O
属	En	O
部	Bn	O
件	En	O
接	Bv	O
触	Ev	O
，	Sw	O
防	Bv	O
止	Ev	O
内	Bf	O
部	Ef	O
电	Bn	O
芯	En	O
变	Bn	O
形	En	O
或	Sc	O
被	Sp	O
刺	Bv	O
穿	Ev	O
，	Sw	O
从	Bc	O
而	Ec	O
发	Bv	O
生	Ev	O
短	Bn	O
路	En	O
，	Sw	O
使	Bv	O
用	Ev	O
时	Sng	O
还	Sd	O
应	Sv	O
防	Bv	O
水	Ev	O
、	Sw	O
防	Bn	O
潮	En	O
、	Sw	O
防	Sv	O
高	Bn	O
温	En	O
环	Bn	O
境	En	O
，	Sw	O
切	Bd	O
勿	Ed	O
在	Sp	O
太	Bns	O
阳	Ens	O
下	Sf	O
暴	Bv	O
晒	Ev	O
，	Sw	O
更	Sd	O
不	Bdf	O
要	Edf	O
把	Sp	O
移	Bvn	O
动	Evn	O
电	Bn	O
源	En	O
放	Bv	O
在	Ev	O
夏	Bt	O
日	Et	O
封	Bv	O
闭	Ev	O
的	Suj	O
汽	Bn	O
车	En	O
内	Sn	O
。	Sw	O

