沪	Sj
的	Suj
1	Sm
批	Bd
次	Ed
“	Sw
张	Bnr
氏	Enr
记	Sn
”	Sw
湖	Bns
南	Ens
辣	Bn
椒	Mn
酱	En
（	Sw
3	Bm
1	Mm
5	Em
克	Snr
/	Sw
瓶	Sn
2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
3	Em
-	Sw
2	Bm
5	Em
）	Sw
，	Sw
被	Sp
检	Bv
出	Ev
菌	Bn
落	En
总	Bn
数	En
项	Bn
目	En
不	Sd
合	Bn
格	En
；	Sw

标	Bn
称	En
上	Bns
海	Ens
金	Bnr
山	Enr
酱	Bn
菜	En
调	Bn
味	Mn
品	Mn
厂	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
1	Sm
批	Bd
次	Ed
辣	Bn
油	En
辣	Bn
椒	Mn
酱	En
（	Sw
复	Bv
合	Ev
调	Bv
味	Mv
料	Ev
）	Sw
（	Sw
2	Bm
5	Mm
0	Em
g	Seng
/	Sw
袋	Sq
2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
5	Em
-	Sw
1	Bm
5	Em
）	Sw
，	Sw
被	Sp
检	Bv
出	Ev
霉	Bn
菌	En
和	Sc
酵	Bn
母	En
项	Bn
目	En
不	Sd
合	Bn
格	En
；	Sw

标	Bn
称	En
上	Bns
海	Ens
金	Bnr
山	Enr
堰	Bnz
鼎	Enz
调	Bn
味	Mn
品	Mn
厂	En
生	Bvn
产	Evn
的	Suj
1	Sm
批	Bd
次	Ed
香	Bn
酥	En
炸	Bn
鸡	En
料	Sv
（	Sw
非	Sh
即	Bv
食	Ev
）	Sw
（	Sw
4	Bm
0	Em
g	Seng
/	Sw
袋	Sq
2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
4	Em
-	Sw
2	Bm
4	Em
）	Sw
，	Sw
被	Sp
检	Bv
出	Ev
霉	Bn
菌	En
和	Sc
酵	Bn
母	En
项	Bn
目	En
不	Sd
合	Bn
格	En
；	Sw

标	Bn
称	En
上	Bns
海	Ens
顶	Bn
润	En
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
1	Sm
批	Bd
次	Ed
“	Sw
顶	Bn
润	En
料	Bv
理	Ev
”	Sw
牛	Bn
肉	En
靓	Sg
汤	Sn
王	Snr
（	Sw
复	Bv
合	Ev
调	Bv
味	Mv
料	Ev
）	Sw
（	Sw
5	Bm
0	Mm
0	Em
g	Seng
/	Sw
袋	Sq
2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
5	Em
-	Sw
1	Bm
2	Em
）	Sw
，	Sw
被	Sp
检	Bv
出	Ev
霉	Bn
菌	En
和	Sc
酵	Bn
母	En
项	Bn
目	En
不	Sd
合	Bn
格	En
。	Sw

 	Sw

据	Sp
本	Br
次	Er
发	Bv
布	Ev
的	Suj
《	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
信	Bn
息	En
》	Sw
，	Sw
标	Bn
称	En
江	Bns
苏	Ens
金	Bns
洲	Ens
粮	Bn
油	Mn
食	Mn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
1	Sm
批	Bd
次	Ed
“	Sw
煮	Sv
煮	Sv
乐	Sa
”	Sw
葵	Bn
花	Mn
籽	En
油	Sn
（	Sw
2	Bm
.	Mm
5	Em
升	Sv
/	Sw
瓶	Sn
2	Bm
0	Mm
1	Mm
6	Em
-	Sw
1	Bm
2	Em
-	Sw
1	Bm
2	Em
）	Sw
，	Sw
被	Sp
检	Bv
出	Ev
脂	Bn
肪	Mn
酸	En
组	Bv
成	Ev
项	Bn
目	En
不	Sd
合	Bn
格	En
。	Sw

 	Sw

对	Sp
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
不	Sa
合	Bn
格	En
产	Bn
品	En
，	Sw
上	Bns
海	Mns
市	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
已	Sd
要	Bv
求	Ev
相	Bv
关	Ev
区	Sn
市	Bn
场	En
监	Bvn
督	Evn
管	Bn
理	Mn
局	En
及	Bc
时	Ec
对	Sp
不	Sv
合	Bn
格	En
食	Bn
品	En
及	Bc
其	Ec
生	Bn
产	Mn
经	Mn
营	Mn
者	En
进	Bv
行	Ev
调	Bvn
查	Evn
处	Bv
理	Ev
，	Sw
依	Bl
法	Ml
查	Ml
处	El
，	Sw
进	Bd
一	Md
步	Ed
督	Bv
促	Ev
企	Bn
业	En
履	Bv
行	Ev
法	Bn
定	En
义	Bn
务	En
，	Sw
并	Sc
将	Sd
相	Bv
关	Ev
情	Bn
况	En
记	Bv
入	Ev
食	Bn
品	En
生	Bn
产	Mn
经	Mn
营	Mn
者	En
食	Bl
品	Ml
安	Ml
全	El
信	Bn
用	En
档	Bn
案	En
。	Sw

查	Bv
处	Ev
情	Bn
况	En
由	Sp
企	Bn
业	En
所	Bn
在	Mn
地	En
负	Bv
责	Ev
案	Bn
件	En
查	Bv
办	Ev
的	Suj
区	Sn
市	Bn
场	En
监	Bvn
督	Evn
管	Bn
理	Mn
局	En
按	Bl
规	Ml
定	El
公	Bad
开	Ead
。	Sw

 	Sw

上	Bns
海	Mns
市	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
特	Bd
别	Ed
提	Bv
醒	Ev
消	Bn
费	Mn
者	En
，	Sw
如	Sv
购	Bv
买	Ev
或	Sc
在	Sp
市	Bn
场	En
上	Sf
发	Bv
现	Ev
公	Bn
告	En
所	Bb
列	Eb
的	Suj
不	Sa
合	Bn
格	En
食	Bn
品	En
时	Sn
，	Sw
请	Sv
拨	Bv
打	Ev
食	Bl
品	Ml
安	Ml
全	El
投	Bv
诉	Ev
举	Bl
报	Ml
电	Ml
话	El
1	Bm
2	Mm
3	Mm
3	Mm
1	Em
进	Bv
行	Ev
投	Bv
诉	Ev
举	Bv
报	Ev
。	Sw

 	Sw

调	Bn
味	Mn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
信	Bn
息	En
 	Sw

序	Bn
号	En
 	Sw

标	Bn
称	En
生	Bvn
产	Evn
企	Bn
业	En
名	Bn
称	En
 	Sw

标	Bn
称	En
生	Bvn
产	Evn
企	Bn
业	En
地	Bn
址	En
 	Sw

被	Sp
抽	Bv
样	Ev
单	Bn
位	Mn
名	Mn
称	En
 	Sw

被	Sp
抽	Bv
样	Ev
单	Bn
位	Mn
地	Mn
址	En
 	Sw

食	Bn
品	En
名	Bn
称	En
 	Sw

规	Bn
格	Mn
型	Mn
号	En
 	Sw

商	Bn
标	En
 	Sw

生	Bn
产	Mn
日	Mn
期	En
/	Sw
批	Bn
号	En
 	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
║	Sw
检	Bvn
验	Evn
结	Bn
果	En
║	Sw
标	Bn
准	Mn
值	En
 	Sw

检	Bvn
验	Evn
机	Bn
构	En
 	Sw

备	Bv
注	Ev
 	Sw

1	Sw
 	Sw

上	Bns
海	Ens
洪	Bnr
宁	Enr
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
松	Bns
江	Mns
区	Ens
佘	Bnr
山	Enr
工	Bn
业	Mn
区	En
佘	Bnr
北	Enr
公	Bn
路	En
1	Bm
5	Mm
5	Mm
1	Em
号	Sm
 	Sw

上	Bns
海	Ens
洪	Bnr
宁	Enr
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
松	Bns
江	Mns
区	Ens
佘	Bnr
山	Enr
工	Bn
业	Mn
区	En
佘	Bnr
北	Enr
公	Bn
路	En
1	Bm
5	Mm
5	Mm
1	Em
号	Sm
 	Sw

湖	Bns
南	Ens
辣	Bn
椒	Mn
酱	En
 	Sw

3	Bm
1	Mm
5	Em
克	Snr
/	Sw
瓶	Sn
 	Sw

张	Bnr
氏	Enr
记	Sn
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
3	Em
-	Sw
2	Bm
5	Em
 	Sw

菌	Bn
落	En
总	Bn
数	En
 	Sw

1	Bm
5	Mm
0	Mm
0	Mm
0	Mm
0	Em
/	Sw
2	Bm
0	Mm
0	Mm
0	Mm
0	Mm
0	Em
/	Sw
1	Bm
8	Mm
0	Mm
0	Mm
0	Mm
0	Em
/	Sw
1	Bm
5	Mm
0	Mm
0	Mm
0	Mm
0	Em
/	Sw
1	Bm
6	Mm
0	Mm
0	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

n	Sw
:	Sw
5	Sw
 	Sw

c	Sw
:	Sw
2	Sw
 	Sw

m	Sw
:	Sw
1	Bm
0	Mm
0	Mm
0	Mm
0	Em
 	Sw

M	Sw
:	Sw
1	Bm
0	Mm
0	Mm
0	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

上	Bns
海	Ens
德	Bnr
诺	Enr
产	Bn
品	En
检	Bvn
测	Evn
有	Bn
限	Mn
公	Mn
司	En
 	Sw

 	Sw

2	Sw
 	Sw

上	Bns
海	Ens
金	Bnr
山	Enr
酱	Bn
菜	En
调	Bn
味	Mn
品	Mn
厂	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
金	Bns
山	Mns
区	Ens
张	Bnr
堰	Mnr
镇	Enr
百	Bm
家	Em
村	Sn
高	Sa
桥	Sn
2	Bm
1	Mm
5	Mm
8	Em
号	Sm
 	Sw

上	Bns
海	Ens
金	Bnr
山	Enr
酱	Bn
菜	En
调	Bn
味	Mn
品	Mn
厂	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
金	Bns
山	Mns
区	Ens
张	Bnr
堰	Mnr
镇	Enr
百	Bm
家	Em
村	Sn
高	Sa
桥	Sn
2	Bm
1	Mm
5	Mm
8	Em
号	Sm
 	Sw

辣	Bn
油	En
辣	Bn
椒	Mn
酱	En
（	Sw
复	Bv
合	Ev
调	Bv
味	Mv
料	Ev
）	Sw
 	Sw

2	Bm
5	Mm
0	Em
g	Seng
/	Sw
袋	Sq
 	Sw

/	Sw
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
5	Em
-	Sw
1	Bm
5	Em
 	Sw

霉	Bn
菌	En
和	Sc
酵	Bn
母	En
 	Sw

9	Bm
9	Mm
0	Mm
0	Em
/	Sw
1	Bm
1	Mm
0	Mm
0	Mm
0	Em
/	Sw
1	Bm
1	Mm
0	Mm
0	Mm
0	Em
/	Sw
1	Bm
1	Mm
0	Mm
0	Mm
0	Em
/	Sw
9	Bm
8	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

n	Sw
:	Sw
5	Sw
 	Sw

c	Sw
:	Sw
2	Sw
 	Sw

m	Sw
:	Sw
1	Bm
0	Mm
0	Em
 	Sw

M	Sw
:	Sw
1	Bm
0	Mm
0	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

上	Bns
海	Ens
德	Bnr
诺	Enr
产	Bn
品	En
检	Bvn
测	Evn
有	Bn
限	Mn
公	Mn
司	En
 	Sw

 	Sw

3	Sw
 	Sw

上	Bns
海	Ens
金	Bnr
山	Enr
堰	Bnz
鼎	Enz
调	Bn
味	Mn
品	Mn
厂	En
 	Sw

上	Bns
海	Mns
市	Ens
金	Bns
山	Mns
区	Ens
张	Bnr
堰	Mnr
镇	Enr
秦	Bnr
阳	Mnr
村	Enr
5	Sm
组	Sv
3	Bm
1	Mm
3	Mm
5	Em
号	Sm
 	Sw

上	Bns
海	Ens
金	Bnr
山	Enr
堰	Bnz
鼎	Enz
调	Bn
味	Mn
品	Mn
厂	En
 	Sw

上	Bns
海	Mns
市	Ens
金	Bns
山	Mns
区	Ens
张	Bnr
堰	Mnr
镇	Enr
秦	Bnr
阳	Mnr
村	Enr
5	Sm
组	Sv
3	Bm
1	Mm
3	Mm
5	Em
号	Sm
 	Sw

香	Bn
酥	En
炸	Bn
鸡	En
料	Sv
（	Sw
非	Sh
即	Bv
食	Ev
）	Sw
 	Sw

4	Bm
0	Em
g	Seng
/	Sw
袋	Sq
 	Sw

/	Sw
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
4	Em
-	Sw
2	Bm
4	Em
 	Sw

霉	Bn
菌	En
和	Sc
酵	Bn
母	En
 	Sw

1	Bm
7	Mm
0	Mm
0	Em
/	Sw
1	Bm
3	Mm
0	Mm
0	Em
/	Sw
1	Bm
6	Mm
0	Mm
0	Em
/	Sw
1	Bm
0	Mm
0	Mm
0	Em
/	Sw
1	Bm
3	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

n	Sw
:	Sw
5	Sw
 	Sw

c	Sw
:	Sw
3	Sw
 	Sw

m	Sw
:	Sw
5	Bm
0	Mm
0	Em
 	Sw

M	Sw
:	Sw
1	Bm
0	Mm
0	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

上	Bns
海	Ens
德	Bnr
诺	Enr
产	Bn
品	En
检	Bvn
测	Evn
有	Bn
限	Mn
公	Mn
司	En
 	Sw

 	Sw

4	Sw
 	Sw

上	Bns
海	Ens
顶	Bn
润	En
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
松	Bns
江	Mns
区	Ens
叶	Bnr
榭	Mnr
镇	Enr
新	Bns
桥	Ens
路	Sn
3	Sm
号	Sm
 	Sw

上	Bns
海	Ens
顶	Bn
润	En
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
松	Bns
江	Mns
区	Ens
叶	Bnr
榭	Mnr
镇	Enr
新	Bns
桥	Ens
路	Sn
3	Sm
号	Sm
 	Sw

牛	Bn
肉	En
靓	Sg
汤	Sn
王	Snr
（	Sw
复	Bv
合	Ev
调	Bv
味	Mv
料	Ev
）	Sw
 	Sw

5	Bm
0	Mm
0	Em
g	Seng
/	Sw
袋	Sq
 	Sw

顶	Bn
润	En
料	Bv
理	Ev
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
-	Sw
0	Bm
5	Em
-	Sw
1	Bm
2	Em
 	Sw

霉	Bn
菌	En
和	Sc
酵	Bn
母	En
 	Sw

8	Bm
8	Mm
0	Em
/	Sw
9	Bm
3	Mm
0	Em
/	Sw
9	Bm
1	Mm
0	Em
/	Sw
8	Bm
7	Mm
0	Em
/	Sw
8	Bm
6	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

n	Sw
:	Sw
5	Sw
 	Sw

c	Sw
:	Sw
3	Sw
 	Sw

m	Sw
:	Sw
5	Bm
0	Mm
0	Em
 	Sw

M	Sw
:	Sw
1	Bm
0	Mm
0	Mm
0	Mm
0	Em
 	Sw

C	Beng
F	Meng
U	Eeng
/	Sw
g	Sw
 	Sw

上	Bns
海	Ens
德	Bnr
诺	Enr
产	Bn
品	En
检	Bvn
测	Evn
有	Bn
限	Mn
公	Mn
司	En
 	Sw

 	Sw

食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
信	Bn
息	En
 	Sw

序	Bn
号	En
 	Sw

标	Bn
称	En
生	Bvn
产	Evn
企	Bn
业	En
名	Bn
称	En
 	Sw

标	Bn
称	En
生	Bvn
产	Evn
企	Bn
业	En
地	Bn
址	En
 	Sw

被	Sp
抽	Bv
样	Ev
单	Bn
位	Mn
名	Mn
称	En
 	Sw

被	Sp
抽	Bv
样	Ev
单	Bn
位	Mn
地	Mn
址	En
 	Sw

食	Bn
品	En
名	Bn
称	En
 	Sw

规	Bn
格	Mn
型	Mn
号	En
 	Sw

商	Bn
标	En
 	Sw

生	Bn
产	Mn
日	Mn
期	En
/	Sw
批	Bn
号	En
 	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
║	Sw
检	Bvn
验	Evn
结	Bn
果	En
║	Sw
标	Bn
准	Mn
值	En
 	Sw

检	Bvn
验	Evn
机	Bn
构	En
 	Sw

备	Bv
注	Ev
 	Sw

1	Sw
 	Sw

江	Bns
苏	Ens
金	Bns
洲	Ens
粮	Bn
油	Mn
食	Mn
品	En
有	Bn
限	Mn
公	Mn
司	En
 	Sw

江	Bns
苏	Mns
省	Ens
海	Bns
安	Mns
县	Ens
海	Bnz
安	Enz
镇	Sn
开	Bnz
元	Enz
大	Bn
道	En
1	Bm
9	Mm
9	Em
号	Sm
 	Sw

乐	Bnr
天	Enr
荣	Bnr
恒	Enr
（	Sw
上	Bns
海	Ens
）	Sw
超	Bv
市	Ev
有	Bn
限	Mn
公	Mn
司	En
 	Sw

上	Bns
海	Mns
市	Ens
静	Bns
安	Mns
区	Ens
芷	Bns
江	Ens
西	Bns
路	Ens
5	Bm
5	Mm
0	Em
号	Sm
地	Bs
下	Es
一	Bm
层	Em
 	Sw

葵	Bn
花	Mn
籽	En
油	Sn
 	Sw

2	Bm
.	Mm
5	Em
升	Sv
/	Sw
瓶	Sn
 	Sw

煮	Sv
煮	Sv
乐	Sa
 	Sw

2	Bm
0	Mm
1	Mm
6	Em
-	Sw
1	Bm
2	Em
-	Sw
1	Bm
2	Em
 	Sw

脂	Bn
肪	Mn
酸	En
组	Bv
成	Ev
║	Sw
 	Sw

亚	Bn
麻	Mn
酸	En
 	Sw

C	Beng
1	Meng
8	Eeng
:	Sw
3	Sw
 	Sw

:	Sw
1	Bm
.	Mm
8	Em
%	Sw
；	Sw

 	Sw

花	Bn
生	En
一	Sm
烯	Bn
酸	En
 	Sw

C	Beng
2	Meng
0	Eeng
:	Sw
1	Sw
 	Sw

:	Sw
0	Bm
.	Mm
5	Em
%	Sw
；	Sw

║	Sw
 	Sw

亚	Bn
麻	Mn
酸	En
 	Sw

C	Beng
1	Meng
8	Eeng
:	Sw
3	Sw
 	Sw

:	Sw
N	Beng
D	Eeng
~	Sw
0	Bm
.	Mm
3	Em
%	Sw
；	Sw

 	Sw

花	Bn
生	En
一	Sm
烯	Bn
酸	En
 	Sw

C	Beng
2	Meng
0	Eeng
:	Sw
1	Sw
 	Sw

:	Sw
N	Beng
D	Eeng
~	Sw
0	Bm
.	Mm
3	Em
%	Sw
；	Sw

 	Sw

上	Bns
海	Ens
科	Bnr
茂	Enr
粮	Bn
油	Mn
食	Mn
品	En
质	Bn
量	En
检	Bvn
测	Evn
有	Bn
限	Mn
公	Mn
司	En


