山	Bns
现	Stg
将	Sd
有	Bvn
关	Evn
数	Bn
据	En
汇	Bn
总	En
如	Bt
下	Et
。	Sw

 	Sw

在	Sp
各	Br
类	Er
食	Bn
品	En
样	Bn
品	En
中	Sf
，	Sw
日	Bd
常	Ed
消	Bn
费	Mn
量	En
较	Ba
大	Ea
的	Suj
食	Bn
品	En
种	Bn
类	En
抽	Bv
检	Ev
情	Bn
况	En
为	Sp
：	Sw
食	Bn
用	En
农	Bn
产	Mn
品	En
抽	Bv
检	Ev
3	Bm
3	Mm
2	Mm
3	Mm
2	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
8	Bm
3	Mm
4	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
7	Mm
.	Mm
4	Mm
9	Em
%	Sw
。	Sw

餐	Bn
饮	En
食	Bn
品	En
抽	Bv
检	Ev
1	Bm
1	Mm
0	Mm
6	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
5	Bm
4	Mm
2	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
5	Mm
.	Mm
1	Mm
0	Em
%	Sw
。	Sw

调	Bn
味	Mn
品	En
抽	Bv
检	Ev
4	Bm
6	Mm
4	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
0	Mm
6	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
7	Mm
.	Mm
7	Mm
2	Em
%	Sw
。	Sw

水	Bn
产	En
制	Bn
品	En
抽	Bv
检	Ev
2	Bm
4	Mm
3	Mm
1	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
1	Mm
0	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
5	Mm
.	Mm
4	Mm
8	Em
%	Sw
。	Sw

粮	Bn
食	En
加	Bn
工	Mn
品	En
抽	Bv
检	Ev
4	Bm
5	Mm
6	Mm
5	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
6	Bm
1	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
8	Mm
.	Mm
6	Mm
6	Em
%	Sw
。	Sw

肉	Bn
制	Mn
品	En
抽	Bv
检	Ev
5	Bm
4	Mm
1	Mm
7	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
5	Mm
8	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
7	Mm
.	Mm
0	Mm
8	Em
%	Sw
。	Sw

糕	Bn
点	En
抽	Bv
检	Ev
3	Bm
2	Mm
1	Mm
8	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
2	Mm
1	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
6	Mm
.	Mm
2	Mm
4	Em
%	Sw
。	Sw

酒	Bn
类	En
抽	Bv
检	Ev
3	Bm
0	Mm
0	Mm
1	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
7	Bm
4	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
7	Mm
.	Mm
5	Mm
3	Em
%	Sw
。	Sw

蔬	Bn
菜	Mn
制	Mn
品	En
抽	Bv
检	Ev
3	Bm
6	Mm
9	Mm
2	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
3	Bm
2	Mm
8	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
1	Mm
.	Mm
1	Mm
2	Em
%	Sw
。	Sw

食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
抽	Bv
检	Ev
2	Bm
6	Mm
8	Mm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
3	Bm
5	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
8	Mm
.	Mm
6	Mm
9	Em
%	Sw
。	Sw

豆	Bn
制	Mn
品	En
抽	Bv
检	Ev
1	Bm
7	Mm
3	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
9	Bm
2	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
4	Mm
.	Mm
7	Mm
1	Em
%	Sw
。	Sw

饮	Bn
料	En
抽	Bv
检	Ev
2	Bm
1	Mm
9	Mm
3	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
1	Bm
9	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
9	Mm
.	Mm
1	Mm
3	Em
%	Sw
。	Sw

淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
抽	Bv
检	Ev
2	Bm
2	Mm
1	Mm
7	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
3	Mm
4	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
3	Mm
.	Mm
9	Mm
6	Em
%	Sw
。	Sw

 	Sw

抽	Bv
检	Ev
发	Bv
现	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
：	Sw
一	Sm
是	Sv
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
批	Sq
次	Bn
数	En
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
4	Bm
2	Mm
.	Mm
0	Mm
5	Em
%	Sw
；	Sw

二	Sm
是	Sv
农	Bn
药	En
残	Bv
留	Ev
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
批	Sq
次	Bn
数	En
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
1	Bm
9	Mm
.	Mm
5	Mm
2	Em
%	Sw
；	Sw

三	Sm
是	Sv
质	Bn
量	Mn
指	Mn
标	En
不	Sd
合	Bn
格	En
，	Sw
 	Sw

不	Sd
合	Bn
格	En
样	Bn
品	En
批	Sq
次	Bn
数	En
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
9	Bm
.	Mm
0	Mm
4	Em
%	Sw
;	Sw

四	Sm
是	Sv
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
批	Sq
次	Bn
数	En
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
8	Bm
.	Mm
7	Mm
9	Em
%	Sw
；	Sw

此	Bc
外	Ec
，	Sw
有	Sv
1	Bm
0	Mm
2	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
兽	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
3	Bm
.	Mm
5	Mm
7	Em
%	Sw
；	Sw

有	Sv
8	Bm
2	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
禁	Bv
用	Ev
农	Bn
药	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
2	Bm
.	Mm
8	Mm
7	Em
%	Sw
；	Sw

有	Sv
7	Bm
6	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
有	Sv
其	Br
他	Er
微	Bl
生	Ml
物	El
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
2	Bm
.	Mm
6	Mm
6	Em
%	Sw
；	Sw

有	Sv
7	Bm
5	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
有	Sv
非	Sd
食	Bn
用	En
物	Bn
质	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
2	Bm
.	Mm
6	Mm
3	Em
%	Sw
；	Sw

有	Sv
7	Bm
5	Em
批	Bd
次	Ed
样	Bn
品	En
标	Bn
签	En
标	Bn
识	En
不	Sd
合	Bn
格	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
2	Bm
.	Mm
6	Mm
3	Em
%	Sw
；	Sw

有	Sv
6	Bm
6	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
重	Bn
金	Mn
属	En
等	Su
元	Bn
素	En
污	Bn
染	Mn
物	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
2	Bm
.	Mm
3	Mm
1	Em
%	Sw
；	Sw

有	Sv
5	Bm
7	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
有	Sv
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
2	Bm
.	Mm
0	Mm
0	Em
%	Sw
；	Sw

有	Sv
1	Bm
8	Em
批	Bd
次	Ed
产	Bn
品	En
检	Bv
出	Ev
有	Sv
其	Br
他	Er
污	Bn
染	Mn
物	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
0	Bm
.	Mm
6	Mm
3	Em
%	Sw
;	Sw

有	Sv
3	Sm
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
有	Sv
生	Bn
物	En
毒	Bn
素	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
0	Bm
.	Mm
1	Mm
1	Em
；	Sw

有	Sv
2	Sm
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
有	Sv
其	Br
他	Er
生	Bn
物	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
0	Bm
.	Mm
0	Mm
7	Em
%	Sw
。	Sw

 	Sw

针	Bp
对	Ep
以	Bf
上	Ef
监	Bvn
督	Evn
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
问	Bn
题	En
，	Sw
各	Br
级	Er
 	Sw

食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
已	Bd
经	Ed
采	Bnr
取	Mnr
措	Mnr
施	Enr
依	Bl
法	Ml
查	Ml
处	El
，	Sw
督	Bv
促	Ev
生	Bn
产	Mn
经	Mn
营	Mn
者	En
立	Bd
即	Ed
封	Bv
存	Ev
、	Sw
下	Bv
架	Ev
和	Sc
召	Bv
回	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
，	Sw
及	Bc
时	Ec
查	Bv
找	Ev
问	Bn
题	En
原	Bn
因	En
、	Sw
化	Bv
解	Ev
风	Bn
险	En
，	Sw
并	Sc
在	Sp
日	Bd
常	Ed
监	Bvn
管	Evn
工	Bvn
作	Evn
中	Sf
，	Sw
加	Bv
大	Ev
跟	Bv
踪	Ev
抽	Bv
检	Ev
力	Bn
度	En
，	Sw
防	Bvn
控	Evn
 	Sw

食	Bl
品	Ml
安	Ml
全	El
风	Bn
险	En
。	Sw

 	Sw

特	Bd
此	Ed
通	Bn
告	En
。	Sw

 	Sw

山	Bns
东	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
7	Sm
月	Sm
2	Bm
7	Em
日	Sm


