湖	Bns
亚	Bnz
硝	Mnz
酸	Mnz
盐	Enz
、	Sw
乙	Bnz
二	Mnz
胺	Mnz
四	Mnz
乙	Mnz
酸	Enz
二	Sm
钠	Sn
）	Sw
、	Sw
着	Bn
色	Mn
剂	En
（	Sw
胭	Bn
脂	Mn
红	En
、	Sw
日	Bz
落	Mz
黄	Ez
）	Sw
以	Bc
及	Ec
含	Sv
铝	Sn
添	Bn
加	Mn
剂	En
的	Suj
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
。	Sw

 	Sw

（	Sw
二	Sm
）	Sw
其	Br
他	Er
微	Bl
生	Ml
物	El
污	Bvn
染	Evn
 	Sw

食	Bn
品	En
中	Sf
其	Br
他	Er
微	Bl
生	Ml
物	El
污	Bvn
染	Evn
问	Bn
题	En
有	Sv
1	Bm
1	Mm
1	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
2	Bm
5	Em
%	Sw
。	Sw

主	Bb
要	Eb
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
菌	Bn
落	En
总	Bn
数	En
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
、	Sw
霉	Bn
菌	En
计	Bn
数	En
。	Sw

 	Sw

（	Sw
三	Sm
）	Sw
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
 	Sw

食	Bn
品	En
中	Sf
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
问	Bn
题	En
有	Sv
4	Bm
4	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
1	Bm
0	Em
%	Sw
。	Sw

主	Bb
要	Eb
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
苯	Sn
并	Sc
（	Sw
a	Sw
）	Sw
芘	Sw
、	Sw
氰	Bn
化	Mn
物	En
、	Sw
阴	Bn
离	Mn
子	En
合	Bn
成	Mn
洗	Mn
涤	Mn
剂	En
。	Sw

 	Sw

（	Sw
四	Sm
）	Sw
品	Bn
质	En
指	Bn
标	En
不	Sd
合	Bn
格	En
 	Sw

食	Bn
品	En
中	Sf
品	Bn
质	En
指	Bn
标	En
不	Sd
合	Bn
格	En
问	Bn
题	En
有	Sv
3	Bm
1	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
7	Sm
%	Sw
。	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
主	Bb
要	Eb
是	Sv
果	Bn
糖	En
和	Sc
葡	Bn
萄	Mn
糖	En
、	Sw
蔗	Bn
糖	En
分	Sv
、	Sw
还	Bv
原	Ev
糖	Bn
分	En
、	Sw
总	Bn
酯	En
、	Sw
总	Bn
酸	En
、	Sw
酒	Bn
精	Mn
度	En
、	Sw
酸	Bn
价	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
电	Bn
导	Mn
率	En
、	Sw
耗	Bn
氧	Mn
量	En
等	Su
。	Sw

 	Sw

（	Sw
五	Sm
）	Sw
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
和	Sc
检	Bv
出	Ev
禁	Bv
用	Ev
农	Bn
药	En
 	Sw

食	Bn
品	En
中	Sf
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
问	Bn
题	En
有	Sv
3	Sm
批	Bd
次	Ed
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
农	Bn
药	En
问	Bn
题	En
有	Sv
2	Sm
批	Bd
次	Ed
。	Sw

农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
为	Sp
氧	Sn
乐	Bn
果	En
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
克	Sm
百	Bn
威	En
，	Sw
检	Bv
出	Ev
的	Suj
禁	Bv
用	Ev
农	Bn
药	En
为	Sp
水	Bn
胺	En
硫	Sn
磷	Sn
。	Sw

 	Sw

（	Sw
六	Sm
）	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
 	Sw

食	Bn
品	En
中	Sf
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
问	Bn
题	En
有	Sv
1	Bm
3	Em
批	Bd
次	Ed
，	Sw
检	Bv
出	Ev
的	Suj
禁	Bv
用	Ev
兽	Bn
药	En
为	Sp
氟	Bnz
苯	Mnz
尼	Enz
考	Sv
、	Sw
氯	Bn
霉	Mn
素	En
、	Sw
沙	Bnz
丁	Mnz
胺	Mnz
醇	Enz
、	Sw
莱	Bnrt
克	Enrt
多	Bnz
巴	Mnz
胺	Enz
、	Sw
孔	Bnr
雀	Mnr
石	Enr
绿	Sa
。	Sw

 	Sw

（	Sw
七	Sm
）	Sw
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
 	Sw

食	Bn
品	En
中	Sf
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
问	Bn
题	En
有	Sv
7	Sm
批	Bd
次	Ed
，	Sw
检	Bv
出	Ev
的	Suj
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
主	Bb
要	Eb
为	Sp
铜	Bn
绿	En
假	Sn
单	Bn
胞	Mn
菌	En
。	Sw

 	Sw

（	Sw
八	Sm
）	Sw
其	Br
他	Er
问	Bn
题	En
 	Sw

食	Bn
品	En
中	Sf
检	Bv
出	Ev
的	Suj
生	Bn
物	En
毒	Bn
素	En
超	Bv
标	Ev
为	Sp
黄	Bn
曲	Mn
霉	En
毒	Bn
素	En
B	Beng
1	Eeng
，	Sw
检	Bv
出	Ev
的	Suj
非	Sh
食	Bn
用	En
物	Bn
质	En
为	Sp
过	Bnz
氧	Mnz
化	Mnz
苯	Mnz
甲	Mnz
酰	Enz
。	Sw

 	Sw

三	Sm
、	Sw
针	Bp
对	Ep
在	Sp
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
不	Sa
合	Bn
格	En
食	Bn
品	En
，	Sw
我	Br
局	Er
已	Sd
分	Bd
别	Ed
要	Bv
求	Ev
食	Bn
品	En
生	Bn
产	Mn
经	Mn
营	Mn
者	En
所	Bn
在	Mn
地	En
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
依	Bn
法	En
对	Sp
生	Bvn
产	Evn
经	Bvn
营	Evn
不	Sd
合	Bn
格	En
食	Bn
品	En
的	Suj
食	Bn
品	En
生	Bn
产	Mn
经	Mn
营	Mn
者	En
进	Bv
行	Ev
立	Bn
案	En
调	Bvn
查	Evn
，	Sw
并	Sc
已	Sd
将	Sd
不	Sd
合	Bn
格	En
食	Bn
品	En
情	Bn
况	Mn
通	Mn
报	En
了	Sul
标	Bn
称	En
生	Bvn
产	Evn
企	Bn
业	En
所	Bn
在	Mn
地	En
的	Suj
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
。	Sw

 	Sw

公	Bn
众	En
发	Bv
现	Ev
食	Bl
品	Ml
安	Ml
全	El
违	Bl
法	Ml
行	Ml
为	El
，	Sw
可	Bi
拨	Mi
打	Ei
1	Bm
2	Mm
3	Mm
3	Mm
1	Em
热	Bn
线	Mn
电	Mn
话	En
进	Bv
行	Ev
投	Bv
诉	Ev
或	Sc
举	Bv
报	Ev
。	Sw

 	Sw

附	Bn
件	En
：	Sw
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bmq
二	Mmq
季	Mmq
度	Emq
各	Br
类	Er
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
 	Sw

湖	Bns
北	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
 	Sw

2	Bm
0	Mm
1	Mm
7	Mm
.	Mm
7	Mm
.	Mm
2	Mm
8	Em
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bmq
二	Mmq
季	Mmq
度	Emq
各	Br
类	Er
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
 	Sw

序	Bn
号	En
 	Sw

食	Bn
品	En
大	Sa
类	Sq
 	Sw

抽	Bv
检	Ev
样	Bn
品	En
批	Bd
次	Ed
 	Sw

不	Sd
合	Bn
格	En
样	Bn
品	En
批	Bd
次	Ed
 	Sw

样	Bn
品	En
不	Bn
合	Mn
格	Mn
率	En
（	Sw
%	Sw
）	Sw
 	Sw

1	Sw
 	Sw

粮	Bn
食	En
加	Bn
工	Mn
品	En
 	Sw

2	Bm
5	Mm
2	Mm
1	Em
 	Sw

2	Bm
8	Em
 	Sw

1	Bm
.	Mm
1	Mm
1	Em
%	Sw
 	Sw

2	Sw
 	Sw

食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
 	Sw

5	Bm
8	Mm
9	Em
 	Sw

1	Bm
0	Em
 	Sw

1	Bm
.	Mm
7	Mm
0	Em
%	Sw
 	Sw

3	Sw
 	Sw

调	Bn
味	Mn
品	En
 	Sw

7	Bm
2	Mm
2	Em
 	Sw

8	Sw
 	Sw

1	Bm
.	Mm
1	Mm
1	Em
%	Sw
 	Sw

4	Sw
 	Sw

肉	Bn
制	Mn
品	En
 	Sw

6	Bm
2	Mm
7	Em
 	Sw

6	Sw
 	Sw

0	Bm
.	Mm
9	Mm
6	Em
%	Sw
 	Sw

5	Sw
 	Sw

乳	Bn
制	Mn
品	En
 	Sw

1	Bm
8	Mm
2	Em
 	Sw

3	Sw
 	Sw

1	Bm
.	Mm
6	Mm
5	Em
%	Sw
 	Sw

6	Sw
 	Sw

饮	Bn
料	En
 	Sw

9	Bm
8	Mm
1	Em
 	Sw

1	Bm
4	Em
 	Sw

1	Bm
.	Mm
4	Mm
3	Em
%	Sw
 	Sw

7	Sw
 	Sw

方	Ba
便	Ea
食	Bn
品	En
 	Sw

2	Bm
3	Mm
2	Em
 	Sw

7	Sw
 	Sw

3	Bm
.	Mm
0	Mm
2	Em
%	Sw
 	Sw

8	Sw
 	Sw

饼	Bn
干	En
 	Sw

1	Bm
9	Mm
3	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
5	Mm
2	Em
%	Sw
 	Sw

9	Sw
 	Sw

罐	Bn
头	En
 	Sw

1	Bm
3	Mm
8	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
7	Mm
2	Em
%	Sw
 	Sw

1	Bm
0	Em
 	Sw

冷	Bv
冻	Ev
饮	Bn
品	En
 	Sw

1	Bm
6	Em
 	Sw

4	Sw
 	Sw

2	Bm
5	Mm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
1	Em
 	Sw

速	Bn
冻	En
食	Bn
品	En
 	Sw

1	Bm
5	Mm
1	Em
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
2	Em
 	Sw

薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
 	Sw

1	Bm
9	Mm
8	Em
 	Sw

3	Sw
 	Sw

1	Bm
.	Mm
5	Mm
2	Em
%	Sw
 	Sw

1	Bm
3	Em
 	Sw

糖	Bn
果	En
制	Bn
品	En
 	Sw

2	Bm
5	Mm
8	Em
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
4	Em
 	Sw

茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
 	Sw

4	Bm
9	Mm
8	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
2	Mm
0	Em
%	Sw
 	Sw

1	Bm
5	Em
 	Sw

酒	Bn
类	En
 	Sw

1	Bm
4	Mm
0	Mm
5	Em
 	Sw

6	Bm
9	Em
 	Sw

4	Bm
.	Mm
9	Mm
1	Em
%	Sw
 	Sw

1	Bm
6	Em
 	Sw

蔬	Bn
菜	Mn
制	Mn
品	En
 	Sw

8	Bm
6	Mm
2	Em
 	Sw

5	Bm
5	Em
 	Sw

6	Bm
.	Mm
3	Mm
8	Em
%	Sw
 	Sw

1	Bm
7	Em
 	Sw

水	Bn
果	En
制	Bn
品	En
 	Sw

2	Bm
1	Mm
2	Em
 	Sw

8	Sw
 	Sw

3	Bm
.	Mm
7	Mm
7	Em
%	Sw
 	Sw

1	Bm
8	Em
 	Sw

炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
 	Sw

1	Bm
8	Mm
8	Em
 	Sw

5	Sw
 	Sw

2	Bm
.	Mm
6	Mm
6	Em
%	Sw
 	Sw

1	Bm
9	Em
 	Sw

蛋	Bn
制	Mn
品	En
 	Sw

3	Bm
6	Mm
8	Em
 	Sw

3	Sw
 	Sw

0	Bm
.	Mm
8	Mm
2	Em
%	Sw
 	Sw

2	Bm
0	Em
 	Sw

可	Bv
可	Ev
及	Sc
焙	Bv
烤	Ev
咖	Bn
啡	En
产	Bn
品	En
 	Sw

7	Bm
6	Em
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
1	Em
 	Sw

食	Bn
糖	En
 	Sw

1	Bm
9	Mm
6	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
5	Mm
1	Em
%	Sw
 	Sw

2	Bm
2	Em
 	Sw

水	Bn
产	En
制	Bn
品	En
 	Sw

1	Bm
4	Mm
4	Em
 	Sw

6	Sw
 	Sw

4	Bm
.	Mm
1	Mm
7	Em
%	Sw
 	Sw

2	Bm
3	Em
 	Sw

淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
 	Sw

1	Bm
9	Mm
2	Em
 	Sw

2	Sw
 	Sw

1	Bm
.	Mm
0	Mm
4	Em
%	Sw
 	Sw

2	Bm
4	Em
 	Sw

糕	Bn
点	En
 	Sw

1	Bm
1	Mm
1	Mm
9	Em
 	Sw

2	Bm
6	Em
 	Sw

2	Bm
.	Mm
3	Mm
2	Em
%	Sw
 	Sw

2	Bm
5	Em
 	Sw

豆	Bn
制	Mn
品	En
 	Sw

4	Bm
4	Mm
6	Em
 	Sw

6	Sw
 	Sw

1	Bm
.	Mm
3	Mm
5	Em
%	Sw
 	Sw

2	Bm
6	Em
 	Sw

蜂	Bn
产	Mn
品	En
 	Sw

2	Bm
1	Mm
9	Em
 	Sw

3	Sw
 	Sw

1	Bm
.	Mm
3	Mm
7	Em
%	Sw
 	Sw

2	Bm
7	Em
 	Sw

保	Bn
健	Mn
食	Mn
品	En
 	Sw

4	Bm
3	Em
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
8	Em
 	Sw

特	Ba
殊	Ea
膳	Bn
食	En
食	Bn
品	En
 	Sw

4	Bm
2	Em
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
9	Em
 	Sw

特	Ba
殊	Ea
医	Bn
学	En
用	Bn
途	En
配	Bn
方	En
食	Bn
品	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

3	Bm
0	Em
 	Sw

婴	Bn
幼	Mn
儿	En
配	Bn
方	En
食	Bn
品	En
 	Sw

8	Sw
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

3	Bm
1	Em
 	Sw

餐	Bn
饮	En
食	Bn
品	En
 	Sw

3	Bm
7	Mm
4	Mm
1	Em
 	Sw

1	Bm
5	Mm
5	Em
 	Sw

4	Bm
.	Mm
1	Mm
4	Em
%	Sw
 	Sw

3	Bm
2	Em
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
 	Sw

5	Bm
3	Em
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

3	Bm
3	Em
 	Sw

食	Bn
用	En
农	Bn
产	Mn
品	En
 	Sw

5	Bm
1	Mm
4	Mm
3	Em
 	Sw

1	Bm
3	Em
 	Sw

0	Bm
.	Mm
2	Mm
5	Em
%	Sw
 	Sw

3	Bm
4	Em
 	Sw

其	Br
他	Er
 	Sw

3	Sw
 	Sw

0	Sw
 	Sw

0	Bm
.	Mm
0	Mm
0	Em
%	Sw
 	Sw

合	Sv
 	Sw

计	Sn
 	Sw

合	Sv
 	Sw

计	Sn
 	Sw

2	Bm
1	Mm
7	Mm
6	Mm
6	Em
 	Sw

4	Bm
3	Mm
8	Em
 	Sw

2	Bm
.	Mm
0	Mm
1	Em
%	Sw


