海	Bs
 	Sw

菜	Bn
籽	Mn
油	En
 	Sw

Q	Beng
H	Meng
H	Meng
B	Meng
1	Meng
7	Eeng
-	Sw
0	Bm
2	Mm
2	Em
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
成	Bnr
辉	Enr
机	Sn
榨	Bn
油	En
坊	Sng
 	Sw

1	Bm
8	Mm
0	Mm
0	Mm
9	Mm
7	Mm
0	Mm
1	Mm
0	Mm
4	Mm
6	Em
 	Sw

酸	Bn
价	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
铅	Sn
、	Sw
总	Sb
砷	Sn
、	Sw
苯	Sn
并	Sc
（	Sw
α	Sw
）	Sw
芘	Sw
、	Sw
丁	Bnr
基	Enr
羟	Bnz
基	Enz
茴	Bn
香	En
醚	Sn
、	Sw
二	Sm
丁	Bnr
基	Enr
羟	Bnz
基	Enz
甲	Bnz
苯	Enz
、	Sw
特	Bnr
丁	Mnr
基	Enr
对	Bnz
苯	Mnz
二	Mnz
酚	Enz
、	Sw
没	Bl
食	Ml
子	Ml
酸	El
丙	Bnz
酯	Enz
、	Sw
丙	Bnz
二	Mnz
醛	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

3	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
3	Eeng
 	Sw

菜	Bn
籽	Mn
油	En
 	Sw

Q	Beng
H	Meng
H	Meng
B	Meng
1	Meng
7	Eeng
-	Sw
0	Bm
2	Mm
3	Em
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
市	Bn
场	En
志	Bnr
莲	Enr
小	Bn
吃	Mn
部	En
 	Sw

1	Bm
5	Mm
1	Mm
0	Mm
9	Mm
7	Mm
0	Mm
8	Mm
0	Mm
0	Mm
7	Em
 	Sw

酸	Bn
价	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
铅	Sn
、	Sw
总	Sb
砷	Sn
、	Sw
苯	Sn
并	Sc
（	Sw
α	Sw
）	Sw
芘	Sw
、	Sw
丁	Bnr
基	Enr
羟	Bnz
基	Enz
茴	Bn
香	En
醚	Sn
、	Sw
二	Sm
丁	Bnr
基	Enr
羟	Bnz
基	Enz
甲	Bnz
苯	Enz
、	Sw
特	Bnr
丁	Mnr
基	Enr
对	Bnz
苯	Mnz
二	Mnz
酚	Enz
、	Sw
没	Bl
食	Ml
子	Ml
酸	El
丙	Bnz
酯	Enz
、	Sw
丙	Bnz
二	Mnz
醛	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

4	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
4	Eeng
 	Sw

菠	Bn
菜	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
1	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

阿	Bnz
维	Mnz
菌	Mnz
素	Enz
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
克	Sm
百	Bn
威	En
、	Sw
对	Bnz
硫	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

5	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
5	Eeng
 	Sw

红	Bnr
辣	Mnr
椒	Enr
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
2	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

6	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
6	Eeng
 	Sw

陇	Sj
椒	Sng
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
3	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

7	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
7	Eeng
 	Sw

广	Bnz
茄	Enz
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
4	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

8	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
8	Eeng
 	Sw

茄	Bn
子	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
5	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

9	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
9	Eeng
 	Sw

大	Bn
白	Mn
菜	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
6	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

毒	Bn
死	En
蜱	Sg
、	Sw
克	Sm
百	Bn
威	En
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
甲	Bnz
基	Enz
异	Svg
柳	Sn
磷	Sn
、	Sw
阿	Bnz
维	Mnz
菌	Mnz
素	Enz
、	Sw
啶	Sw
虫	Sn
脒	Sg
、	Sw
氟	Bnz
虫	Enz
腈	Sn
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
、	Sw
甲	Bnz
基	Mnz
对	Mnz
硫	Mnz
磷	Enz
、	Sw
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
0	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
0	Eeng
 	Sw

毛	Bnr
芹	Enr
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
7	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

毒	Bn
死	En
蜱	Sg
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
阿	Bnz
维	Mnz
菌	Mnz
素	Enz
、	Sw
甲	Sn
拌	Sv
磷	Sn
、	Sw
对	Bnz
硫	Mnz
磷	Enz
、	Sw
敌	Bl
敌	Ml
畏	El
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
1	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
1	Eeng
 	Sw

鸡	Bn
腿	Mn
菇	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
8	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

荧	Bn
光	En
增	Bv
白	Ev
物	Bn
质	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
、	Sw
甲	Bnz
基	Mnz
对	Mnz
硫	Mnz
磷	Enz
、	Sw
杀	Sv
扑	Sv
磷	Sn
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
乐	Bn
果	En
、	Sw
氯	Sn
菊	Bn
酯	En
、	Sw
溴	Bnz
氰	Mnz
菊	Mnz
酯	Enz
、	Sw
六	Bm
六	Mm
六	Em
、	Sw
滴	Bi
滴	Mi
涕	Ei
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
2	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
2	Eeng
 	Sw

四	Bn
季	Mn
豆	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
6	Meng
9	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

阿	Bnz
维	Mnz
菌	Mnz
素	Enz
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
氯	Bnz
氰	Enz
菊	Bn
酯	En
和	Sc
高	Ba
效	Ea
氯	Bnz
氰	Enz
菊	Bn
酯	En
、	Sw
乐	Bn
果	En
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
3	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
3	Eeng
 	Sw

小	Sa
油	Bn
菜	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
0	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

阿	Bnz
维	Mnz
菌	Mnz
素	Enz
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
克	Sm
百	Bn
威	En
、	Sw
对	Bnz
硫	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
4	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
4	Eeng
 	Sw

金	Bn
针	Mn
菇	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
1	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

荧	Bn
光	En
增	Bv
白	Ev
物	Bn
质	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
、	Sw
甲	Bnz
基	Mnz
对	Mnz
硫	Mnz
磷	Enz
、	Sw
杀	Sv
扑	Sv
磷	Sn
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
乐	Bn
果	En
、	Sw
氯	Sn
菊	Bn
酯	En
、	Sw
溴	Bnz
氰	Mnz
菊	Mnz
酯	Enz
、	Sw
六	Bm
六	Mm
六	Em
、	Sw
滴	Bi
滴	Mi
涕	Ei
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
5	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
5	Eeng
 	Sw

上	Bns
海	Ens
青	Sns
（	Sw
小	Sa
青	Bn
菜	En
)	Sw
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
2	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

阿	Bnz
维	Mnz
菌	Mnz
素	Enz
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
克	Sm
百	Bn
威	En
、	Sw
对	Bnz
硫	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
6	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
6	Eeng
 	Sw

仔	Sb
虾	Sn
（	Sw
生	Svn
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
3	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

氯	Bn
霉	Mn
素	En
、	Sw
孔	Bnr
雀	Mnr
石	Enr
绿	Sa
、	Sw
3	Sw
-	Sw
氨	Bn
基	En
-	Sw
2	Sw
-	Sw
噁	Sy
唑	Sw
酮	Sg
(	Sw
A	Beng
O	Meng
Z	Eeng
)	Sw
、	Sw
5	Sw
-	Sw
吗	Bn
啉	En
甲	Bnz
基	Enz
-	Sw
3	Sw
-	Sw
氨	Bn
基	En
-	Sw
2	Sw
-	Sw
噁	Sy
唑	Sw
烷	Bn
基	En
酮	Sg
(	Sw
A	Beng
M	Meng
O	Meng
Z	Eeng
)	Sw
、	Sw
1	Sw
-	Sw
氨	Bn
基	En
-	Sw
乙	Bnz
内	Mnz
酰	Mnz
脲	Enz
(	Sw
A	Beng
H	Meng
D	Eeng
)	Sw
、	Sw
氨	Bnz
基	Mnz
脲	Enz
(	Sw
S	Beng
E	Meng
M	Eeng
)	Sw
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
7	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
7	Eeng
 	Sw

鸡	Sn
（	Sw
生	Svn
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
4	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

恩	Bnrt
诺	Enrt
沙	Bnr
星	Enr
、	Sw
氯	Bn
霉	Mn
素	En
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
8	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
8	Eeng
 	Sw

大	Bb
葱	Eb
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
5	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

腐	Ba
霉	Ea
利	Sn
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
多	Bn
菌	Mn
灵	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
氯	Bnz
氰	Enz
菊	Bn
酯	En
和	Sc
高	Ba
效	Ea
氯	Bnz
氰	Enz
菊	Bn
酯	En
、	Sw
甲	Sn
拌	Sv
磷	Sn
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

1	Bm
9	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
2	Meng
9	Eeng
 	Sw

蒜	Bn
苗	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
6	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

腐	Ba
霉	Ea
利	Sn
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
多	Bn
菌	Mn
灵	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
氯	Bnz
氰	Enz
菊	Bn
酯	En
和	Sc
高	Ba
效	Ea
氯	Bnz
氰	Enz
菊	Bn
酯	En
、	Sw
甲	Sn
拌	Sv
磷	Sn
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

2	Bm
0	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
3	Meng
0	Eeng
 	Sw

西	Bnr
红	Mnr
柿	Enr
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
7	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

氯	Bnz
氟	Mnz
氰	Enz
菊	Bn
酯	En
和	Sc
高	Ba
效	Ea
氯	Bnz
氟	Mnz
氰	Enz
菊	Bn
酯	En
、	Sw
苯	Bn
醚	En
甲	Bnz
环	Mnz
唑	Enz
、	Sw
甲	Sn
氨	Bn
基	En
阿	Bnz
维	Mnz
菌	Mnz
素	Enz
苯	Bnz
甲	Mnz
酸	Enz
盐	Sn
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
毒	Bn
死	En
蜱	Sg
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

2	Bm
1	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
3	Meng
1	Eeng
 	Sw

鸡	Bn
蛋	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
8	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
延	Bns
庆	Ens
蔬	Bn
菜	En
瓜	Bn
果	En
店	Sn
 	Sw

1	Bm
5	Mm
8	Mm
9	Mm
7	Mm
0	Mm
0	Mm
8	Mm
8	Mm
1	Mm
2	Em
 	Sw

铅	Sn
、	Sw
总	Sb
砷	Sn
、	Sw
总	Sb
汞	Sn
、	Sw
七	Bnz
氯	Enz
、	Sw
艾	Bnr
氏	Enr
剂	Sng
、	Sw
狄	Bnr
氏	Enr
剂	Sng
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

2	Bm
2	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
3	Meng
2	Eeng
 	Sw

红	Bn
菜	Mn
椒	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
7	Meng
9	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
占	Sv
花	Sv
蔬	Bn
菜	En
瓜	Bn
果	En
批	Bn
发	Mn
部	En
 	Sw

1	Bm
3	Mm
9	Mm
9	Mm
7	Mm
4	Mm
0	Mm
1	Mm
1	Mm
9	Mm
2	Em
 	Sw

甲	Bnz
胺	Mnz
磷	Enz
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

2	Bm
3	Em
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
3	Meng
3	Eeng
 	Sw

茄	Bn
子	En
 	Sw

N	Beng
C	Meng
P	Meng
6	Meng
3	Meng
2	Meng
2	Meng
0	Meng
0	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
3	Meng
8	Meng
0	Eeng
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
占	Sv
花	Sv
蔬	Bn
菜	En
瓜	Bn
果	En
批	Bn
发	Mn
部	En
 	Sw

1	Bm
3	Mm
9	Mm
9	Mm
7	Mm
4	Mm
0	Mm
1	Mm
1	Mm
9	Mm
2	Em
 	Sw

克	Sm
百	Bn
威	En
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
甲	Bnz
