贵	Bns
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
饮	Bn
料	En
 	Sw

2	Bm
7	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
 	Sw

2	Bm
8	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
 	Sw

贵	Bns
州	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent


