最	Bf
化	Ev
指	Bn
标	En
、	Sw
食	Bn
品	En
污	Bn
染	Mn
物	En
、	Sw
重	Bn
金	Mn
属	En
等	Su
。	Sw

位	Bv
于	Ev
南	Bns
山	Mns
区	Ens
的	Suj
华	Bns
威	Ens
新	Sa
桃	Bns
园	Ens
酒	Bn
店	En
、	Sw
凯	Bnrt
宾	Mnrt
斯	Mnrt
基	Enrt
酒	Bn
店	En
、	Sw
仰	Bnr
天	Enr
福	Sns
酒	Bn
店	En
、	Sw
岁	Sm
宝	Bnr
龙	Mnr
珠	Enr
店	Sn
、	Sw
天	Bnz
虹	Enz
前	Sf
海	Bn
店	En
、	Sw
沃	Bnr
尔	Mnr
玛	Enr
南	Sns
新	Bns
店	Ens
、	Sw
麦	Bnr
德	Mnr
龙	Enr
等	Su
1	Bm
6	Em
家	Sm
单	Bn
位	En
均	Sd
在	Sp
抽	Bv
检	Ev
名	Bn
单	En
中	Sf
，	Sw
抽	Bv
检	Ev
的	Suj
月	Bn
饼	En
类	Bn
型	En
覆	Bv
盖	Ev
了	Sul
流	Bn
心	En
、	Sw
蛋	Bn
黄	En
、	Sw
莲	Bn
蓉	En
等	Su
，	Sw
2	Bm
9	Em
批	Bd
次	Ed
月	Bn
饼	En
全	Bn
部	En
合	Bn
格	En
。	Sw

 	Sw

此	Br
次	Er
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
的	Suj
月	Bn
饼	En
是	Sv
龙	Bn
岗	Mn
区	En
平	Sn
湖	Bns
东	Ens
悦	Svg
紫	Bnr
来	Mnr
轩	Enr
面	Bn
包	Mn
店	En
的	Suj
冰	Bn
皮	En
月	Bn
饼	En
，	Sw
不	Sd
合	Bn
格	En
的	Suj
原	Bn
因	En
是	Sv
大	Bn
肠	Mn
菌	Mn
群	En
超	Bv
标	Ev
，	Sw
产	Sn
自	Sp
东	Bns
莞	Mns
市	Ens
东	Bnr
悦	Enr
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
。	Sw

 	Sw

大	Bn
肠	Mn
菌	Mn
群	En
是	Sv
反	Bv
映	Ev
食	Bn
品	Mn
卫	Mn
生	En
质	Bn
量	En
的	Suj
指	Bn
标	En
之	Br
一	Er
，	Sw
超	Bv
标	Ev
则	Sd
说	Bv
明	Ev
食	Bn
品	En
存	Bv
在	Ev
卫	Ban
生	Ean
质	Bn
量	En
缺	Bv
陷	Ev
，	Sw
提	Bv
示	Ev
该	Sr
食	Bn
品	En
中	Sf
存	Bv
在	Ev
着	Suz
肠	Bn
道	En
致	Bn
病	Mn
菌	En
污	Bvn
染	Evn
的	Suj
可	Bv
能	Ev
，	Sw
对	Sp
人	Bn
体	En
健	Ba
康	Ea
具	Bv
有	Ev
潜	Bt
在	Et
的	Suj
危	Bn
险	Mn
性	En
。	Sw

 	Sw

而	Sc
冰	Bn
皮	En
月	Bn
饼	En
对	Sp
储	Bn
藏	En
运	Bvn
输	Evn
温	Bn
度	En
有	Sv
一	Bd
定	Ed
要	Bv
求	Ev
，	Sw
在	Sp
运	Bvn
输	Evn
及	Sc
销	Bvn
售	Evn
储	Bn
藏	En
时	Sng
未	Sd
严	Bad
格	Ead
按	Bp
照	Ep
冷	Bn
藏	En
温	Bn
度	En
要	Bv
求	Ev
予	Bv
以	Ev
保	Bv
存	Ev
，	Sw
是	Sv
可	Bv
能	Ev
导	Bv
致	Ev
大	Bn
肠	Mn
菌	Mn
群	En
超	Bv
标	Ev
的	Suj
主	Bb
要	Eb
原	Bn
因	En
。	Sw

另	Bc
外	Ec
，	Sw
月	Bn
饼	En
加	Bvn
工	Evn
制	Bvn
作	Evn
的	Suj
环	Bn
境	En
卫	Bn
生	Mn
状	Mn
况	En
差	Sa
，	Sw
加	Bvn
工	Evn
制	Bn
作	Mn
人	Mn
员	En
不	Sd
注	Bv
意	Ev
个	Bn
人	Mn
卫	Mn
生	En
，	Sw
未	Sd
严	Bad
格	Ead
按	Bp
照	Ep
卫	Ban
生	Ean
操	Bv
作	Ev
规	Bn
范	En
的	Suj
要	Bv
求	Ev
进	Bv
行	Ev
制	Bvn
作	Evn
；	Sw

加	Bvn
工	Evn
制	Bn
作	Mn
人	Mn
员	En
未	Sd
严	Bad
格	Ead
按	Bp
照	Ep
制	Bvn
作	Evn
要	Bv
求	Ev
进	Bv
行	Ev
操	Bv
作	Ev
，	Sw
如	Sv
消	Bvn
毒	Evn
不	Ba
严	Ea
，	Sw
设	Bvn
备	Evn
清	Bv
洗	Ev
不	Sd
干	Ba
净	Ea
或	Sc
存	Bv
在	Ev
死	Bn
角	En
，	Sw
也	Sd
能	Sv
造	Bv
成	Ev
微	Bl
生	Ml
物	El
的	Suj
繁	Bv
殖	Ev
。	Sw


