湖	Bns
剂	En
（	Sw
柠	Bn
檬	Mn
黄	En
、	Sw
二	Bnz
氧	Mnz
化	Mnz
钛	Enz
）	Sw
以	Bc
及	Ec
含	Sv
铝	Sn
添	Bn
加	Mn
剂	En
的	Suj
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
。	Sw

 	Sw

（	Sw
二	Sm
）	Sw
品	Bn
质	En
指	Bn
标	En
不	Sd
合	Bn
格	En
 	Sw

食	Bn
品	En
中	Sf
品	Bn
质	En
指	Bn
标	En
不	Sd
合	Bn
格	En
问	Bn
题	En
有	Sv
6	Bm
9	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
2	Bm
1	Em
%	Sw
。	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
主	Bb
要	Eb
是	Sv
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
水	Bn
分	En
、	Sw
酒	Bn
精	Mn
度	En
、	Sw
酸	Bn
价	En
、	Sw
总	Bn
酯	En
、	Sw
己	Bn
酸	En
乙	Bnz
酯	Enz
、	Sw
蛋	Bn
白	Mn
质	En
、	Sw
氨	Bnz
基	Mnz
酸	Enz
态	Bn
氮	En
、	Sw
总	Bn
酸	En
、	Sw
固	Bl
形	Ml
物	El
等	Su
。	Sw

 	Sw

（	Sw
三	Sm
）	Sw
其	Br
他	Er
微	Bl
生	Ml
物	El
污	Bvn
染	Evn
 	Sw

食	Bn
品	En
中	Sf
其	Br
他	Er
微	Bl
生	Ml
物	El
污	Bvn
染	Evn
问	Bn
题	En
有	Sv
5	Bm
3	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
1	Bm
7	Em
%	Sw
。	Sw

主	Bb
要	Eb
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
菌	Bn
落	En
总	Bn
数	En
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
、	Sw
霉	Bn
菌	En
计	Bn
数	En
。	Sw

 	Sw

（	Sw
四	Sm
）	Sw
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
 	Sw

食	Bn
品	En
中	Sf
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
问	Bn
题	En
有	Sv
2	Bm
3	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
7	Sm
%	Sw
。	Sw

主	Bb
要	Eb
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
甲	Bnz
醇	Enz
、	Sw
氰	Bn
化	Mn
物	En
、	Sw
邻	Bnz
苯	Mnz
二	Mnz
甲	Mnz
酸	Enz
二	Sm
丁	Bnz
酯	Enz
、	Sw
苯	Sn
并	Sc
（	Sw
a	Sw
）	Sw
芘	Sw
。	Sw

 	Sw

（	Sw
五	Sm
）	Sw
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
和	Sc
检	Bv
出	Ev
禁	Bv
用	Ev
农	Bn
药	En
 	Sw

食	Bn
品	En
中	Sf
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
问	Bn
题	En
有	Sv
1	Bm
8	Em
批	Bd
次	Ed
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
农	Bn
药	En
问	Bn
题	En
有	Sv
1	Bm
2	Em
批	Bd
次	Ed
，	Sw
共	Sd
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
1	Bm
0	Em
%	Sw
。	Sw

农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
为	Sp
毒	Bn
死	En
蜱	Sg
、	Sw
腐	Ba
霉	Ea
利	Sn
、	Sw
甲	Bnz
萘	Mnz
威	Enz
、	Sw
氯	Bnz
氟	Mnz
氰	Enz
菊	Bn
酯	En
、	Sw
氰	Bnz
戊	Mnz
菊	Mnz
酯	Enz
、	Sw
敌	Bl
敌	Ml
畏	El
、	Sw
丙	Smg
溴	Sng
磷	Sn
，	Sw
检	Bv
出	Ev
的	Suj
禁	Bv
用	Ev
农	Bn
药	En
为	Sp
克	Sm
百	Bn
威	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
、	Sw
水	Bnz
胺	Mnz
硫	Mnz
磷	Enz
。	Sw

 	Sw

（	Sw
六	Sm
）	Sw
兽	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
和	Sc
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
 	Sw

食	Bn
品	En
中	Sf
兽	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
问	Bn
题	En
有	Sv
1	Sm
批	Bd
次	Ed
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
问	Bn
题	En
有	Sv
3	Sm
批	Bd
次	Ed
。	Sw

兽	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
为	Sp
恩	Bnr
诺	Enr
沙	Bnr
星	Enr
+	Sw
环	Bnz
丙	Mnz
沙	Mnz
星	Enz
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
为	Sp
氯	Bn
霉	Mn
素	En
、	Sw
呋	Bnz
喃	Mnz
唑	Mnz
酮	Enz
。	Sw

 	Sw

（	Sw
七	Sm
）	Sw
金	Bn
属	En
污	Bn
染	Mn
物	En
超	Bv
标	Ev
 	Sw

食	Bn
品	En
中	Sf
金	Bn
属	En
污	Bn
染	Mn
物	En
超	Bv
标	Ev
问	Bn
题	En
有	Sv
1	Bm
0	Em
批	Bd
次	Ed
，	Sw
金	Bn
属	En
污	Bn
染	Mn
物	En
超	Bv
标	Ev
主	Bb
要	Eb
为	Sp
铅	Sn
、	Sw
稀	Bn
土	En
等	Su
。	Sw

 	Sw

（	Sw
八	Sm
）	Sw
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
 	Sw

食	Bn
品	En
中	Sf
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
问	Bn
题	En
有	Sv
1	Bm
1	Em
批	Bd
次	Ed
，	Sw
检	Bv
出	Ev
的	Suj
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
主	Bb
要	Eb
为	Sp
铜	Bn
绿	En
假	Sn
单	Bn
胞	Mn
菌	En
。	Sw

 	Sw

三	Sm
、	Sw
针	Bp
对	Ep
在	Sp
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
不	Sa
合	Bn
格	En
食	Bn
品	En
，	Sw
我	Br
局	Er
已	Sd
分	Bd
别	Ed
要	Bv
求	Ev
食	Bn
品	En
生	Bn
产	Mn
经	Mn
营	Mn
者	En
所	Bn
在	Mn
地	En
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
依	Bn
法	En
对	Sp
生	Bvn
产	Evn
经	Bvn
营	Evn
不	Sd
合	Bn
格	En
食	Bn
品	En
的	Suj
食	Bn
品	En
生	Bn
产	Mn
经	Mn
营	Mn
者	En
进	Bv
行	Ev
立	Bn
案	En
调	Bvn
查	Evn
，	Sw
并	Sc
已	Sd
将	Sd
不	Sd
合	Bn
格	En
食	Bn
品	En
情	Bn
况	Mn
通	Mn
报	En
了	Sul
标	Bn
称	En
生	Bvn
产	Evn
企	Bn
业	En
所	Bn
在	Mn
地	En
的	Suj
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
。	Sw

 	Sw

公	Bn
众	En
发	Bv
现	Ev
食	Bl
品	Ml
安	Ml
全	El
违	Bl
法	Ml
行	Ml
为	El
，	Sw
可	Bi
拨	Mi
打	Ei
1	Bm
2	Mm
3	Mm
3	Mm
1	Em
热	Bn
线	Mn
电	Mn
话	En
进	Bv
行	Ev
投	Bv
诉	Ev
或	Sc
举	Bv
报	Ev
。	Sw

 	Sw

附	Bn
件	En
：	Sw
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bl
一	Ml
季	Ml
度	El
各	Br
类	Er
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
 	Sw

湖	Bns
北	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
 	Sw

2	Bm
0	Mm
1	Mm
7	Mm
.	Mm
7	Mm
.	Mm
2	Mm
7	Em


