新	Bns
总	Bn
数	En
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
、	Sw
酵	Bn
母	En
、	Sw
铜	Bn
绿	En
假	Sn
单	Bn
胞	Mn
菌	En
等	Su
项	Bn
目	En
不	Sd
合	Bn
格	En
。	Sw

 	Sw

公	Bv
布	Ev
的	Suj
具	Ba
体	Ea
抽	Bv
检	Ev
信	Bn
息	En
可	Sv
在	Sp
国	Bn
家	En
食	Bn
品	Mn
药	Mn
品	En
监	Bn
督	Mn
管	Mn
理	En
总	Bn
局	En
政	Bn
府	En
网	Bn
站	En
“	Sw
食	Bn
品	En
抽	Bv
检	Ev
信	Bn
息	En
”	Sw
专	Bn
栏	En
（	Sw
网	Bn
址	En
：	Sw
h	Beng
t	Meng
t	Meng
p	Eeng
:	Sw
/	Sw
/	Sw
w	Beng
w	Meng
w	Eeng
.	Sm
c	Beng
f	Meng
d	Meng
a	Eeng
.	Sm
g	Beng
o	Meng
v	Eeng
.	Sm
c	Beng
n	Eeng
/	Sw
W	Beng
S	Meng
0	Meng
1	Eeng
/	Sw
C	Beng
L	Meng
1	Meng
6	Meng
8	Meng
9	Eeng
/	Sw
）	Sw
、	Sw
自	Bn
治	Mn
区	En
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
网	Bn
站	En
“	Sw
抽	Bv
检	Ev
信	Bn
息	En
”	Sw
专	Bn
栏	En
（	Sw
网	Bn
址	En
：	Sw
h	Beng
t	Meng
t	Meng
p	Eeng
:	Sw
/	Sw
/	Sw
w	Beng
w	Meng
w	Eeng
.	Sm
x	Beng
j	Meng
d	Meng
a	Eeng
.	Sm
 	Sw

g	Beng
o	Meng
v	Eeng
.	Sm
c	Beng
n	Eeng
/	Sw
）	Sw
查	Bv
询	Ev
。	Sw

 	Sw

特	Bd
此	Ed
通	Bn
告	En
。	Sw

 	Sw

新	Bns
疆	Mns
维	Mns
吾	Mns
尔	Mns
自	Mns
治	Mns
区	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
7	Sm
月	Sm
1	Bm
1	Em
日	Sm


