湖	Bns
.	Mm
5	Mm
8	Em
%	Sw
）	Sw
、	Sw
冷	Bv
冻	Ev
饮	Bn
品	En
（	Sw
7	Bm
.	Mm
6	Mm
9	Em
%	Sw
）	Sw
、	Sw
方	Ba
便	Ea
食	Bn
品	En
（	Sw
6	Bm
.	Mm
4	Mm
9	Em
%	Sw
）	Sw
、	Sw
水	Bn
果	En
制	Bn
品	En
（	Sw
6	Bm
.	Mm
0	Mm
6	Em
%	Sw
）	Sw
、	Sw
餐	Bn
饮	En
食	Bn
品	En
（	Sw
4	Bm
.	Mm
5	Mm
8	Em
%	Sw
）	Sw
、	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
（	Sw
3	Bm
.	Mm
3	Mm
6	Em
%	Sw
）	Sw
、	Sw
酒	Bn
类	En
（	Sw
3	Bm
.	Mm
3	Mm
6	Em
%	Sw
）	Sw
等	Su
。	Sw

发	Bv
现	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
有	Sv
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
（	Sw
1	Bm
1	Mm
3	Em
批	Bd
次	Ed
）	Sw
，	Sw
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
（	Sw
4	Bm
4	Em
批	Bd
次	Ed
）	Sw
，	Sw
其	Br
他	Er
微	Bl
生	Ml
物	El
不	Sd
合	Bn
格	En
（	Sw
3	Bm
5	Em
批	Bd
次	Ed
）	Sw
，	Sw
质	Bn
量	Mn
指	Mn
标	En
不	Sd
合	Bn
格	En
（	Sw
9	Sw
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
（	Sw
9	Sw
批	Bd
次	Ed
）	Sw
，	Sw
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
（	Sw
3	Sw
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
（	Sw
2	Sw
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
非	Sh
食	Bn
用	En
性	Sn
物	Bn
质	En
（	Sw
1	Sw
批	Bd
次	Ed
）	Sw
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
食	Bn
品	En
中	Sf
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
是	Sv
发	Bv
现	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
5	Bm
2	Mm
.	Mm
3	Em
%	Sw
。	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
在	Sp
食	Bn
品	En
中	Sf
有	Sv
防	Bv
止	Ev
变	Bn
质	En
、	Sw
改	Bv
善	Ev
感	Bn
官	En
、	Sw
保	Bv
持	Ev
营	Bn
养	En
、	Sw
方	Ba
便	Ea
加	Bvn
工	Evn
等	Su
作	Bv
用	Ev
，	Sw
超	Bv
过	Ev
标	Bn
准	En
范	Bn
围	En
和	Sc
使	Bn
用	Mn
量	En
使	Bv
用	Ev
会	Sv
对	Sp
人	Bn
体	En
产	Bn
生	En
危	Bn
害	En
。	Sw

本	Bt
月	Et
抽	Bv
检	Ev
食	Bn
品	En
中	Sf
问	Bn
题	En
较	Bd
为	Ed
突	Bv
出	Ev
的	Suj
是	Sv
防	Bnz
腐	Mnz
剂	Enz
（	Sw
苯	Bnz
甲	Mnz
酸	Enz
、	Sw
脱	Bv
氢	Ev
乙	Bn
酸	En
、	Sw
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
、	Sw
亚	Bnz
硝	Mnz
酸	Mnz
盐	Enz
）	Sw
、	Sw
甜	Bn
味	Mn
剂	En
（	Sw
甜	Ba
蜜	Ea
素	Sn
、	Sw
安	Bnr
赛	Mnr
蜜	Enr
）	Sw
和	Sc
含	Sv
铝	Sn
膨	Bn
松	Mn
剂	En
的	Suj
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
检	Bv
出	Ev
的	Suj
其	Br
他	Er
污	Bn
染	Mn
物	En
不	Sd
合	Bn
格	En
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
2	Bm
0	Mm
.	Mm
4	Em
%	Sw
，	Sw
检	Bv
出	Ev
超	Bv
标	Ev
的	Suj
污	Bn
染	Mn
物	En
主	Bb
要	Eb
是	Sv
苯	Sn
并	Sc
（	Sw
a	Sw
）	Sw
芘	Sw
、	Sw
氰	Bn
化	Mn
物	En
、	Sw
阴	Bn
离	Mn
子	En
合	Bn
成	Mn
洗	Mn
涤	Mn
剂	En
。	Sw

阴	Bn
离	Mn
子	En
合	Bn
成	Mn
洗	Mn
涤	Mn
剂	En
超	Bv
标	Ev
主	Bb
要	Eb
是	Sv
餐	Bn
饮	Mn
具	En
用	Sp
洗	Bnz
涤	Mnz
剂	Enz
进	Bv
行	Ev
清	Bv
洗	Ev
后	Sf
漂	Bv
洗	Ev
不	Sd
完	Bad
全	Ead
导	Bv
致	Ev
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
检	Bv
出	Ev
的	Suj
禁	Bv
用	Ev
兽	Bn
药	En
为	Sp
主	Bb
要	Eb
为	Sp
氟	Bnz
苯	Mnz
尼	Enz
考	Sv
、	Sw
氯	Bn
霉	Mn
素	En
、	Sw
氰	Bnz
戊	Mnz
菊	Mnz
酯	Enz
、	Sw
沙	Bnz
丁	Mnz
胺	Mnz
醇	Enz
。	Sw

氟	Bnz
苯	Mnz
尼	Enz
考	Bv
是	Ev
一	Bm
种	Em
农	Bnt
业	Mnt
部	Ent
批	Bv
准	Ev
使	Bv
用	Ev
的	Suj
动	Bn
物	En
专	Bn
用	En
抗	Bnz
菌	Mnz
药	Enz
，	Sw
按	Sp
质	Bn
量	Mn
标	Mn
准	En
、	Sw
产	Bn
品	En
使	Bv
用	Ev
说	Bn
明	Mn
书	En
规	Bn
定	En
，	Sw
用	Bv
于	Ev
敏	Ba
感	Ea
细	Bn
菌	En
所	Bc
致	Ec
的	Suj
猪	Sn
、	Sw
鸡	Sn
、	Sw
鱼	Sn
的	Suj
细	Bn
菌	Mn
性	En
疾	Bn
病	En
，	Sw
但	Sc
产	Bn
蛋	En
家	Bn
禽	En
禁	Bv
止	Ev
使	Bv
用	Ev
。	Sw

鸡	Bn
蛋	En
中	Sf
检	Bv
出	Ev
氟	Bnz
苯	Mnz
尼	Enz
考	Sv
可	Bv
能	Ev
是	Sv
企	Bn
业	En
违	Bvn
规	Evn
使	Bv
用	Ev
了	Sul
兽	Bn
药	En
氟	Bnz
苯	Mnz
尼	Enz
考	Sv
或	Sc
饲	Bn
料	En
带	Bv
入	Ev
，	Sw
导	Bv
致	Ev
残	Bv
留	Ev
积	Bv
累	Ev
在	Sp
鸡	Bn
蛋	En
中	Sf
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
的	Suj
其	Br
他	Er
微	Bl
生	Ml
物	El
主	Bb
要	Eb
是	Sv
菌	Bn
落	En
总	Bn
数	En
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
、	Sw
霉	Bn
菌	En
超	Bv
标	Ev
，	Sw
检	Bv
出	Ev
的	Suj
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
是	Sv
铜	Bn
绿	En
假	Sn
单	Bn
胞	Mn
菌	En
；	Sw

质	Bn
量	Mn
指	Mn
标	En
不	Sd
合	Bn
格	En
主	Bb
要	Eb
是	Sv
总	Bn
酸	En
、	Sw
酒	Bn
精	Mn
度	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
耗	Bn
氧	Mn
量	En
、	Sw
电	Bn
导	Mn
率	En
等	Su
；	Sw

检	Bv
出	Ev
的	Suj
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
为	Sp
氧	Sn
乐	Bn
果	En
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
克	Sm
百	Bn
威	En
；	Sw

检	Bv
出	Ev
的	Suj
非	Sh
食	Bn
用	En
物	Bn
质	En
为	Sp
过	Bnz
氧	Mnz
化	Mnz
苯	Mnz
甲	Mnz
酰	Enz
。	Sw

过	Bnz
氧	Mnz
化	Mnz
苯	Mnz
甲	Mnz
酰	Enz
曾	Sd
作	Bv
为	Ev
一	Bm
种	Em
面	Bn
粉	En
增	Bn
白	Mn
剂	En
，	Sw
但	Sc
我	Br
国	Er
已	Bd
经	Ed
禁	Bv
止	Ev
该	Sr
物	Bn
质	En
作	Bv
为	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
使	Bv
用	Ev
。	Sw

《	Sw
食	Bn
品	En
中	Sf
可	Bv
能	Ev
违	Bvn
法	Evn
添	Bv
加	Ev
的	Suj
非	Sh
食	Bn
用	En
物	Bn
质	En
和	Sc
易	Sa
滥	Bv
用	Ev
的	Suj
食	Bn
品	En
添	Bn
加	Mn
剂	En
名	Bn
单	En
》	Sw
（	Sw
第	Sm
 	Sw

1	Sw
-	Sw
5	Sw
 	Sw

批	Sq
汇	Bn
总	En
）	Sw
中	Sf
规	Bn
定	En
过	Bnz
氧	Mnz
化	Mnz
苯	Mnz
甲	Mnz
酰	Enz
为	Sp
非	Sh
食	Bn
用	En
物	Bn
质	En
。	Sw

 	Sw

针	Bp
对	Ep
以	Bf
上	Ef
监	Bvn
督	Evn
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
问	Bn
题	En
，	Sw
省	Bn
局	En
责	Bv
成	Ev
有	Bvn
关	Evn
市	Bn
州	Mn
局	En
及	Bc
时	Ec
采	Bnr
取	Mnr
措	Mnr
施	Enr
督	Bv
促	Ev
生	Bn
产	Mn
经	Mn
营	Mn
者	En
立	Bd
即	Ed
封	Bv
存	Ev
、	Sw
下	Bv
架	Ev
和	Sc
召	Bv
回	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
，	Sw
及	Bc
时	Ec
查	Bv
找	Ev
问	Bn
题	En
原	Bn
因	En
、	Sw
排	Bvn
查	Evn
风	Bn
险	En
因	Bn
素	En
，	Sw
制	Bv
定	Ev
整	Bn
改	Mn
措	Mn
施	En
，	Sw
并	Sc
对	Sp
生	Bvn
产	Evn
经	Bvn
营	Evn
不	Sd
合	Bn
格	En
食	Bn
品	En
的	Suj
企	Bn
业	En
进	Bv
行	Ev
立	Bn
案	Mn
查	Mn
处	En
。	Sw

各	Br
级	Er
食	Bn
品	Mn
药	Mn
品	En
监	Bn
督	Mn
管	Mn
理	En
部	Bn
门	En
也	Sd
按	Sp
要	Bv
求	Ev
及	Bc
时	Ec
对	Sp
抽	Bv
检	Ev
信	Bn
息	En
进	Bv
行	Ev
了	Sul
公	Bv
示	Ev
。	Sw

各	Sr
大	Sd
类	Bn
食	Mn
品	En
的	Suj
抽	Bv
检	Ev
批	Bd
次	Ed
、	Sw
不	Sd
合	Bn
格	En
批	Bd
次	Ed
及	Sc
样	Bn
品	En
不	Bn
合	Mn
格	Mn
率	En
的	Suj
汇	Bn
总	En
情	Bn
况	En
见	Sv
附	Bn
表	En
。	Sw


