吉	Bns
抽	Bv
检	Ev
发	Bv
现	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
：	Sw
有	Sv
1	Bm
5	Mm
1	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
其	Br
他	Er
微	Bl
生	Ml
物	El
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
5	Bm
8	Mm
.	Mm
9	Mm
8	Em
%	Sw
；	Sw

有	Sv
5	Bm
1	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
1	Bm
9	Mm
.	Mm
9	Mm
2	Em
%	Sw
；	Sw

有	Sv
2	Bm
3	Em
批	Bd
次	Ed
检	Bv
出	Ev
质	Bn
量	Mn
指	Mn
标	En
不	Sd
合	Bn
格	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
8	Bm
.	Mm
9	Mm
8	Em
%	Sw
。	Sw

此	Bc
外	Ec
，	Sw
有	Sv
1	Bm
8	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
重	Bn
金	Mn
属	En
等	Su
元	Bn
素	En
污	Bn
染	Mn
物	En
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
7	Bm
.	Mm
0	Mm
3	Em
%	Sw
；	Sw

有	Sv
1	Bm
1	Em
批	Bd
次	Ed
样	Bn
品	En
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
，	Sw
占	Sv
不	Sd
合	Bn
格	En
样	Bn
品	En
总	Bn
数	En
的	Suj
4	Bm
.	Mm
3	Mm
0	Em
%	Sw
。	Sw

 	Sw

针	Bp
对	Ep
以	Bf
上	Ef
 	Sw

监	Bvn
督	Evn
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
问	Bn
题	En
，	Sw
各	Br
级	Er
食	Bl
品	Ml
安	Ml
全	El
监	Bn
管	Mn
部	Mn
门	En
依	Bn
法	En
依	Sv
规	Sn
进	Bv
行	Ev
了	Sul
查	Bv
处	Ev
，	Sw
同	Bc
时	Ec
督	Bv
促	Ev
生	Bn
产	Mn
经	Mn
营	Mn
者	En
采	Bv
取	Ev
了	Sul
下	Bv
架	Ev
封	Bv
存	Ev
、	Sw
召	Bv
回	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
、	Sw
查	Bv
找	Ev
问	Bn
题	En
原	Bn
因	En
、	Sw
及	Bc
时	Ec
整	Bv
改	Ev
等	Su
措	Bn
施	En
，	Sw
并	Sc
在	Sp
日	Bd
常	Ed
监	Bvn
管	Evn
工	Bvn
作	Evn
中	Sf
，	Sw
进	Bd
一	Md
步	Ed
加	Bv
大	Ev
了	Sul
跟	Bv
踪	Ev
抽	Bv
检	Ev
力	Bn
度	En
，	Sw
有	Ba
效	Ea
防	Bvn
控	Evn
了	Sul
食	Bl
品	Ml
安	Ml
全	El
风	Bn
险	En
。	Sw

 	Sw

特	Bd
此	Ed
通	Bn
告	En
。	Sw

 	Sw

附	Bn
件	En
：	Sw
各	Br
类	Er
食	Bn
品	En
抽	Bv
检	Ev
结	Bn
果	En
汇	Bn
总	Mn
表	En
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
7	Sm
月	Sm
1	Bm
2	Em
日	Sm


