湖	Bns
、	Sw
食	Bn
品	En
添	Bn
加	Mn
剂	En
、	Sw
食	Bn
用	En
农	Bn
产	Mn
品	En
。	Sw

不	Bn
合	Mn
格	Mn
率	En
较	Ba
高	Ea
的	Suj
食	Bn
品	En
类	Bn
别	En
有	Sv
餐	Bn
饮	En
食	Bn
品	En
（	Sw
1	Bm
1	Mm
.	Mm
9	Em
%	Sw
）	Sw
、	Sw
食	Bn
品	En
添	Bn
加	Mn
剂	En
（	Sw
1	Bm
1	Mm
.	Mm
1	Em
%	Sw
）	Sw
、	Sw
蔬	Bn
菜	Mn
制	Mn
品	En
（	Sw
1	Bm
0	Mm
.	Mm
4	Em
%	Sw
）	Sw
、	Sw
方	Ba
便	Ea
食	Bn
品	En
（	Sw
8	Bm
.	Mm
4	Mm
7	Em
%	Sw
）	Sw
、	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
（	Sw
7	Bm
.	Mm
9	Mm
8	Em
%	Sw
）	Sw
、	Sw
酒	Bn
类	En
（	Sw
6	Bm
.	Mm
9	Mm
7	Em
%	Sw
）	Sw
、	Sw
饮	Bn
料	En
（	Sw
6	Bm
.	Mm
5	Mm
0	Em
%	Sw
）	Sw
、	Sw
冷	Bv
冻	Ev
饮	Bn
品	En
（	Sw
6	Bm
.	Mm
2	Mm
5	Em
%	Sw
）	Sw
等	Su
。	Sw

发	Bv
现	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
有	Sv
其	Br
他	Er
微	Bl
生	Ml
物	El
不	Sd
合	Bn
格	En
（	Sw
2	Bm
1	Mm
7	Em
批	Bd
次	Ed
）	Sw
，	Sw
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
（	Sw
1	Bm
5	Mm
6	Em
批	Bd
次	Ed
）	Sw
，	Sw
质	Bn
量	Mn
指	Mn
标	En
不	Sd
合	Bn
格	En
（	Sw
5	Bm
0	Em
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
（	Sw
2	Bm
5	Em
批	Bd
次	Ed
）	Sw
，	Sw
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
（	Sw
2	Bm
4	Em
批	Bd
次	Ed
）	Sw
，	Sw
农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
（	Sw
1	Bm
8	Em
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
农	Bn
药	En
（	Sw
7	Sw
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
禁	Bv
用	Ev
兽	Bn
药	En
（	Sw
9	Sw
批	Bd
次	Ed
）	Sw
，	Sw
重	Bn
金	Mn
属	En
等	Su
元	Bn
素	En
污	Bn
染	Mn
物	En
超	Bv
标	Ev
（	Sw
5	Sw
批	Bd
次	Ed
）	Sw
，	Sw
生	Bn
物	En
毒	Bn
素	En
超	Bv
标	Ev
（	Sw
3	Sw
批	Bd
次	Ed
）	Sw
，	Sw
检	Bv
出	Ev
非	Sh
食	Bn
用	En
物	Bn
质	En
（	Sw
2	Sw
批	Bd
次	Ed
）	Sw
，	Sw
标	Bn
签	En
标	Bn
识	En
不	Sd
规	Bn
范	En
（	Sw
8	Sw
批	Bd
次	Ed
）	Sw
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
食	Bn
品	En
中	Sf
微	Bl
生	Ml
物	El
超	Bv
标	Ev
是	Sv
检	Bv
出	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
，	Sw
其	Br
他	Er
微	Bl
生	Ml
物	El
和	Sc
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
不	Sd
合	Bn
格	En
分	Bd
别	Ed
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
4	Bm
1	Mm
.	Mm
4	Em
%	Sw
和	Sc
4	Bm
.	Mm
8	Em
%	Sw
。	Sw

其	Br
他	Er
微	Bl
生	Ml
物	El
不	Sd
合	Bn
格	En
主	Bb
要	Eb
是	Sv
菌	Bn
落	En
总	Bn
数	En
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
超	Bv
标	Ev
，	Sw
致	Bn
病	Mn
性	En
微	Bl
生	Ml
物	El
不	Sd
合	Bn
格	En
主	Bb
要	Eb
是	Sv
铜	Bn
绿	En
假	Sn
单	Bn
胞	Mn
菌	En
超	Bv
标	Ev
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
食	Bn
品	En
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
2	Bm
9	Mm
.	Mm
8	Em
%	Sw
。	Sw

检	Bv
出	Ev
的	Suj
食	Bn
品	En
添	Bn
加	Mn
剂	En
项	Bn
目	En
不	Sd
合	Bn
格	En
主	Bb
要	Eb
是	Sv
防	Bnz
腐	Mnz
剂	Enz
（	Sw
苯	Bnz
甲	Mnz
酸	Enz
、	Sw
山	Bnz
梨	Mnz
酸	Enz
、	Sw
脱	Bv
氢	Ev
乙	Bn
酸	En
、	Sw
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
）	Sw
、	Sw
甜	Bn
味	Mn
剂	En
（	Sw
糖	Bnz
精	Mnz
钠	Enz
、	Sw
安	Bnr
赛	Mnr
蜜	Enr
、	Sw
纽	Sj
甜	Sa
）	Sw
、	Sw
着	Bn
色	Mn
剂	En
（	Sw
日	Bz
落	Mz
黄	Ez
、	Sw
柠	Bn
檬	Mn
黄	En
、	Sw
二	Bnz
氧	Mnz
化	Mnz
钛	Enz
）	Sw
和	Sc
含	Sv
铝	Sn
膨	Bn
松	Mn
剂	En
的	Suj
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
食	Bn
品	En
中	Sf
质	Bn
量	Mn
指	Mn
标	En
不	Sd
合	Bn
格	En
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
9	Bm
.	Mm
5	Em
%	Sw
，	Sw
检	Bv
出	Ev
的	Suj
不	Sa
合	Bn
格	En
项	Bn
目	En
主	Bb
要	Eb
是	Sv
酒	Bn
精	Mn
度	En
、	Sw
酸	Bn
价	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
耗	Bn
氧	Mn
量	En
、	Sw
电	Bn
导	Mn
率	En
等	Su
。	Sw

 	Sw

本	Bt
月	Et
抽	Bv
检	Ev
食	Bn
品	En
中	Sf
其	Br
他	Er
污	Bn
染	Mn
物	En
超	Bv
标	Ev
为	Sp
亚	Bnz
硝	Mnz
酸	Mnz
盐	Enz
、	Sw
苯	Sn
并	Sc
（	Sw
a	Sw
）	Sw
芘	Sw
、	Sw
阴	Bn
离	Mn
子	En
合	Bn
成	Mn
洗	Mn
涤	Mn
剂	En
；	Sw

农	Bn
药	En
残	Bv
留	Ev
超	Bv
标	Ev
为	Sp
丙	Smg
溴	Sng
磷	Sn
、	Sw
氧	Sn
乐	Bn
果	En
、	Sw
克	Sm
百	Bn
威	En
、	Sw
腐	Ba
霉	Ea
利	Sn
、	Sw
毒	Bn
死	En
蜱	Sg
、	Sw
甲	Bnz
萘	Mnz
威	Enz
、	Sw
六	Bm
六	Mm
六	Em
、	Sw
氰	Bnz
戊	Mnz
菊	Mnz
酯	Enz
、	Sw
氯	Bnz
氟	Mnz
氰	Enz
菊	Bn
酯	En
；	Sw

检	Bv
出	Ev
的	Suj
禁	Bv
用	Ev
农	Bn
药	En
为	Sp
氰	Bnz
戊	Mnz
菊	Mnz
酯	Enz
和	Sc
S	Seng
-	Sw
氰	Bnz
戊	Mnz
菊	Mnz
酯	Enz
、	Sw
水	Bnz
胺	Mnz
硫	Mnz
磷	Enz
、	Sw
氟	Bnz
虫	Enz
腈	Sn
；	Sw

检	Bv
出	Ev
的	Suj
禁	Bv
用	Ev
兽	Bn
药	En
为	Sp
氯	Bn
霉	Mn
素	En
、	Sw
氟	Bnz
苯	Mnz
尼	Enz
考	Sv
、	Sw
呋	Bnz
喃	Mnz
唑	Mnz
酮	Enz
代	Bn
谢	Mn
物	En
（	Sw
A	Beng
O	Meng
Z	Eeng
）	Sw
、	Sw
呋	Bnz
喃	Mnz
西	Mnz
林	Enz
代	Bn
谢	Mn
物	En
（	Sw
S	Beng
E	Meng
M	Eeng
）	Sw
、	Sw
克	Sm
伦	Bnr
特	Mnr
罗	Enr
、	Sw
莱	Bnrt
克	Enrt
多	Bnz
巴	Mnz
胺	Enz
；	Sw

重	Bn
金	Mn
属	En
等	Su
元	Bn
素	En
污	Bn
染	Mn
物	En
超	Bv
标	Ev
为	Sp
铅	Sn
；	Sw

生	Bn
物	En
毒	Bn
素	En
超	Bv
标	Ev
为	Sp
黄	Bn
曲	Mn
霉	En
毒	Bn
素	En
B	Beng
1	Eeng
、	Sw
脱	Bv
氧	Ev
雪	Bnz
腐	Enz
镰	Bn
刀	En
菌	Sn
烯	Bn
醇	En
；	Sw

检	Bv
出	Ev
的	Suj
非	Sh
食	Bn
用	En
物	Bn
质	En
为	Sp
涂	Bn
渍	En
油	Bn
脂	En
、	Sw
孔	Bnr
雀	Mnr
石	Enr
绿	Sa
；	Sw

标	Bn
签	En
标	Bn
识	En
不	Sd
规	Bn
范	En
的	Suj
问	Bn
题	En
为	Sp
营	Bl
养	Ml
成	Ml
分	El
表	Sv
、	Sw
标	Bn
准	En
号	Sm
。	Sw

 	Sw

针	Bp
对	Ep
以	Bf
上	Ef
监	Bvn
督	Evn
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
问	Bn
题	En
，	Sw
省	Bn
局	En
责	Bv
成	Ev
有	Bvn
关	Evn
市	Bn
州	Mn
局	En
及	Bc
时	Ec
采	Bnr
取	Mnr
措	Mnr
施	Enr
督	Bv
促	Ev
生	Bn
产	Mn
经	Mn
营	Mn
者	En
立	Bd
即	Ed
封	Bv
存	Ev
、	Sw
下	Bv
架	Ev
和	Sc
召	Bv
回	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
，	Sw
及	Bc
时	Ec
查	Bv
找	Ev
问	Bn
题	En
原	Bn
因	En
、	Sw
排	Bvn
查	Evn
风	Bn
险	En
因	Bn
素	En
，	Sw
制	Bv
定	Ev
整	Bn
改	Mn
措	Mn
施	En
，	Sw
并	Sc
对	Sp
生	Bvn
产	Evn
经	Bvn
营	Evn
不	Sd
合	Bn
格	En
食	Bn
品	En
的	Suj
企	Bn
业	En
进	Bv
行	Ev
立	Bn
案	Mn
查	Mn
处	En
。	Sw

各	Br
级	Er
食	Bn
品	Mn
药	Mn
品	En
监	Bn
督	Mn
管	Mn
理	En
部	Bn
门	En
也	Sd
按	Sp
要	Bv
求	Ev
及	Bc
时	Ec
对	Sp
抽	Bv
检	Ev
信	Bn
息	En
进	Bv
行	Ev
了	Sul
公	Bv
示	Ev
。	Sw

各	Sr
大	Sd
类	Bn
食	Mn
品	En
的	Suj
抽	Bv
检	Ev
批	Bd
次	Ed
、	Sw
不	Sd
合	Bn
格	En
批	Bd
次	Ed
及	Sc
样	Bn
品	En
不	Bn
合	Mn
格	Mn
率	En
的	Suj
汇	Bn
总	En
情	Bn
况	En
见	Sv
附	Bn
表	En
。	Sw

 	Sw

2	Bm
0	Mm
1	Mm
7	Mm
.	Mm
8	Mm
.	Mm
3	Em
 	Sw

湖	Bns
北	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
7	Sm
月	Sm
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
汇	Bn
总	En
情	Bn
况	En
 	Sw

序	Bn
号	En
 	Sw

食	Bn
品	En
大	Sa
类	Sq
 	Sw

抽	Bv
检	Ev
样	Bn
品	En
批	Bd
次	Ed
 	Sw

不	Sd
合	Bn
格	En
样	Bn
品	En
批	Bd
次	Ed
 	Sw

样	Bn
品	En
不	Bn
合	Mn
格	Mn
率	En
（	Sw
%	Sw
）	Sw
 	Sw

1	Sw
 	Sw

粮	Bn
食	En
加	Bn
工	Mn
品	En
 	Sw

8	Bm
8	Mm
2	Em
 	Sw

1	Bm
5	Em
 	Sw

1	Bm
.	Mm
7	Mm
0	Em
 	Sw

2	Sw
 	Sw

食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
 	Sw

4	Bm
7	Mm
2	Em
 	Sw

9	Sw
 	Sw

1	Bm
.	Mm
9	Mm
1	Em
 	Sw

3	Sw
 	Sw

调	Bn
味	Mn
品	En
 	Sw

3	Bm
8	Mm
0	Em
 	Sw

1	Bm
1	Em
 	Sw

2	Bm
.	Mm
8	Mm
9	Em
 	Sw

4	Sw
 	Sw

肉	Bn
制	Mn
品	En
 	Sw

4	Bm
8	Mm
3	Em
 	Sw

1	Bm
4	Em
 	Sw

2	Bm
.	Mm
9	Mm
0	Em
 	Sw

5	Sw
 	Sw

乳	Bn
制	Mn
品	En
 	Sw

4	Bm
6	Em
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

6	Sw
 	Sw

饮	Bn
料	En
 	Sw

4	Bm
3	Mm
1	Em
 	Sw

2	Bm
8	Em
 	Sw

6	Bm
.	Mm
5	Mm
0	Em
 	Sw

7	Sw
 	Sw

方	Ba
便	Ea
食	Bn
品	En
 	Sw

1	Bm
8	Mm
9	Em
 	Sw

1	Bm
6	Em
 	Sw

8	Bm
.	Mm
4	Mm
7	Em
 	Sw

8	Sw
 	Sw

饼	Bn
干	En
 	Sw

1	Bm
1	Mm
2	Em
 	Sw

2	Sw
 	Sw

1	Bm
.	Mm
7	Mm
9	Em
 	Sw

9	Sw
 	Sw

罐	Bn
头	En
 	Sw

8	Bm
1	Em
 	Sw

2	Sw
 	Sw

2	Bm
.	Mm
4	Mm
7	Em
 	Sw

1	Bm
0	Em
 	Sw

冷	Bv
冻	Ev
饮	Bn
品	En
 	Sw

3	Bm
2	Em
 	Sw

2	Sw
 	Sw

6	Bm
.	Mm
2	Mm
5	Em
 	Sw

1	Bm
1	Em
 	Sw

速	Bn
冻	En
食	Bn
品	En
 	Sw

1	Bm
6	Mm
5	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
6	Mm
1	Em
 	Sw

1	Bm
2	Em
 	Sw

薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
 	Sw

1	Bm
3	Mm
7	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
7	Mm
3	Em
 	Sw

1	Bm
3	Em
 	Sw

糖	Bn
果	En
制	Bn
品	En
 	Sw

1	Bm
8	Mm
7	Em
 	Sw

8	Sw
 	Sw

4	Bm
.	Mm
2	Mm
8	Em
 	Sw

1	Bm
4	Em
 	Sw

茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
 	Sw

5	Bm
3	Mm
6	Em
 	Sw

3	Sw
 	Sw

0	Bm
.	Mm
5	Mm
6	Em
 	Sw

1	Bm
5	Em
 	Sw

酒	Bn
类	En
 	Sw

4	Bm
8	Mm
8	Em
 	Sw

3	Bm
4	Em
 	Sw

6	Bm
.	Mm
9	Mm
7	Em
 	Sw

1	Bm
6	Em
 	Sw

蔬	Bn
菜	Mn
制	Mn
品	En
 	Sw

5	Bm
0	Mm
8	Em
 	Sw

5	Bm
3	Em
 	Sw

1	Bm
0	Mm
.	Mm
4	Em
 	Sw

1	Bm
7	Em
 	Sw

水	Bn
果	En
制	Bn
品	En
 	Sw

7	Bm
7	Em
 	Sw

2	Sw
 	Sw

2	Bm
.	Mm
6	Mm
0	Em
 	Sw

1	Bm
8	Em
 	Sw

炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
 	Sw

1	Bm
6	Mm
3	Em
 	Sw

1	Bm
3	Em
 	Sw

7	Bm
.	Mm
9	Mm
8	Em
 	Sw

1	Bm
9	Em
 	Sw

蛋	Bn
制	Mn
品	En
 	Sw

1	Bm
5	Mm
4	Em
 	Sw

4	Sw
 	Sw

2	Bm
.	Mm
6	Mm
0	Em
 	Sw

2	Bm
0	Em
 	Sw

可	Bv
可	Ev
及	Sc
焙	Bv
烤	Ev
咖	Bn
啡	En
产	Bn
品	En
 	Sw

6	Sw
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

2	Bm
1	Em
 	Sw

食	Bn
糖	En
 	Sw

5	Bm
7	Em
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

2	Bm
2	Em
 	Sw

水	Bn
产	En
制	Bn
品	En
 	Sw

1	Bm
6	Mm
6	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
6	Mm
0	Em
 	Sw

2	Bm
3	Em
 	Sw

淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
 	Sw

2	Bm
2	Mm
3	Em
 	Sw

8	Sw
 	Sw

3	Bm
.	Mm
5	Mm
9	Em
 	Sw

2	Bm
4	Em
 	Sw

糕	Bn
点	En
 	Sw

5	Bm
1	Mm
1	Em
 	Sw

1	Bm
5	Em
 	Sw

2	Bm
.	Mm
9	Mm
4	Em
 	Sw

2	Bm
5	Em
 	Sw

豆	Bn
制	Mn
品	En
 	Sw

3	Bm
1	Mm
4	Em
 	Sw

8	Sw
 	Sw

2	Bm
.	Mm
5	Mm
5	Em
 	Sw

2	Bm
6	Em
 	Sw

蜂	Bn
产	Mn
品	En
 	Sw

1	Bm
1	Mm
1	Em
 	Sw

1	Sw
 	Sw

0	Bm
.	Mm
9	Mm
0	Mm
1	Em
 	Sw

2	Bm
7	Em
 	Sw

保	Bn
健	Mn
食	Mn
品	En
 	Sw

1	Bm
3	Mm
2	Em
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

2	Bm
8	Em
 	Sw

特	Ba
殊	Ea
膳	Bn
食	En
食	Bn
品	En
 	Sw

3	Sw
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

2	Bm
9	Em
 	Sw

特	Ba
殊	Ea
医	Bn
学	En
用	Bn
途	En
配	Bn
方	En
食	Bn
品	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

3	Bm
0	Em
 	Sw

婴	Bn
幼	Mn
儿	En
配	Bn
方	En
食	Bn
品	En
 	Sw

1	Sw
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

3	Bm
1	Em
 	Sw

餐	Bn
饮	En
食	Bn
品	En
 	Sw

1	Bm
9	Mm
6	Mm
0	Em
 	Sw

2	Bm
3	Mm
3	Em
 	Sw

1	Bm
1	Mm
.	Mm
9	Em
 	Sw

3	Bm
2	Em
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
 	Sw

9	Sw
 	Sw

1	Sw
 	Sw

1	Bm
1	Mm
.	Mm
1	Em
 	Sw

3	Bm
3	Em
 	Sw

食	Bn
用	En
农	Bn
产	Mn
品	En
 	Sw

2	Bm
8	Mm
5	Mm
7	Em
 	Sw

2	Bm
9	Em
 	Sw

1	Bm
.	Mm
0	Mm
2	Em
 	Sw

3	Bm
4	Em
 	Sw

其	Br
他	Er
 	Sw

5	Sw
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

合	Sv
 	Sw

计	Sn
 	Sw

合	Sv
 	Sw

计	Sn
 	Sw

1	Bm
1	Mm
8	Mm
7	Mm
8	Em
 	Sw

5	Bm
1	Mm
4	Em
 	Sw

4	Bm
.	Mm
3	Mm
3	Em


