沪	Sj
1	Mm
6	Mm
.	Mm
0	Mm
9	Em
）	Sw
，	Sw
传	Bn
导	En
连	Ba
续	Ea
骚	Bv
扰	Ev
实	Bn
测	Mn
值	En
超	Bv
出	Ev
限	Bn
值	En
余	Bm
量	Em
较	Ba
大	Ea
。	Sw

传	Bn
导	En
连	Ba
续	Ea
骚	Bv
扰	Ev
、	Sw
辐	Bv
射	Ev
连	Ba
续	Ea
骚	Bv
扰	Ev
不	Sd
合	Bn
格	En
，	Sw
会	Sv
干	Bv
扰	Ev
其	Br
它	Er
电	Bn
器	Mn
产	Mn
品	En
的	Suj
正	Bd
常	Ed
运	Bv
行	Ev
，	Sw
如	Bc
果	Ec
干	Bnz
扰	Mnz
信	Mnz
号	Enz
过	Sug
大	Sa
，	Sw
则	Sd
会	Sv
影	Bvn
响	Evn
整	Bb
个	Eb
电	Bn
网	En
的	Suj
用	Bn
电	En
质	Bn
量	En
，	Sw
严	Ba
重	Ea
的	Suj
还	Sd
会	Sv
影	Bvn
响	Evn
整	Bb
个	Eb
电	Bn
网	En
安	Ban
全	Ean
。	Sw

 	Sw

二	Sm
、	Sw
移	Bvn
动	Evn
电	Bn
源	En
的	Suj
不	Sa
合	Bn
格	En
项	Bn
目	En
主	Bb
要	Eb
是	Sv
0	Bm
.	Mm
2	Em
I	Beng
t	Meng
A	Eeng
放	Bv
电	Ev
和	Sc
标	Bn
识	En
要	Bv
求	Ev
。	Sw

 	Sw

一	Sm
是	Sv
0	Bm
.	Mm
2	Em
I	Beng
t	Meng
A	Eeng
放	Bv
电	Ev
不	Sd
合	Bn
格	En
，	Sw
有	Sv
7	Sm
个	Sm
批	Bd
次	Ed
。	Sw

抽	Bv
检	Ev
发	Bv
现	Ev
，	Sw
不	Sd
合	Bn
格	En
商	Bn
品	En
最	Ba
大	Ea
放	Bv
电	Ev
时	Bn
间	En
实	Bv
测	Ev
都	Sd
在	Sp
0	Bm
.	Mm
9	Mm
1	Em
h	Seng
至	Sp
4	Bm
.	Mm
5	Mm
5	Em
h	Seng
之	Bf
间	Ef
（	Sw
国	Bn
家	Mn
标	Mn
准	En
要	Bv
求	Ev
应	Sv
不	Sd
低	Bv
于	Ev
5	Sm
h	Seng
）	Sw
。	Sw

如	Sv
上	Bns
海	Ens
新	Bnt
易	Ent
百	Bn
货	En
有	Bn
限	Mn
公	Mn
司	En
销	Bvn
售	Evn
的	Suj
标	Bn
称	En
由	Sp
深	Bns
圳	Mns
市	Ens
最	Sd
前	Bn
线	En
电	Bn
子	Mn
科	Mn
技	En
公	Bn
司	En
生	Bvn
产	Evn
的	Suj
“	Sw
最	Sd
前	Bn
线	En
”	Sw
牌	Sn
移	Bvn
动	Evn
电	Bn
源	En
（	Sw
标	Bn
称	En
容	Bn
量	En
：	Sw
1	Bm
0	Mm
0	Mm
0	Mm
0	Em
M	Beng
A	Meng
H	Eeng
）	Sw
，	Sw
最	Ba
大	Ea
放	Bv
电	Ev
时	Bn
间	En
仅	Sd
为	Sp
0	Bm
.	Mm
9	Mm
1	Em
h	Seng
，	Sw
实	Bv
测	Ev
容	Bn
量	En
应	Bv
为	Ev
1	Bm
8	Mm
2	Mm
0	Em
m	Beng
A	Meng
h	Eeng
，	Sw
实	Bn
际	En
放	Bv
电	Ev
容	Bn
量	En
仅	Sd
为	Sp
标	Bn
称	En
容	Bn
量	En
的	Suj
1	Bm
8	Mm
.	Mm
2	Em
%	Sw
。	Sw

0	Bm
.	Mm
2	Em
I	Beng
t	Meng
A	Eeng
放	Bv
电	Ev
试	Bvn
验	Evn
是	Sv
以	Sp
放	Bv
电	Ev
时	Bn
间	En
检	Bvn
测	Evn
标	Bn
称	En
容	Bn
量	En
是	Bv
否	Ev
与	Sp
实	Bn
际	En
容	Bn
量	En
相	Bv
符	Ev
，	Sw
它	Sr
是	Sv
考	Bvn
核	Evn
电	Bn
池	En
质	Bn
量	En
的	Suj
一	Bm
个	Em
主	Bb
要	Eb
指	Bn
标	En
。	Sw

在	Sp
相	Bd
同	Ed
放	Bv
电	Ev
电	Bn
流	En
条	Bn
件	En
下	Sf
，	Sw
放	Bv
电	Ev
时	Bn
间	En
越	Sd
长	Sa
，	Sw
电	Bn
池	Mn
容	Mn
量	En
越	Sd
高	Sa
，	Sw
可	Bl
供	Ml
使	Ml
用	El
时	Bn
间	En
越	Sd
长	Sa
。	Sw

 	Sw

二	Sm
是	Sv
标	Bn
识	En
要	Bv
求	Ev
不	Sd
合	Bn
格	En
，	Sw
有	Sv
3	Sm
个	Sm
批	Bd
次	Ed
。	Sw

抽	Bv
检	Ev
发	Bv
现	Ev
，	Sw
不	Sd
合	Bn
格	En
商	Bn
品	En
未	Sd
标	Bv
注	Ev
产	Bn
品	Mn
名	Mn
称	En
，	Sw
或	Bc
者	Ec
标	Bn
识	Mn
语	Mn
言	En
无	Sv
应	Bv
用	Ev
中	Bnz
文	Enz
体	Bv
现	Ev
。	Sw

 	Sw

根	Bp
据	Ep
抽	Bv
检	Ev
结	Bn
果	En
，	Sw
工	Bn
商	Mn
部	Mn
门	En
已	Sd
责	Bn
令	En
相	Bv
关	Ev
经	Bn
营	Mn
者	En
立	Bd
即	Ed
停	Bv
止	Ev
销	Bvn
售	Evn
不	Sd
合	Bn
格	En
商	Bn
品	En
，	Sw
对	Sp
库	Bn
存	Mn
商	Mn
品	En
、	Sw
在	Sp
售	Sv
商	Bn
品	En
进	Bv
行	Ev
全	Bn
面	En
清	Ba
理	Ea
，	Sw
督	Bv
促	Ev
经	Bn
营	Mn
者	En
按	Bp
照	Ep
相	Bv
关	Ev
法	Bn
律	Mn
法	Mn
规	En
的	Suj
要	Bv
求	Ev
主	Bb
动	Eb
采	Bnr
取	Mnr
措	Mnr
施	Enr
，	Sw
保	Bv
护	Ev
消	Bn
费	Mn
者	En
合	Bn
法	Mn
权	Mn
益	En
，	Sw
同	Bc
时	Ec
，	Sw
工	Bn
商	Mn
部	Mn
门	En
将	Sd
依	Bn
法	En
对	Sp
销	Bvn
售	Evn
不	Sd
合	Bn
格	En
商	Bn
品	En
的	Suj
经	Bn
营	Mn
者	En
立	Bn
案	En
调	Bvn
查	Evn
。	Sw

 	Sw

工	Bn
商	Mn
部	Mn
门	En
提	Bv
醒	Ev
消	Bn
费	Mn
者	En
在	Sp
选	Bv
购	Ev
、	Sw
使	Bv
用	Ev
手	Bn
机	En
和	Sc
移	Bvn
动	Evn
电	Bn
源	En
时	Sng
要	Sv
注	Bv
意	Ev
以	Bl
下	Ml
几	Ml
点	El
：	Sw
 	Sw

一	Sm
、	Sw
手	Bn
机	En
属	Bv
于	Ev
国	Bn
家	En
强	Bv
制	Ev
认	Bv
证	Ev
产	Bn
品	En
，	Sw
消	Bn
费	Mn
者	En
应	Sv
购	Bv
买	Ev
具	Bv
有	Ev
3	Sm
C	Seng
认	Bv
证	Ev
标	Bn
识	En
的	Suj
产	Bn
品	En
，	Sw
尽	Bd
量	Ed
选	Bv
择	Ev
知	Bn
名	Mn
品	Mn
牌	En
，	Sw
避	Bv
免	Ev
质	Bn
量	En
低	Ba
劣	Ea
的	Suj
手	Bn
机	En
带	Bv
来	Ev
的	Suj
干	Bv
扰	Ev
。	Sw

 	Sw

二	Sm
、	Sw
选	Bv
购	Ev
移	Bvn
动	Evn
电	Bn
源	En
时	Sn
，	Sw
要	Sv
注	Bv
意	Ev
查	Bv
看	Ev
有	Ba
效	Ea
放	Bv
电	Ev
容	Bn
量	En
。	Sw

移	Bvn
动	Evn
电	Bn
源	En
充	Bv
电	Ev
或	Sc
与	Sp
手	Bn
机	En
连	Bv
接	Ev
时	Sn
，	Sw
移	Bvn
动	Evn
电	Bn
源	En
、	Sw
连	Bl
接	Ml
线	El
、	Sw
变	Bn
压	Mn
器	En
及	Sc
手	Bn
机	En
都	Sd
会	Sv
发	Bv
热	Ev
，	Sw
此	Szg
现	Bn
象	En
属	Bv
于	Ev
正	Bd
常	Ed
的	Suj
电	Bn
能	En
损	Bn
耗	En
，	Sw
所	Bc
以	Ec
，	Sw
选	Bv
购	Ev
时	Sng
要	Sv
特	Bd
别	Ed
注	Bv
意	Ev
移	Bvn
动	Evn
电	Bn
源	En
的	Suj
实	Bn
际	En
放	Bv
电	Ev
容	Bn
量	En
。	Sw

 	Sw

三	Sm
、	Sw
移	Bvn
动	Evn
电	Bn
源	En
要	Sv
避	Bv
免	Ev
与	Sp
重	Bn
物	En
或	Sc
尖	Ba
锐	Ea
金	Bn
属	En
部	Bn
件	En
接	Bv
触	Ev
，	Sw
防	Bv
止	Ev
内	Bf
部	Ef
电	Bn
芯	En
变	Bn
形	En
或	Sc
被	Sp
刺	Bv
穿	Ev
，	Sw
从	Bc
而	Ec
发	Bv
生	Ev
短	Bn
路	En
，	Sw
使	Bv
用	Ev
时	Sng
还	Sd
应	Sv
防	Bv
水	Ev
、	Sw
防	Bn
潮	En
、	Sw
防	Sv
高	Bn
温	En
环	Bn
境	En
，	Sw
切	Bd
勿	Ed
在	Sp
太	Bns
阳	Ens
下	Sf
暴	Bv
晒	Ev
，	Sw
更	Sd
不	Bdf
要	Edf
把	Sp
移	Bvn
动	Evn
电	Bn
源	En
放	Bv
在	Ev
夏	Bt
日	Et
封	Bv
闭	Ev
的	Suj
汽	Bn
车	En
内	Sn
。	Sw


