江	Bns
酸	Bn
价	En
和	Sc
 	Sw

菌	Bn
落	En
总	Bn
数	En
等	Su
。	Sw

 	Sw

一	Sm
、	Sw
产	Bn
品	Mn
品	Mn
种	En
及	Sc
不	Sd
合	Bn
格	En
项	Sn
 	Sw

1	Sw
、	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
 	Sw

炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
抽	Bv
检	Ev
1	Bm
0	Mm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
1	Bm
2	Em
批	Bd
次	Ed
。	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
过	Bn
氧	Mn
化	En
值	Sn
5	Sm
批	Bd
次	Ed
，	Sw
酸	Bn
价	En
3	Sm
批	Bd
次	Ed
，	Sw
滑	Bnr
石	Mnr
粉	Enr
2	Sw
批	Bd
次	Ed
，	Sw
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
残	Bn
留	Mn
量	En
1	Sw
批	Bd
次	Ed
，	Sw
环	Bnz
己	Mnz
基	Enz
氨	Bn
基	En
磺	Bnz
酸	Mnz
钠	Enz
（	Sw
又	Bn
名	En
甜	Ba
蜜	Ea
素	Sn
）	Sw
1	Sw
批	Bd
次	Ed
。	Sw

 	Sw

2	Sw
、	Sw
肉	Bn
制	Mn
品	En
 	Sw

肉	Bn
制	Mn
品	En
抽	Bv
检	Ev
1	Bm
0	Mm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
4	Sw
批	Bd
次	Ed
。	Sw

主	Bb
要	Eb
是	Sv
微	Bl
生	Ml
物	El
污	Bvn
染	Evn
和	Sc
违	Bvn
规	Evn
使	Bv
用	Ev
禁	Bv
用	Ev
兽	Bn
药	En
。	Sw

微	Bl
生	Ml
物	El
不	Sd
合	Bn
格	En
的	Suj
样	Bn
品	En
共	Sn
6	Sm
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
有	Sv
菌	Bn
落	En
总	Bn
数	En
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
，	Sw
禁	Bv
用	Ev
兽	Bn
药	En
不	Sd
合	Bn
格	En
1	Sw
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
克	Sm
伦	Bnr
特	Mnr
罗	Enr
、	Sw
莱	Bnrt
克	Enrt
多	Bnz
巴	Mnz
胺	Enz
。	Sw

 	Sw

3	Sw
、	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
 	Sw

食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
抽	Bv
检	Ev
5	Bm
0	Em
个	Sm
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
有	Sv
1	Sm
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
。	Sw

 	Sw

4	Sw
、	Sw
酒	Bn
类	En
 	Sw

酒	Bn
类	En
品	Bn
种	En
抽	Bv
检	Ev
5	Bm
0	Em
个	Sm
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Sw
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
酒	Bn
精	Mn
度	En
。	Sw

 	Sw

二	Sm
、	Sw
不	Sd
合	Bn
格	En
产	Bn
品	En
项	Bn
目	En
说	Bv
明	Ev
 	Sw

1	Sw
、	Sw
酸	Bn
价	En
（	Sw
以	Sp
脂	Bn
肪	En
计	Sn
）	Sw
（	Sw
K	Beng
O	Meng
H	Eeng
）	Sw
 	Sw

酸	Bn
价	En
（	Sw
以	Sp
脂	Bn
肪	En
计	Sn
）	Sw
（	Sw
K	Beng
O	Meng
H	Eeng
）	Sw
主	Bb
要	Eb
反	Bv
映	Ev
食	Bn
品	En
中	Sf
的	Suj
油	Bn
脂	En
酸	Bn
败	En
的	Suj
程	Bn
度	En
。	Sw

《	Sw
油	Bn
炸	En
小	Sa
食	Bn
品	Mn
卫	Mn
生	En
标	Bn
准	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

1	Bm
6	Mm
5	Mm
6	Mm
5	Em
-	Sw
2	Bm
0	Mm
0	Mm
3	Em
）	Sw
和	Sc
《	Sw
食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
 	Sw

坚	Bn
果	En
与	Sp
籽	Sng
类	Bn
食	Mn
品	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

1	Bm
9	Mm
3	Mm
0	Mm
0	Em
-	Sw
2	Bm
0	Mm
1	Mm
4	Em
）	Sw
中	Sf
都	Sd
规	Bn
定	En
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
酸	Bn
价	En
（	Sw
以	Sp
脂	Bn
肪	En
计	Sn
）	Sw
（	Sw
K	Beng
O	Meng
H	Eeng
）	Sw
不	Bv
得	Ev
超	Bv
过	Ev
3	Sm
m	Beng
g	Eeng
/	Sw
g	Sw
。	Sw

造	Bv
成	Ev
酸	Bn
价	En
不	Sd
合	Bn
格	En
的	Suj
主	Bb
要	Eb
原	Bn
因	En
有	Sv
：	Sw
一	Sm
是	Sv
原	Bn
料	En
采	Bv
购	Ev
上	Sf
把	Bv
关	Ev
不	Ba
严	Ea
，	Sw
如	Sv
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
的	Suj
原	Bn
料	En
水	Bn
分	En
过	Sug
高	Sa
，	Sw
会	Sv
加	Bv
速	Ev
油	Bn
脂	En
的	Suj
酸	Bn
败	En
；	Sw

二	Sm
是	Sv
生	Bn
产	Mn
工	Mn
艺	En
不	Sd
达	Bv
标	Ev
；	Sw

三	Sm
是	Sv
产	Bn
品	En
储	Bn
藏	En
条	Bn
件	En
不	Bd
当	Ed
，	Sw
特	Bd
别	Ed
是	Sv
在	Sp
夏	Bt
季	Et
，	Sw
受	Sv
气	Bn
候	En
环	Bn
境	Mn
影	Mn
响	En
因	Bn
素	En
更	Sd
大	Sa
，	Sw
易	Sa
导	Bv
致	Ev
食	Bn
品	En
中	Sf
脂	Bn
肪	En
的	Suj
氧	Bv
化	Ev
酸	Bn
败	En
。	Sw

油	Bn
脂	En
酸	Bn
败	En
产	Bn
生	En
的	Suj
醛	Sn
酮	Bn
类	En
化	Bn
合	Mn
物	En
长	Bd
期	Ed
摄	Bv
入	Ev
会	Sv
对	Sp
健	Ba
康	Ea
有	Sv
一	Bd
定	Ed
影	Bvn
响	Evn
，	Sw
但	Sc
一	Ba
般	Ea
情	Bn
况	En
下	Sf
，	Sw
消	Bn
费	Mn
者	En
在	Sp
使	Bv
用	Ev
过	Bn
程	En
中	Sf
可	Bc
以	Ec
明	Ba
显	Ea
辨	Bv
别	Ev
出	Sv
其	Sr
有	Sv
哈	Bo
喇	Eo
等	Su
异	Bn
味	En
，	Sw
需	Sv
避	Bv
免	Ev
食	Bn
用	En
。	Sw

 	Sw

2	Sw
、	Sw
滑	Bnr
石	Mnr
粉	Enr
 	Sw

滑	Bnr
石	Mnr
粉	Enr
能	Bv
够	Ev
让	Sv
瓜	Bn
子	En
外	Bn
表	En
光	Bnr
鲜	Mnr
亮	Mnr
丽	Enr
。	Sw

《	Sw
食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
使	Bv
用	Ev
标	Bn
准	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

2	Bm
7	Mm
6	Mm
0	Em
-	Sw
2	Bm
0	Mm
1	Mm
4	Em
）	Sw
中	Sf
规	Bn
定	En
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
中	Sf
不	Bv
得	Ev
使	Bv
用	Ev
滑	Bnr
石	Mnr
粉	Enr
。	Sw

造	Bv
成	Ev
不	Sd
合	Bn
格	En
原	Bn
因	En
可	Bv
能	Ev
是	Sv
企	Bn
业	En
为	Sp
增	Bv
加	Ev
卖	Bn
相	En
而	Sc
超	Bn
范	Mn
围	En
使	Bv
用	Ev
。	Sw

 	Sw

3	Sw
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
（	Sw
以	Sp
脂	Bn
肪	En
计	Sn
）	Sw
 	Sw

过	Bn
氧	Mn
化	En
值	Sn
主	Bb
要	Eb
反	Bv
映	Ev
油	Bn
脂	En
是	Bv
否	Ev
氧	Bv
化	Ev
变	Bn
质	En
。	Sw

随	Bp
着	Ep
油	Bn
脂	En
氧	Bv
化	Ev
，	Sw
过	Bn
氧	Mn
化	En
值	Bv
会	Ev
逐	Bd
步	Ed
升	Bv
高	Ev
。	Sw

《	Sw
油	Bn
炸	En
小	Sa
食	Bn
品	Mn
卫	Mn
生	En
标	Bn
准	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

1	Bm
6	Mm
5	Mm
6	Mm
5	Em
-	Sw
2	Bm
0	Mm
0	Mm
3	Em
）	Sw
中	Sf
规	Bn
定	En
油	Bn
炸	En
类	Sq
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
过	Bn
氧	Mn
化	En
值	Sn
不	Bv
得	Ev
超	Bv
过	Ev
0	Bm
.	Mm
2	Mm
5	Em
g	Seng
/	Sw
1	Bm
0	Mm
0	Em
g	Seng
；	Sw

《	Sw
食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
 	Sw

坚	Bn
果	En
与	Sp
籽	Sng
类	Bn
食	Mn
品	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

1	Bm
9	Mm
3	Mm
0	Mm
0	Em
-	Sw
2	Bm
0	Mm
1	Mm
4	Em
）	Sw
中	Sf
规	Bn
定	En
熟	Bv
制	Ev
其	Br
他	Er
类	Sq
坚	Bn
果	En
和	Sc
籽	Sn
类	Bn
食	Mn
品	En
过	Bn
氧	Mn
化	En
值	Sn
不	Bv
得	Ev
超	Bv
过	Ev
0	Bm
.	Mm
5	Em
g	Seng
/	Sw
1	Bm
0	Mm
0	Em
g	Seng
。	Sw

过	Bn
氧	Mn
化	En
值	Sn
超	Bv
标	Ev
的	Suj
原	Bn
因	En
可	Bv
能	Ev
是	Sv
产	Bn
品	En
用	Bn
油	En
已	Bd
经	Ed
变	Bn
质	En
，	Sw
或	Bc
者	Ec
产	Bn
品	En
本	Br
身	Er
在	Sp
储	Bn
存	En
过	Bn
程	En
中	Sf
环	Bn
境	En
条	Bn
件	En
控	Bv
制	Ev
不	Bd
当	Ed
，	Sw
导	Bv
致	Ev
油	Bn
脂	En
酸	Bn
败	En
；	Sw

也	Sd
可	Bv
能	Ev
是	Sv
原	Bn
料	En
中	Sf
的	Suj
脂	Bn
肪	En
已	Bd
经	Ed
氧	Bv
化	Ev
，	Sw
原	Bn
料	En
储	Bn
存	En
不	Bd
当	Ed
，	Sw
未	Sd
采	Bn
取	Mn
有	Mn
效	En
的	Suj
抗	Bnz
氧	Mnz
化	Enz
措	Bn
施	En
，	Sw
使	Bv
得	Ev
终	Sd
产	Bn
品	En
油	Bn
脂	En
氧	Bv
化	Ev
。	Sw

 	Sw

4	Sw
、	Sw
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
残	Bn
留	Mn
量	En
 	Sw

二	Bnz
氧	Mnz
化	Mnz
硫	Enz
：	Sw
食	Bn
品	En
加	Bvn
工	Evn
中	Sf
常	Bb
用	Eb
的	Suj
漂	Bn
白	Mn
剂	En
和	Sc
防	Bnz
腐	Mnz
剂	Enz
，	Sw
进	Bv
入	Ev
人	Sn
体	Bs
内	Es
后	Sf
最	Bd
终	Ed
转	Bv
化	Ev
为	Sp
硫	Bnz
酸	Mnz
盐	Enz
并	Sc
随	Sp
尿	Bn
液	En
排	Bv
出	Ev
体	Bs
外	Es
。	Sw

《	Sw
食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
使	Bv
用	Ev
标	Bn
准	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

2	Bm
7	Mm
6	Mm
0	Em
-	Sw
2	Bm
0	Mm
1	Mm
4	Em
）	Sw
中	Sf
规	Bn
定	En
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
中	Sf
不	Bv
得	Ev
使	Bv
用	Ev
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
。	Sw

少	Bm
量	Em
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
进	Bv
入	Ev
人	Bn
体	En
不	Bv
会	Ev
对	Sp
身	Bn
体	En
带	Bv
来	Ev
健	Ba
康	Ea
危	Bn
害	En
，	Sw
但	Bc
若	Ec
过	Bn
量	En
食	Bn
用	En
会	Sv
引	Bv
起	Ev
如	Sv
恶	Bn
心	En
、	Sw
呕	Bv
吐	Ev
等	Su
胃	Bn
肠	Mn
道	En
反	Bvn
应	Evn
。	Sw

二	Bnz
氧	Mnz
化	Mnz
硫	Enz
不	Sd
符	Bn
合	Mn
标	Mn
准	En
的	Suj
原	Bn
因	En
可	Bv
能	Ev
有	Sv
，	Sw
个	Bn
别	En
生	Bn
产	Mn
者	En
使	Bv
用	Ev
劣	Bn
质	En
原	Bn
料	En
以	Sp
降	Bn
低	Mn
成	Mn
本	En
，	Sw
其	Bc
后	Ec
为	Bp
了	Ep
提	Bv
高	Ev
产	Bn
品	En
色	Bn
泽	En
超	Bn
量	En
使	Bv
用	Ev
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
。	Sw

 	Sw

5	Sw
、	Sw
环	Bnz
己	Mnz
基	Enz
氨	Bn
基	En
磺	Bnz
酸	Mnz
钠	Enz
（	Sw
又	Bn
名	En
甜	Ba
蜜	Ea
素	Sn
）	Sw
（	Sw
以	Sp
环	Bnz
己	Mnz
基	Enz
氨	Bn
基	En
磺	Bnz
酸	Enz
计	Sn
）	Sw
 	Sw

环	Bnz
己	Mnz
基	Enz
氨	Bn
基	En
磺	Bnz
酸	Mnz
钠	Enz
（	Sw
甜	Ba
蜜	Ea
素	Sn
）	Sw
是	Sv
一	Bm
种	Em
常	Bb
用	Eb
的	Suj
人	Bl
工	Ml
合	Ml
成	El
甜	Bn
味	Mn
剂	En
，	Sw
其	Sr
甜	Bn
度	En
是	Sv
蔗	Bn
糖	En
的	Suj
3	Bm
0	Em
～	Sw
4	Bm
0	Em
倍	Sm
。	Sw

《	Sw
食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
使	Bv
用	Ev
标	Bn
准	En
》	Sw
（	Sw
G	Beng
B	Eeng
 	Sw

2	Bm
7	Mm
6	Mm
0	Em
-	Sw
2	Bm
0	Mm
1	Mm
4	Em
）	Sw
中	Sf
规	Bn
定	En
，	Sw
开	Bn
心	Mn
果	En
、	Sw
杏	Bn
仁	En
、	Sw
松	Bnr
仁	Enr
、	Sw
瓜	Bn
子	En
中	Sf
环	Bnz
己	Mnz
基	Enz
氨	Bn
基	En
磺	Bnz
酸	Mnz
钠	Enz
添	Bv
加	Ev
量	Sn
不	Bv
得	Ev
超	Bv
过	Ev
6	Bm
.	Mm
0	Em
g	Seng
/	Sw
k	Beng
g	Eeng
。	Sw

消	Bn
费	Mn
者	En
如	Bc
果	Ec
经	Bd
常	Ed
食	Bn
用	En
甜	Ba
蜜	Ea
素	Sn
含	Bn
量	En
超	Bv
标	Ev
的	Suj
饮	Bn
料	En
或	Sc
其	Br
他	Er
食	Bn
品	En
，	Sw
会	Bn
因	En
摄	Bv
入	Ev
过	Bn
量	En
对	Sp
人	Bn
体	En
的	Suj
肝	Bn
脏	En
和	Sc
神	Bl
经	Ml
系	Ml
统	El
造	Bl
成	Ml
危	Ml
害	El
，	Sw
特	Bd
别	Ed
是	Sv
对	Sp
代	Bv
谢	Ev
排	Bv
毒	Ev
能	Bn
力	En
较	Ba
弱	Ea
的	Suj
老	Bn
人	En
、	Sw
孕	Bn
妇	En
、	Sw
小	Bn
孩	En
危	Bn
害	En
更	Sd
明	Ba
显	Ea
。	Sw

 	Sw

6	Sw
、	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
 	Sw

“	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
”	Sw
是	Sv
一	Bm
种	Em
多	Sm
环	Sn
芳	Bnz
香	Mnz
族	Enz
碳	Bn
氢	Mn
化	Mn
合	Mn
物	En
，	Sw
谷	Bn
类	En
食	Bn
物	En
、	Sw
蔬	Bn
菜	En
、	Sw
脂	Bn
肪	En
和	Sc
油	Bn
类	En
是	Sv
摄	Bv
入	Ev
“	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
”	Sw
的	Suj
主	Bb
要	Eb
膳	Bn
食	En
来	Bn
源	En
；	Sw

食	Bn
物	En
加	Bvn
工	Evn
例	Bv
如	Ev
烧	Bv
烤	Ev
、	Sw
烟	Bnz
熏	Enz
肉	Bn
类	En
或	Sc
鱼	Bn
类	En
的	Suj
含	Bn
量	En
亦	Sd
较	Sd
高	Sa
。	Sw

“	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
”	Sw
对	Sp
人	Bn
类	Mn
基	Mn
因	En
有	Ba
害	Ea
，	Sw
并	Sc
会	Sv
致	Bv
癌	Ev
，	Sw
但	Sc
难	Bd
以	Ed
厘	Bv
定	Ev
安	Ban
全	Ean
摄	Bn
入	Mn
量	En
，	Sw
食	Bn
品	En
法	Bns
典	Ens
委	Bn
员	Mn
会	En
及	Sc
香	Bns
港	Ens
法	Bn
例	En
中	Sf
，	Sw
并	Sc
无	Sv
就	Sd
“	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
”	Sw
含	Bn
量	En
制	Bv
定	Ev
法	Bn
定	En
限	Bn
值	En
。	Sw

按	Bp
照	Ep
国	Bn
家	Mn
标	Mn
准	En
规	Bn
定	En
，	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
的	Suj
限	Bn
量	En
值	Bv
为	Ev
≤	Sw
1	Bm
0	Em
μ	Sw
g	Sw
/	Sw
k	Beng
g	Eeng
。	Sw

 	Sw

食	Bn
油	En
中	Sf
有	Sv
高	Sa
含	Bn
量	En
“	Sw
苯	Sn
并	Sc
[	Sw
a	Sw
]	Sw
芘	Sw
”	Sw
并	Sc
不	Sd
寻	Ba
常	Ea
，	Sw
怀	Bv
疑	Ev
是	Sv
经	Bp
过	Ep
高	Sa
热	Bn
处	Mn
理	En
或	Sc
炸	Sv
过	Sug
食	Bn
物	En
的	Suj
二	Bm
手	Em
油	Sn
。	Sw

至	Bp
于	Ep
问	Bn
题	En
食	Bn
油	En
是	Bv
否	Ev
“	Sw
地	Bn
沟	Mn
油	En
”	Sw
，	Sw
食	Bn
物	En
及	Sc
卫	Bnt
生	Mnt
局	Ent
局	Bn
长	En
高	Bnr
永	Mnr
文	Enr
表	Bv
示	Ev
，	Sw
仍	Szg
要	Sv
其	Br
它	Er
方	Bn
法	En
配	Bv
合	Ev
侦	Bv
查	Ev
。	Sw

 	Sw

7	Sw
、	Sw
酒	Bn
精	Mn
度	En
 	Sw

酒	Bn
精	Mn
度	En
表	Bv
示	Ev
酒	Sn
中	Sf
乙	Bn
醇	En
的	Suj
体	Bn
积	En
与	Sp
酒	Sn
体	Bn
积	En
的	Suj
百	Bn
分	Mn
比	En
，	Sw
酒	Bn
精	Mn
度	En
是	Sv
白	Bn
酒	En
的	Suj
一	Bm
项	Em
品	Bn
质	En
指	Bn
标	En
，	Sw
控	Bv
制	Ev
酒	Bn
精	Mn
度	En
对	Bp
于	Ep
企	Bn
业	En
来	Bu
说	Eu
并	Bc
非	Ec
一	Bm
项	Em
难	Bn
事	En
，	Sw
标	Bn
准	En
中	Sf
规	Bn
定	En
酒	Bn
精	Mn
度	En
为	Sp
标	Bv
示	Ev
值	Sn
的	Suj
±	Sw
1	Bm
.	Mm
0	Em
%	Sw
v	Beng
o	Meng
l	Eeng
，	Sw
实	Bn
际	En
酒	Bn
精	Mn
度	En
过	Sug
高	Sa
或	Bc
过	Ec
低	Sa
都	Sd
被	Bv
判	Ev
为	Sp
不	Sv
合	Bn
格	En
。	Sw

酒	Bn
精	Mn
度	En
过	Sug
低	Sa
可	Bv
能	Ev
是	Sv
企	Bn
业	En
为	Bp
了	Ep
降	Bn
低	Mn
成	Mn
本	En
故	Bd
意	Ed
为	Sp
之	Sf
，	Sw
也	Sd
可	Bv
能	Ev
是	Sv
白	Bn
酒	En
放	Bv
置	Ev
时	Bn
间	En
过	Bn
长	En
，	Sw
瓶	Bn
盖	En
密	Bn
闭	Mn
性	En
不	Bd
好	Ed
，	Sw
酒	Bn
精	En
部	Bn
分	En
挥	Bv
发	Ev
导	Bv
致	Ev
。	Sw

 	Sw

8	Sw
、	Sw
大	Bn
肠	Mn
菌	Mn
群	En
 	Sw

大	Bn
肠	Mn
菌	Mn
群	En
是	Sv
国	Bs
内	Ms
外	Es
通	Bv
用	Ev
的	Suj
食	Bn
品	En
污	Bvn
染	Evn
常	Bb
用	Eb
指	Bn
示	Mn
菌	En
之	Br
一	Er
。	Sw

食	Bn
品	En
中	Sf
检	Bv
出	Ev
大	Bn
肠	Mn
菌	Mn
群	En
，	Sw
提	Bv
示	Ev
被	Sp
致	Bn
病	Mn
菌	En
（	Sw
如	Sv
沙	Bnr
门	Mnr
氏	Mnr
菌	Enr
、	Sw
志	Bnr
贺	Mnr
氏	Enr
菌	Sn
、	Sw
致	Bn
病	Mn
性	En
大	Bl
肠	Ml
杆	Ml
菌	El
）	Sw
污	Bvn
染	Evn
的	Suj
可	Bn
能	Mn
性	En
较	Ba
大	Ea
。	Sw

大	Bn
肠	Mn
菌	Mn
群	En
超	Bv
标	Ev
可	Bv
能	Ev
由	Bc
于	Ec
产	Bn
品	En
的	Suj
加	Bvn
工	Evn
原	Bn
料	En
、	Sw
包	Bn
装	Mn
材	Mn
料	En
受	Sv
污	Bvn
染	Evn
，	Sw
或	Sc
在	Sp
生	Bvn
产	Evn
过	Bn
程	En
中	Sf
产	Bn
品	En
受	Sv
人	Bn
员	En
、	Sw
工	Sn
器	Bn
具	En
等	Su
生	Bvn
产	Evn
设	Bvn
备	Evn
、	Sw
环	Bn
境	En
的	Suj
污	Bvn
染	Evn
、	Sw
有	Sv
灭	Bv
菌	Ev
工	Bn
艺	En
的	Suj
产	Bn
品	En
灭	Bv
菌	Ev
不	Sd
彻	Bad
底	Ead
而	Sc
导	Bv
致	Ev
。	Sw

G	Beng
B	Eeng
 	Sw

2	Bm
7	Mm
2	Mm
6	Em
-	Sw
2	Bm
0	Mm
0	Mm
5	Em
《	Sw
熟	Bn
肉	Mn
制	Mn
品	En
卫	Bn
生	Mn
标	Mn
准	En
》	Sw
规	Bn
定	En
肴	Sg
肉	Sn
、	Sw
酱	Sn
卤	Bn
肉	En
中	Sf
大	Bn
肠	Mn
菌	Mn
群	En
应	Sv
≤	Sw
1	Bm
5	Mm
0	Em
M	Beng
P	Meng
N	Eeng
/	Sw
1	Bm
0	Mm
0	Em
g	Seng
，	Sw
如	Bc
果	Ec
大	Bn
肠	Mn
菌	Mn
群	En
超	Bv
标	Ev
，	Sw
则	Sd
会	Sv
加	Bv
速	Ev
食	Bn
品	En
的	Suj
腐	Ban
败	Ean
变	Bn
质	En
，	Sw
食	Bn
用	En
以	Bf
后	Ef
容	Ba
易	Ea
引	Bv
起	Ev
腹	Bv
泻	Ev
、	Sw
肠	Bn
胃	En
感	Bv
染	Ev
等	Su
。	Sw

 	Sw

9	Sw
、	Sw
菌	Bn
落	En
总	Bn
数	En
 	Sw

菌	Bn
落	En
总	Bn
数	En
是	Sv
指	Bv
示	Ev
性	Sn
微	Bl
生	Ml
物	El
指	Bn
标	En
，	Sw
并	Bc
非	Ec
致	Bn
病	Mn
菌	En
指	Bn
标	En
。	Sw

主	Bb
要	Eb
用	Bv
来	Ev
评	Bn
价	En
食	Bn
品	En
清	Bn
洁	Mn
度	En
，	Sw
反	Bv
映	Ev
食	Bn
品	En
在	Sp
生	Bvn
产	Evn
过	Bn
程	En
中	Sf
是	Bv
否	Ev
符	Bn
合	Mn
卫	Mn
生	En
要	Bv
求	Ev
。	Sw

菌	Bn
落	En
总	Bn
数	En
超	Bv
标	Ev
说	Bv
明	Ev
个	Bn
别	En
企	Bn
业	En
可	Bv
能	Ev
未	Sd
按	Sp
要	Bv
求	Ev
严	Bn
格	Mn
控	Mn
制	En
生	Bvn
产	Evn
加	Bl
工	Ml
过	Ml
程	El
的	Suj
卫	Bn
生	Mn
条	Mn
件	En
